,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-13 16:15:20,2021-12-10,XAIR,Lisi Steven A.,"CEO, COB",P - Purchase,$8.53,"+40,000",1171487,+4%,"+$341,200",,,,,XAIR
1,,2021-12-03 16:15:37,2021-12-01,XAIR,Avniel Amir,"COO, Pres",S - Sale,$13.72,-32675,403527,-7%,"-$448,301",,,,,XAIR
2,,2021-11-26 17:19:26,2021-11-24,XAIR,Bentsur Ron,Dir,S - Sale,$13.53,-37464,182436,-17%,"-$507,071",,,,,XAIR
3,,2021-11-26 17:16:13,2021-11-23,XAIR,Carey Robert,Dir,P - Purchase,$12.35,"+5,000",508418,+1%,"+$61,750",,,,,XAIR
4,,2021-11-24 16:10:29,2021-11-22,XAIR,Carey Robert,Dir,P - Purchase,$12.05,"+10,000",503418,+2%,"+$120,500",,,,,XAIR
5,,2021-11-23 16:50:07,2021-11-19,XAIR,Carey Robert,Dir,P - Purchase,$14.10,"+12,000",493418,+2%,"+$169,200",,,,,XAIR
6,,2021-08-17 16:15:36,2021-08-13,XAIR,Lisi Steven A.,"CEO, COB",P - Purchase,$7.85,"+25,000",1031487,+2%,"+$196,250",,,,,XAIR
7,,2021-06-21 16:49:51,2021-06-17,XAIR,Lisi Steven A.,"CEO, COB",P - Purchase,$5.36,"+25,000",1006487,+3%,"+$134,000",,,,,XAIR
8,,2021-06-21 16:21:22,2021-06-17,XAIR,Carey Robert,Dir,P - Purchase,$5.36,"+350,000",481418,+266%,"+$1,876,000",,,,,XAIR
9,,2021-06-17 16:23:39,2021-06-16,XAIR,Beck Douglas,CFO,P - Purchase,$5.38,"+1,000",22460,+5%,"+$5,380",,,,,XAIR
10,,2021-03-05 07:42:46,2021-03-04,XAIR,Carey Robert,Dir,P - Purchase,$5.70,"+17,000",131418,+15%,"+$96,900",,,,,XAIR
11,DM,2021-02-18 16:14:43,2021-02-11,XAIR,Bentsur Ron,Dir,S - Sale+OE,$6.36,-24919,182436,-12%,"-$158,365",,,,,XAIR
12,,2021-02-18 16:11:36,2021-02-18,XAIR,Carey Robert,Dir,P - Purchase,$6.67,"+15,000",114418,+15%,"+$100,050",,,,,XAIR
13,D,2021-02-12 16:25:25,2021-02-10,XAIR,Lisi Steven A.,"CEO, COB",S - Sale+OE,$7.07,-70388,981487,-7%,"-$497,735",,,,,XAIR
14,,2021-02-08 20:08:02,2021-01-02,XAIR,Bentsur Ron,Dir,S - Sale,$5.89,-5700,183936,-3%,"-$33,573",,,,,XAIR
15,A,2020-12-31 17:34:51,2020-09-24,XAIR,Beck Douglas,CFO,P - Purchase,$4.88,"+3,000",18460,+19%,"+$14,640",,,,,XAIR
16,,2020-12-31 17:29:51,2020-12-31,XAIR,Lisi Steven A.,"CEO, COB",P - Purchase,$5.28,"+38,500",929,-102%,"+$203,280",,,,,XAIR
17,,2020-12-31 16:44:59,2020-12-31,XAIR,Beck Douglas,CFO,P - Purchase,$5.28,"+3,000",21460,+16%,"+$15,840",,,,,XAIR
18,,2020-09-25 17:00:23,2020-09-24,XAIR,Beck Douglas,CFO,P - Purchase,$4.88,"+3,000",64710,+5%,"+$14,640",,,,,XAIR
19,,2020-08-27 17:40:11,2020-08-25,XAIR,Bentsur Ron,Dir,S - Sale,$5.95,-1580,189636,-1%,"-$9,406",,,,,XAIR
20,,2020-08-27 17:38:06,2020-08-25,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.97,-3187,326785,-1%,"-$19,012",,,,,XAIR
21,,2020-08-26 17:00:25,2020-08-24,XAIR,Carey Robert,Dir,P - Purchase,$5.70,"+10,000",99418,+11%,"+$57,000",,,,,XAIR
22,M,2020-08-25 21:00:10,2020-08-21,XAIR,Bentsur Ron,Dir,S - Sale,$5.85,-7135,191216,-4%,"-$41,755",,,,,XAIR
23,M,2020-08-25 21:00:09,2020-08-21,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.85,-14269,329972,-4%,"-$83,504",,,,,XAIR
24,M,2020-08-21 17:00:14,2020-08-19,XAIR,Bentsur Ron,Dir,S - Sale,$6.31,-10311,198351,-5%,"-$65,046",,,,,XAIR
25,M,2020-08-21 17:00:13,2020-08-19,XAIR,Avniel Amir,"COO, Pres",S - Sale,$6.31,-20622,344241,-6%,"-$130,091",,,,,XAIR
26,,2020-08-19 17:00:09,2020-08-18,XAIR,Bentsur Ron,Dir,S - Sale,$5.83,-4578,208662,-2%,"-$26,691",,,,,XAIR
27,,2020-08-19 17:00:08,2020-08-18,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.83,-9155,364863,-2%,"-$53,376",,,,,XAIR
28,,2020-08-18 17:00:23,2020-08-14,XAIR,Lisi Steven A.,"CEO, COB",P - Purchase,$5.55,"+20,000",890763,+2%,"+$110,940",,,,,XAIR
29,,2020-08-18 17:00:09,2020-08-17,XAIR,Bentsur Ron,Dir,S - Sale,$5.72,-4413,213240,-2%,"-$25,226",,,,,XAIR
30,,2020-08-18 17:00:08,2020-08-14,XAIR,Carey Robert,Dir,P - Purchase,$5.63,"+60,000",89418,+204%,"+$337,500",,,,,XAIR
31,,2020-08-18 17:00:08,2020-08-17,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.72,-8827,374018,-2%,"-$50,458",,,,,XAIR
32,,2020-08-17 18:51:14,2020-08-14,XAIR,Bentsur Ron,Dir,S - Sale,$5.53,-6680,217653,-3%,"-$36,932",,,,,XAIR
33,,2020-08-17 18:51:06,2020-08-13,XAIR,Carey Robert,Dir,P - Purchase,$5.38,"+10,000",29418,+51%,"+$53,750",,,,,XAIR
34,,2020-08-17 18:50:54,2020-08-14,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.52,-13364,382845,-3%,"-$73,745",,,,,XAIR
35,,2020-08-14 17:40:14,2020-08-13,XAIR,Bentsur Ron,Dir,S - Sale,$5.50,-4088,224333,-2%,"-$22,494",,,,,XAIR
36,,2020-08-14 17:36:11,2020-08-13,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.50,-8179,396209,-2%,"-$45,005",,,,,XAIR
37,,2020-08-13 16:30:47,2020-08-12,XAIR,Bentsur Ron,Dir,S - Sale,$5.30,-4689,228421,-2%,"-$24,834",,,,,XAIR
38,,2020-08-13 16:30:13,2020-08-12,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.30,-9378,404388,-2%,"-$49,669",,,,,XAIR
39,M,2020-08-12 20:35:01,2020-08-10,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.47,-14725,413766,-3%,"-$80,519",,,,,XAIR
40,,2020-08-12 20:33:29,2020-07-27,XAIR,Avniel Amir,"COO, Pres",S - Sale,$6.26,-9900,504642,-2%,"-$61,966",,,,,XAIR
41,M,2020-08-12 20:24:48,2020-08-10,XAIR,Bentsur Ron,Dir,S - Sale,$5.47,-7347,233110,-3%,"-$40,188",,,,,XAIR
42,,2020-08-12 20:19:57,2020-07-27,XAIR,Bentsur Ron,Dir,S - Sale,$6.27,-4917,278582,-2%,"-$30,807",,,,,XAIR
43,,2020-08-10 18:06:32,2020-08-07,XAIR,Bentsur Ron,Dir,S - Sale,$5.35,-10222,245374,-4%,"-$54,657",,,,,XAIR
44,,2020-08-10 18:03:57,2020-08-07,XAIR,Avniel Amir,"COO, Pres",S - Sale,$5.35,-20493,438391,-4%,"-$109,619",,,,,XAIR
45,M,2020-08-07 20:53:57,2020-08-05,XAIR,Bentsur Ron,Dir,S - Sale,$6.02,-9811,255596,-4%,"-$59,064",,,,,XAIR
46,M,2020-08-07 20:53:08,2020-08-05,XAIR,Avniel Amir,"COO, Pres",S - Sale,$6.02,-19624,458884,-4%,"-$118,068",,,,,XAIR
47,,2020-08-06 17:00:19,2020-08-04,XAIR,Bentsur Ron,Dir,S - Sale,$6.13,-3649,265407,-1%,"-$22,369",,,,,XAIR
48,M,2020-08-05 18:13:03,2020-08-03,XAIR,Avniel Amir,"COO, Pres",S - Sale,$6.14,-14900,478508,-3%,"-$91,519",,,,,XAIR
49,M,2020-08-04 17:05:25,2020-07-31,XAIR,Bentsur Ron,Dir,S - Sale,$6.20,-6682,269056,-2%,"-$41,458",,,,,XAIR
50,M,2020-08-03 16:30:50,2020-07-30,XAIR,Avniel Amir,"COO, Pres",S - Sale,$6.26,-12600,493408,-2%,"-$78,889",,,,,XAIR
51,M,2020-07-31 18:26:10,2020-07-29,XAIR,Bentsur Ron,Dir,S - Sale,$6.20,-7761,275738,-3%,"-$48,135",,,,,XAIR
52,M,2020-07-30 20:23:00,2020-07-28,XAIR,Avniel Amir,"COO, Pres",S - Sale,$6.16,-8534,1013449,-1%,"-$52,566",,,,,XAIR
53,,2020-06-29 08:30:17,2020-06-25,XAIR,Lisi Steven A.,"CEO, COB",P - Purchase,$7.45,"+35,000",870763,+4%,"+$260,750",,,,,XAIR
