,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-06-04 15:53:12,2021-06-02,ZIVO,Masterson Nola E,Dir,P - Purchase,$4.99,+400,4898,+9%,"+$1,996",,,,,ZIVO
1,D,2021-06-04 15:49:10,2021-06-02,ZIVO,Cornell Alison A,Dir,P - Purchase,$4.99,"+15,000",15000,New,"+$74,850",,,,,ZIVO
2,D,2021-06-04 15:44:25,2021-06-02,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$4.99,"+100,000",704211,+17%,"+$499,000",,,,,ZIVO
3,M,2020-02-11 12:50:55,2020-01-10,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.16,"+65,000",40704122,0%,"+$10,160",,,,,ZIVO
4,M,2020-01-07 14:04:24,2019-12-19,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.14,"+490,125",40639122,+1%,"+$70,118",,,,,ZIVO
5,M,2019-12-20 14:28:25,2019-12-06,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.12,"+668,522",40148997,+2%,"+$82,258",,,,,ZIVO
6,M,2019-12-09 14:15:43,2019-06-17,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.11,"+14,441,202",39480475,+58%,"+$1,523,804",,,,,ZIVO
7,M,2019-11-21 17:44:09,2019-11-15,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+340,029",22704049,+2%,"+$30,603",,,,,ZIVO
8,M,2019-11-13 17:48:57,2019-11-11,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.08,"+45,000",22364020,0%,"+$3,600",,,,,ZIVO
9,M,2019-11-05 12:30:07,2019-10-28,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.07,"+70,000",22319020,0%,"+$4,950",,,,,ZIVO
10,M,2019-10-28 16:15:18,2019-10-22,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.08,"+15,000",22249020,0%,"+$1,250",,,,,ZIVO
11,M,2019-10-11 17:26:10,2019-09-25,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+82,500",22234520,0%,"+$7,425",,,,,ZIVO
12,M,2019-09-26 12:09:16,2019-09-20,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+40,000",22151520,0%,"+$3,600",,,,,ZIVO
13,M,2019-09-19 11:30:04,2019-09-13,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+30,100",22111520,0%,"+$2,709",,,,,ZIVO
14,M,2019-09-10 17:27:07,2019-09-03,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+55,000",22080420,0%,"+$4,950",,,,,ZIVO
15,M,2019-08-22 17:17:51,2019-08-07,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.11,"+45,000",22025420,0%,"+$5,000",,,,,ZIVO
16,M,2019-07-26 16:49:54,2019-07-15,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.12,"+95,000",21980420,0%,"+$11,120",,,,,ZIVO
17,M,2019-05-09 16:55:29,2019-04-26,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.11,"+496,000",21885420,+2%,"+$54,830",,,,,ZIVO
18,M,2019-03-13 18:30:05,2019-03-08,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.10,"+90,000",21389420,0%,"+$9,400",,,,,ZIVO
19,,2019-01-24 15:19:17,2019-01-20,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.11,"+85,400",21299420,0%,"+$9,394",,,,,ZIVO
20,M,2019-01-03 15:47:49,2018-12-11,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.12,"+724,500",21214020,+4%,"+$88,985",,,,,ZIVO
21,M,2018-12-10 14:31:42,2018-12-06,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.12,"+213,000",20330520,+1%,"+$26,170",,,,,ZIVO
22,DM,2018-09-25 14:33:07,2018-09-20,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.17,"+61,689",20117520,0%,"+$10,487",,,,,ZIVO
23,DM,2018-09-17 16:48:08,2018-05-01,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.10,"+5,017,000",20055831,+33%,"+$502,380",,,,,ZIVO
24,,2018-09-10 14:19:52,2018-09-06,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.15,"+18,000",15038831,0%,"+$2,700",,,,,ZIVO
25,M,2018-08-29 10:56:29,2018-08-23,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.13,"+102,000",15020831,+1%,"+$13,350",,,,,ZIVO
26,M,2018-08-07 14:40:26,2018-08-02,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.12,"+85,000",14918831,+1%,"+$10,200",,,,,ZIVO
27,,2018-07-31 15:09:58,2018-07-30,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.11,"+15,000",14833831,0%,"+$1,650",,,,,ZIVO
28,,2018-07-26 14:49:50,2018-07-20,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.13,"+10,000",14818831,0%,"+$1,250",,,,,ZIVO
29,,2018-07-17 14:50:50,2018-07-17,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.10,"+40,000",14808831,0%,"+$4,000",,,,,ZIVO
30,M,2018-05-25 16:14:28,2018-05-11,ZIVO,Strome Mark E,10%,P - Purchase,$0.10,"+13,088,129",13088129,New,"+$1,308,813",,,,,ZIVO
31,M,2018-05-17 16:57:49,2018-05-16,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+163,000",14768831,+1%,"+$15,190",,,,,ZIVO
32,M,2018-03-12 14:20:01,2018-03-06,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.11,"+116,000",14606831,+1%,"+$12,760",,,,,ZIVO
33,M,2018-03-05 16:45:00,2018-02-27,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.12,"+60,000",14490831,0%,"+$7,100",,,,,ZIVO
34,M,2018-02-14 18:20:13,2018-02-06,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+116,000",14430831,+1%,"+$10,650",,,,,ZIVO
35,M,2018-01-25 17:36:34,2018-01-19,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.07,"+74,000",14314831,+1%,"+$5,360",,,,,ZIVO
36,M,2018-01-04 15:52:35,2017-12-22,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+103,000",14240831,+1%,"+$9,490",,,,,ZIVO
37,M,2017-12-20 11:45:07,2017-12-14,ZIVO,Maggiore Christopher D.,"Dir, 10%",P - Purchase,$0.09,"+125,000",14137831,+1%,"+$11,430",,,,,ZIVO
