,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-07 15:17:31,2021-12-03,ABCL,Lo Andrew,Dir,P - Purchase,$14.02,"+86,938",86938,New,"+$1,218,871",,,,,ABCL
1,,2021-11-15 06:05:16,2021-11-11,ABCL,Booth Andrew,CFO,P - Purchase,$14.71,"+67,500",184459,+58%,"+$993,130",,,,,ABCL
2,,2021-11-15 06:05:11,2021-11-11,ABCL,Thermopylae Holdings Ltd.,10%,P - Purchase,$14.76,"+202,960",55807290,0%,"+$2,995,913",,,,,ABCL
3,M,2021-09-02 18:12:34,2021-08-31,ABCL,Hamer John,Dir,S - Sale,$16.94,-300000,14734623,-2%,"-$5,082,253",,,,,ABCL
4,,2021-08-17 17:47:37,2021-08-16,ABCL,Montalbano John S.,Dir,P - Purchase,$17.23,"+6,000",31000,+24%,"+$103,380",,,,,ABCL
5,,2021-06-22 18:50:49,2021-06-22,ABCL,Hayden Michael R,Dir,S - Sale,$25.50,-100000,1121642,-8%,"-$2,550,000",,,,,ABCL
6,,2021-06-10 17:14:37,2021-06-09,ABCL,Thermopylae Holdings Ltd.,10%,S - Sale,$24.03,-5598420,55604330,-9%,"-$134,530,033",,,,,ABCL
7,,2021-06-10 17:11:35,2021-06-09,ABCL,Hansen Carl L. G.,"CEO, 10%",S - Sale,$24.13,-6000000,233500,-96%,"-$144,770,323",,,,,ABCL
8,,2021-06-10 17:01:34,2021-06-09,ABCL,Lecault Veronique,COO,S - Sale,$25.50,-1000000,8496218,-11%,"-$25,500,000",,,,,ABCL
9,,2021-06-10 17:01:04,2021-06-09,ABCL,Stimart Tryn,GC,S - Sale,$25.50,-1000000,500,-100%,"-$25,500,000",,,,,ABCL
10,,2021-06-10 17:00:54,2021-06-09,ABCL,Falconer Ester,CTO,S - Sale,$25.50,-1000000,0,-100%,"-$25,500,000",,,,,ABCL
11,,2021-06-10 17:00:48,2021-06-09,ABCL,Booth Andrew,CFO,S - Sale,$25.50,-1200000,116959,-91%,"-$30,600,000",,,,,ABCL
12,D,2020-12-17 20:38:00,2020-12-15,ABCL,Thiel Peter,Dir,P - Purchase,$20.00,"+3,000,000",24660,-101%,"+$60,000,000",,,,,ABCL
13,D,2020-12-17 20:30:15,2020-12-15,ABCL,Montalbano John S.,Dir,P - Purchase,$20.00,"+25,000",25000,New,"+$500,000",,,,,ABCL
14,D,2020-12-17 20:30:14,2020-12-15,ABCL,Lecault Veronique,COO,P - Purchase,$20.00,"+23,000",9496218,0%,"+$460,000",,,,,ABCL
15,D,2020-12-17 20:30:12,2020-12-15,ABCL,Hayden Michael R,Dir,P - Purchase,$20.00,"+73,665",1221642,+6%,"+$1,473,300",,,,,ABCL
16,D,2020-12-17 20:30:08,2020-12-15,ABCL,Stimart Tryn,GC,P - Purchase,$20.00,+500,500,New,"+$10,000",,,,,ABCL
