,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-16 17:05:18,2021-06-14,ACHC,Waud Reeve B,Dir,S - Sale,$66.47,-55030,535159,-9%,"-$3,657,844",,,,,ACHC
1,,2021-06-16 17:05:14,2021-06-14,ACHC,Hollinsworth John S.,EVP of Operations,S - Sale,$66.31,-5000,56275,-8%,"-$331,550",,,,,ACHC
2,M,2021-03-16 17:10:12,2021-03-12,ACHC,Grieco William,Dir,S - Sale,$59.84,-4000,73958,-5%,"-$239,340",,,,,ACHC
3,,2021-03-15 18:27:36,2021-03-12,ACHC,Waud Reeve B,Dir,S - Sale,$59.12,-109443,587639,-16%,"-$6,470,358",,,,,ACHC
4,D,2021-03-15 17:06:13,2021-03-11,ACHC,Duckworth David M.,CFO,S - Sale+OE,$58.04,-18780,90553,-17%,"-$1,089,991",,,,,ACHC
5,D,2021-03-15 17:01:41,2021-03-11,ACHC,Howard Christopher L,"EVP, GC, Secretary",S - Sale+OE,$58.09,-33228,204590,-14%,"-$1,930,215",,,,,ACHC
6,,2020-06-12 19:50:58,2020-06-12,ACHC,Waud Reeve B,Dir,S - Sale,$25.87,-122311,697082,-15%,"-$3,164,422",,,,,ACHC
7,,2019-09-09 06:07:06,2019-09-05,ACHC,Osteen Debra K,CEO,P - Purchase,$26.53,"+20,000",117178,+21%,"+$530,660",,,,,ACHC
8,,2018-11-02 18:36:30,2018-11-01,ACHC,Waud Reeve B,Dir,S - Sale,$45.00,-41865,807841,-5%,"-$1,883,925",,,,,ACHC
9,,2018-07-30 21:52:55,2018-07-26,ACHC,Waud Reeve B,Dir,S - Sale,$45.00,-8135,849706,-1%,"-$366,075",,,,,ACHC
10,,2018-03-16 17:39:54,2018-03-14,ACHC,Goldberg Randall P,VP of Business Development,S - Sale,$41.47,-400,5357,-7%,"-$16,589",,,,,ACHC
11,,2018-03-15 17:27:35,2018-03-15,ACHC,Waud Reeve B,Dir,S - Sale,$42.03,-7698,853716,-1%,"-$323,547",,,,,ACHC
12,M,2018-03-14 18:01:22,2018-03-12,ACHC,Waud Reeve B,Dir,S - Sale,$42.02,-42302,861414,-5%,"-$1,777,638",,,,,ACHC
13,M,2018-03-06 20:32:06,2018-03-02,ACHC,Waud Reeve B,Dir,S - Sale,$39.02,-200000,903716,-18%,"-$7,804,331",,,,,ACHC
14,D,2018-03-02 17:02:27,2018-03-01,ACHC,Goldberg Randall P,VP of Business Development,S - Sale+OE,$38.47,-960,5982,-14%,"-$36,927",,,,,ACHC
