,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,DM,2021-11-19 16:59:20,2021-11-17,ADPT,Robins Harlan S,Chief Scientific Officer,S - Sale+OE,$32.00,-4000,69360,-5%,"-$127,993",,,,,ADPT
1,DM,2021-11-12 17:00:45,2021-11-09,ADPT,Cohen Chad M,CFO,S - Sale+OE,$34.98,-10000,21604,-32%,"-$349,800",,,,,ADPT
2,DM,2021-10-21 21:00:17,2021-10-19,ADPT,Robins Harlan S,Chief Scientific Officer,S - Sale+OE,$33.71,-11200,69360,-14%,"-$377,561",,,,,ADPT
3,M,2021-10-08 19:00:40,2021-10-07,ADPT,Adams R Mark,COO,S - Sale,$33.16,-3125,51854,-6%,"-$103,630",,,,,ADPT
4,DM,2021-10-08 19:00:15,2021-10-06,ADPT,Robins Harlan S,Chief Scientific Officer,S - Sale+OE,$32.95,-11685,69360,-14%,"-$385,018",,,,,ADPT
5,DM,2021-10-07 19:00:11,2021-10-05,ADPT,Cohen Chad M,CFO,S - Sale+OE,$32.41,-10000,21604,-32%,"-$324,050",,,,,ADPT
6,DM,2021-09-15 19:51:04,2021-09-13,ADPT,Robins Harlan S,Chief Scientific Officer,S - Sale+OE,$36.98,-11685,69360,-14%,"-$432,054",,,,,ADPT
7,M,2021-09-10 21:00:29,2021-09-08,ADPT,Robins Chad M,"CEO, COB",S - Sale,$38.43,-43499,1673461,-3%,"-$1,671,496",,,,,ADPT
8,DM,2021-09-09 19:00:23,2021-09-07,ADPT,Cohen Chad M,CFO,S - Sale+OE,$39.47,-14375,21604,-40%,"-$567,331",,,,,ADPT
9,D,2021-09-09 19:00:15,2021-09-07,ADPT,Taylor Stacy L,"SVP, GC",S - Sale+OE,$40.00,-495,15036,-3%,"-$19,800",,,,,ADPT
10,D,2021-08-30 20:00:33,2021-08-27,ADPT,Griffin Michelle Renee,Dir,S - Sale+OE,$35.00,-14916,1504,-91%,"-$522,060",,,,,ADPT
11,DM,2021-08-27 21:00:29,2021-08-25,ADPT,Robins Harlan S,Chief Scientific Officer,S - Sale+OE,$34.25,-11685,69360,-14%,"-$400,231",,,,,ADPT
12,DM,2021-08-12 20:00:45,2021-08-10,ADPT,Cohen Chad M,CFO,S - Sale+OE,$34.07,-15000,21604,-41%,"-$511,049",,,,,ADPT
13,DM,2021-07-21 21:00:19,2021-07-19,ADPT,Robins Harlan S,Chief Scientific Officer,S - Sale+OE,$37.47,-11685,69360,-14%,"-$437,885",,,,,ADPT
