,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-04 13:25:52,2021-06-02,AIMC,Deegan Glenn E.,"VP, GC",S - Sale,$67.71,-1092,37608,-3%,"-$73,939",,,,,AIMC
1,D,2021-05-10 16:30:25,2021-05-07,AIMC,Storch Christian,CFO,S - Sale+OE,$66.92,-8422,48482,-15%,"-$563,617",,,,,AIMC
2,DM,2021-05-10 16:23:11,2021-05-06,AIMC,Christenson Carl R,"COB, CEO",S - Sale+OE,$65.65,-61273,177411,-26%,"-$4,022,745",,,,,AIMC
3,,2021-03-17 17:36:53,2021-03-16,AIMC,Woodward James H Jr,Dir,S - Sale,$61.13,-2378,14775,-14%,"-$145,372",,,,,AIMC
4,,2021-03-03 17:04:54,2021-03-02,AIMC,Patriacca Todd,"VP Finance, Corp Controller",S - Sale,$61.24,-1000,12399,-7%,"-$61,240",,,,,AIMC
5,M,2021-01-07 14:01:29,2021-01-05,AIMC,Storch Christian,CFO,S - Sale,$60.02,-10515,50232,-17%,"-$631,122",,,,,AIMC
6,,2021-01-07 13:59:33,2021-01-06,AIMC,Schuele Craig,"VP Marketing, Business Dev",S - Sale,$60.00,-5000,53526,-9%,"-$300,000",,,,,AIMC
7,,2021-01-07 13:56:46,2021-01-06,AIMC,Christenson Carl R,"COB, CEO",S - Sale,$60.00,-5000,182077,-3%,"-$300,000",,,,,AIMC
8,,2020-11-30 17:11:06,2020-11-25,AIMC,Christenson Carl R,"COB, CEO",S - Sale,$57.09,-20000,187077,-10%,"-$1,141,760",,,,,AIMC
9,,2020-11-24 19:42:41,2020-11-24,AIMC,Schuele Craig,"VP Marketing, Business Dev",S - Sale,$57.50,-5000,58526,-8%,"-$287,500",,,,,AIMC
10,,2020-11-12 20:08:48,2020-11-09,AIMC,Christenson Carl R,"COB, CEO",S - Sale,$51.64,-20000,207077,-9%,"-$1,032,820",,,,,AIMC
11,,2020-11-12 13:53:43,2020-11-10,AIMC,Storch Christian,CFO,S - Sale,$53.45,-4632,60747,-7%,"-$247,557",,,,,AIMC
