,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-08 16:37:20,2021-12-07,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$33.92,-75000,849994,-8%,"-$2,544,000",,,,,ALGM
1,,2021-11-24 16:43:08,2021-11-23,ALGM,Martin Joseph R,Dir,S - Sale,$30.61,-13000,51800,-20%,"-$397,930",,,,,ALGM
2,,2021-11-24 16:39:57,2021-11-23,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$30.75,-50000,924994,-5%,"-$1,537,500",,,,,ALGM
3,,2021-11-23 16:54:10,2021-11-19,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$32.59,-2350,974994,0%,"-$76,587",,,,,ALGM
4,,2021-11-23 16:50:47,2021-11-19,ALGM,Vig Ravi,"Pres, CEO",S - Sale,$32.59,-10502,2394572,0%,"-$342,260",,,,,ALGM
5,,2021-11-23 16:48:00,2021-11-19,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$32.59,-2311,298510,-1%,"-$75,315",,,,,ALGM
6,,2021-11-23 16:43:37,2021-11-19,ALGM,Teebagy Thomas C. Jr.,"SVP of Operations, Quality",S - Sale,$32.59,-2101,98097,-2%,"-$68,472",,,,,ALGM
7,,2021-11-23 16:40:10,2021-11-19,ALGM,Brown Christopher,"SVP, GC",S - Sale,$32.59,-2132,144988,-1%,"-$69,482",,,,,ALGM
8,,2021-11-23 16:36:51,2021-11-19,ALGM,Glover Max R.,SVP of Worldwide Sales,S - Sale,$32.59,-1753,239985,-1%,"-$57,130",,,,,ALGM
9,,2021-11-10 17:09:52,2021-11-09,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$32.26,-75000,977344,-7%,"-$2,419,500",,,,,ALGM
10,,2021-11-04 17:18:55,2021-11-03,ALGM,"Oep Skna, L.P.",10%,S - Sale,$30.25,-8625000,22629247,-28%,"-$260,906,250",,,,,ALGM
11,M,2021-11-04 16:48:51,2021-11-02,ALGM,Vig Ravi,"Pres, CEO",S - Sale,$31.32,-270000,2405074,-10%,"-$8,456,951",,,,,ALGM
12,,2021-11-03 18:55:55,2021-11-01,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$30.50,-28044,300821,-9%,"-$855,342",,,,,ALGM
13,M,2021-11-02 18:14:00,2021-10-29,ALGM,Teebagy Thomas C. Jr.,"SVP of Operations, Quality",S - Sale,$31.32,-225799,100198,-69%,"-$7,071,545",,,,,ALGM
14,,2021-11-01 16:54:57,2021-10-29,ALGM,Martin Joseph R,Dir,S - Sale,$33.41,-20000,64800,-24%,"-$668,200",,,,,ALGM
15,M,2021-10-25 17:20:22,2021-10-21,ALGM,Teebagy Thomas C. Jr.,"SVP of Operations, Quality",S - Sale,$33.42,-15572,325997,-5%,"-$520,487",,,,,ALGM
16,,2021-10-19 16:31:52,2021-10-18,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$30.94,-70000,1052344,-6%,"-$2,165,800",,,,,ALGM
17,,2021-10-05 16:50:19,2021-10-01,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$31.54,-16739,328865,-5%,"-$527,948",,,,,ALGM
18,,2021-09-30 16:48:08,2021-09-29,ALGM,Fujita Noriharu,Dir,S - Sale,$31.88,-12143,10036,-55%,"-$387,119",,,,,ALGM
19,,2021-09-21 16:43:03,2021-09-20,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$33.25,-70000,1122344,-6%,"-$2,327,500",,,,,ALGM
20,M,2021-09-14 18:17:48,2021-09-13,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$33.64,-100000,345604,-22%,"-$3,364,481",,,,,ALGM
21,,2021-09-14 18:15:34,2021-09-13,ALGM,Glover Max R.,SVP of Worldwide Sales,S - Sale,$33.06,-14000,241738,-5%,"-$462,840",,,,,ALGM
22,,2021-09-14 18:12:47,2021-09-13,ALGM,Lury Richard R.,Dir,S - Sale,$32.60,-11900,25300,-32%,"-$387,940",,,,,ALGM
23,,2021-09-07 18:28:37,2021-09-03,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$31.23,-53478,445604,-11%,"-$1,670,118",,,,,ALGM
24,M,2021-09-02 19:21:11,2021-09-01,ALGM,Vig Ravi,"Pres, CEO",S - Sale,$30.33,-160000,2675074,-6%,"-$4,852,780",,,,,ALGM
25,,2021-09-02 19:18:27,2021-09-01,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$30.23,-16739,499082,-3%,"-$506,020",,,,,ALGM
26,M,2021-08-20 16:51:19,2021-08-18,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$27.92,-70000,1192344,-6%,"-$1,954,564",,,,,ALGM
27,,2021-08-17 16:47:41,2021-08-16,ALGM,Lury Richard R.,Dir,S - Sale,$29.51,-35700,37200,-49%,"-$1,053,507",,,,,ALGM
28,M,2021-08-09 17:33:22,2021-08-05,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$28.93,-37826,515821,-7%,"-$1,094,184",,,,,ALGM
29,M,2021-08-04 17:30:29,2021-08-02,ALGM,Vig Ravi,"Pres, CEO",S - Sale,$27.93,-160000,2835074,-5%,"-$4,468,538",,,,,ALGM
30,,2021-08-03 18:14:42,2021-07-30,ALGM,Teebagy Thomas C. Jr.,"SVP of Operations, Quality",S - Sale,$27.10,-150000,341569,-31%,"-$4,065,000",,,,,ALGM
31,,2021-08-03 18:13:39,2021-08-02,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$27.91,-8913,553647,-2%,"-$248,762",,,,,ALGM
32,,2021-07-20 20:06:24,2021-07-19,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$25.11,-70000,1262344,-5%,"-$1,757,700",,,,,ALGM
33,,2021-07-06 19:04:21,2021-07-01,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$27.34,-8913,562560,-2%,"-$243,681",,,,,ALGM
34,M,2021-07-06 19:03:32,2021-07-01,ALGM,Vig Ravi,"Pres, CEO",S - Sale,$27.64,-160000,2995074,-5%,"-$4,422,929",,,,,ALGM
35,,2021-06-17 17:58:51,2021-06-17,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$27.22,-70000,1332344,-5%,"-$1,905,400",,,,,ALGM
36,,2021-06-03 16:37:00,2021-06-01,ALGM,Brown Christopher,"SVP, GC",S - Sale,$25.88,-26250,147120,-15%,"-$679,350",,,,,ALGM
37,,2021-06-03 16:34:03,2021-06-01,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$26.10,-8913,571473,-2%,"-$232,629",,,,,ALGM
38,M,2021-06-03 16:30:28,2021-06-01,ALGM,Vig Ravi,"Pres, CEO",S - Sale,$26.09,-160000,3155074,-5%,"-$4,173,934",,,,,ALGM
39,,2021-05-27 20:00:42,2021-05-27,ALGM,Brown Christopher,"SVP, GC",S - Sale,$26.63,-26250,173370,-13%,"-$699,038",,,,,ALGM
40,,2021-05-27 19:59:00,2021-05-26,ALGM,Lury Richard R.,Dir,S - Sale,$26.06,-11900,66592,-15%,"-$310,114",,,,,ALGM
41,,2021-05-27 19:54:43,2021-05-26,ALGM,Doogue Michael,"SVP of Technology, Products",S - Sale,$26.05,-8913,580386,-2%,"-$232,184",,,,,ALGM
42,,2021-05-27 19:52:46,2021-05-26,ALGM,Glover Max R.,SVP of Worldwide Sales,S - Sale,$26.06,-12000,255738,-4%,"-$312,720",,,,,ALGM
43,M,2021-05-26 21:07:00,2021-05-24,ALGM,Vig Ravi,"Pres, CEO",S - Sale,$25.60,-160000,3315074,-5%,"-$4,095,682",,,,,ALGM
44,M,2021-05-19 17:25:58,2021-05-18,ALGM,Walsh Paul V Jr,"SVP, CFO, Treasurer",S - Sale,$23.95,-70000,1402344,-5%,"-$1,676,757",,,,,ALGM
45,M,2021-04-28 18:14:02,2021-04-26,ALGM,Teebagy Thomas C. Jr.,"SVP of Operations, Quality",S - Sale,$26.88,-150246,426371,-26%,"-$4,038,784",,,,,ALGM
46,,2021-03-09 20:49:19,2021-03-08,ALGM,"Oep Skna, L.P.",10%,S - Sale,$29.16,-1832852,31254247,-6%,"-$53,452,929",,,,,ALGM
47,,2021-02-11 21:30:01,2021-02-09,ALGM,Brown Christopher,See Remarks,S - Sale,$29.16,-12500,185097,-6%,"-$364,548",,,,,ALGM
48,,2021-02-11 21:25:49,2021-02-09,ALGM,Glover Max R.,SVP of Worldwide Sales,S - Sale,$29.16,-29272,248375,-11%,"-$853,683",,,,,ALGM
49,,2021-02-11 21:25:29,2021-02-09,ALGM,Kazerounian Reza,Dir,S - Sale,$29.16,-19000,201299,-9%,"-$554,112",,,,,ALGM
50,,2021-02-11 21:25:19,2021-02-09,ALGM,Vig Ravi,"Pres, CEO",S - Sale,$29.16,-400000,3391169,-11%,"-$11,665,520",,,,,ALGM
51,,2021-02-11 21:24:41,2021-02-09,ALGM,Lury Richard R.,Dir,S - Sale,$29.16,-11709,78492,-13%,"-$341,479",,,,,ALGM
