,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-02 18:03:53,2021-11-30,AMED,Lechleiter Richard A,Dir,P - Purchase,$141.25,"+1,000",9543,+12%,"+$141,250",,,,,AMED
1,,2021-09-03 21:35:32,2021-09-01,AMED,Perkins Bruce D,Dir,S - Sale,$183.00,-11511,17869,-39%,"-$2,106,513",,,,,AMED
2,,2021-08-04 21:01:22,2021-08-02,AMED,Gerard Christopher,"Pres, COO",S - Sale,$261.24,-1250,38135,-3%,"-$326,544",,,,,AMED
3,,2021-07-06 16:01:47,2021-07-01,AMED,Gerard Christopher,"Pres, COO",S - Sale,$250.90,-1250,39385,-3%,"-$313,622",,,,,AMED
4,,2021-06-03 18:03:39,2021-06-01,AMED,Gerard Christopher,"Pres, COO",S - Sale,$256.62,-1250,40635,-3%,"-$320,771",,,,,AMED
5,D,2021-06-02 16:15:55,2021-05-28,AMED,Ginn Scott G,"EVP, CFO",S - Sale+OE,$261.60,-975,31823,-3%,"-$255,060",,,,,AMED
6,,2021-05-27 16:30:15,2021-05-25,AMED,Gerard Christopher,"Pres, COO",S - Sale,$259.59,-1250,41885,-3%,"-$324,488",,,,,AMED
7,D,2021-05-04 17:07:39,2021-04-30,AMED,Ginn Scott G,"EVP, CFO",S - Sale+OE,$283.33,-975,31823,-3%,"-$276,247",,,,,AMED
8,,2021-04-29 18:32:59,2021-04-27,AMED,North Michael Paul,CIO,S - Sale,$290.02,-1731,9429,-16%,"-$502,025",,,,,AMED
9,D,2021-04-29 18:31:05,2021-04-27,AMED,Kemmerly David L,See Remarks,S - Sale+OE,$290.12,-4875,19173,-20%,"-$1,414,335",,,,,AMED
10,D,2021-04-22 18:01:22,2020-06-02,AMED,Bohnert Denise M.,Chief Compliance Officer,S - Sale+OE,$190.36,-263,13491,-2%,"-$50,065",,,,,AMED
11,,2021-04-13 16:32:01,2021-04-09,AMED,Kemmerly David L,See Remarks,S - Sale,$280.00,-500,20919,-2%,"-$140,000",,,,,AMED
12,D,2021-04-02 16:51:45,2021-03-31,AMED,Ginn Scott G,"EVP, CFO",S - Sale+OE,$260.40,-975,31823,-3%,"-$253,890",,,,,AMED
13,,2021-03-03 18:03:04,2021-03-01,AMED,Perkins Bruce D,Dir,P - Purchase,$259.38,"+1,000",28901,+4%,"+$259,376",,,,,AMED
14,D,2021-03-02 20:01:43,2021-02-26,AMED,Ginn Scott G,"EVP, CFO",S - Sale+OE,$264.15,-975,31823,-3%,"-$257,546",,,,,AMED
15,,2021-03-01 16:03:56,2021-02-25,AMED,Bohnert Denise M.,Chief Compliance Officer,S - Sale,$274.44,-70,13496,-1%,"-$19,211",,,,,AMED
16,,2021-02-23 16:12:18,2021-02-22,AMED,Bohnert Denise M.,Chief Compliance Officer,S - Sale,$291.48,-126,13566,-1%,"-$36,726",,,,,AMED
17,D,2021-02-02 16:21:49,2021-01-29,AMED,Ginn Scott G,CFO,S - Sale+OE,$286.87,-975,20563,-5%,"-$279,698",,,,,AMED
18,,2021-01-27 16:36:43,2021-01-25,AMED,Bohnert Denise M.,Chief Compliance Officer,S - Sale,$314.41,-454,8145,-5%,"-$142,742",,,,,AMED
19,D,2021-01-22 17:48:44,2021-01-20,AMED,Bohnert Denise M.,Chief Compliance Officer,S - Sale+OE,$300.84,-526,8599,-6%,"-$158,242",,,,,AMED
20,,2021-01-20 16:01:07,2021-01-15,AMED,Gerard Christopher,COO,S - Sale,$290.20,-750,27199,-3%,"-$217,650",,,,,AMED
21,D,2021-01-05 17:58:32,2020-12-31,AMED,Ginn Scott G,CFO,S - Sale+OE,$287.57,-975,20563,-5%,"-$280,381",,,,,AMED
22,,2020-12-17 18:05:39,2020-12-15,AMED,Gerard Christopher,COO,S - Sale,$272.56,-750,27949,-3%,"-$204,421",,,,,AMED
23,D,2020-12-02 16:46:44,2020-11-30,AMED,Ginn Scott G,CFO,S - Sale+OE,$241.62,-975,20563,-5%,"-$235,580",,,,,AMED
24,,2020-11-18 16:05:05,2020-11-16,AMED,Gerard Christopher,COO,S - Sale,$243.68,-750,28699,-3%,"-$182,762",,,,,AMED
25,D,2020-11-03 20:02:04,2020-10-30,AMED,Ginn Scott G,CFO,S - Sale+OE,$250.00,-975,20563,-5%,"-$243,750",,,,,AMED
26,,2020-10-19 16:05:23,2020-10-15,AMED,Gerard Christopher,COO,S - Sale,$252.03,-1500,29449,-5%,"-$378,047",,,,,AMED
27,D,2020-10-02 16:31:15,2020-09-30,AMED,Ginn Scott G,CFO,S - Sale+OE,$230.79,-975,21763,-4%,"-$225,020",,,,,AMED
28,,2020-09-17 16:39:08,2020-09-15,AMED,Gerard Christopher,COO,S - Sale,$239.25,-1500,30949,-5%,"-$358,876",,,,,AMED
29,,2020-09-11 16:24:25,2020-09-09,AMED,North Michael Paul,CIO,S - Sale,$230.00,-4069,5874,-41%,"-$935,870",,,,,AMED
30,D,2020-09-09 21:00:36,2020-09-04,AMED,Ginn Scott G,CFO,S - Sale+OE,$236.44,-975,21763,-4%,"-$230,529",,,,,AMED
31,D,2020-09-04 21:01:36,2020-09-02,AMED,Brunecz Sharon,CHRO,S - Sale+OE,$245.37,-4367,17850,-20%,"-$1,071,529",,,,,AMED
32,,2020-08-05 21:00:31,2020-08-03,AMED,Gerard Christopher,COO,S - Sale,$231.52,-750,32449,-2%,"-$173,642",,,,,AMED
