,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-19 18:47:10,2021-11-17,ASO,Lawrence Steven Paul,"EVP, CMO",S - Sale+OE,$48.19,-42026,111553,-27%,"-$2,025,203",,,,,ASO
1,D,2021-11-19 18:45:04,2021-11-18,ASO,Ennis William S.,"SVP, CHRO",S - Sale+OE,$49.70,-95404,32108,-75%,"-$4,741,772",,,,,ASO
2,DM,2021-11-17 18:32:17,2021-11-15,ASO,Lawrence Steven Paul,"EVP, CMO",S - Sale+OE,$48.07,-187112,111553,-63%,"-$8,993,717",,,,,ASO
3,D,2021-11-05 19:28:02,2021-11-04,ASO,Lawrence Steven Paul,"EVP, CMO",S - Sale+OE,$48.02,-4455,111553,-4%,"-$213,941",,,,,ASO
4,,2021-09-24 18:02:16,2021-09-23,ASO,Davis Heather A.,See Remarks,S - Sale,$43.03,-4684,526,-90%,"-$201,553",,,,,ASO
5,,2021-09-21 16:31:11,2021-09-17,ASO,Kkr 2006 Allstar Blocker L.P.,10%,S - Sale,$43.52,-18645602,0,-100%,"-$811,456,599",,,,,ASO
6,,2021-09-21 16:30:43,2021-09-17,ASO,Kkr Group Partnership L.P.,10%,S - Sale,$43.52,-18645602,0,-100%,"-$811,456,599",,,,,ASO
7,D,2021-09-17 18:28:01,2021-09-16,ASO,Davis Heather A.,See Remarks,S - Sale+OE,$46.06,-7229,5210,-58%,"-$332,968",,,,,ASO
8,,2021-07-14 17:02:14,2021-07-12,ASO,Kkr Group Partnership L.P.,10%,S - Sale,$38.30,-10100000,8614193,-54%,"-$386,830,000",,,,,ASO
9,,2021-07-14 17:00:47,2021-07-12,ASO,Kkr 2006 Allstar Blocker L.P.,10%,S - Sale,$38.30,-10100000,8614193,-54%,"-$386,830,000",,,,,ASO
10,,2021-06-28 18:19:03,2021-06-25,ASO,Ennis William S.,"SVP, CHRO",S - Sale,$42.35,-51929,31746,-62%,"-$2,199,193",,,,,ASO
11,,2021-06-28 18:18:01,2021-06-25,ASO,Rutherford Jamey Traywick,"SVP, Omnichannel",S - Sale,$42.50,-6105,74687,-8%,"-$259,463",,,,,ASO
12,,2021-06-28 18:16:32,2021-06-25,ASO,Mullican Michael P.,"EVP, CFO",S - Sale,$42.52,-50000,102001,-33%,"-$2,126,000",,,,,ASO
13,D,2021-06-22 18:57:09,2021-06-21,ASO,Johnson Samuel J,"EVP, Retail Operations",S - Sale+OE,$39.78,-56685,130303,-30%,"-$2,254,929",,,,,ASO
14,,2021-05-18 09:15:08,2021-05-17,ASO,Simon William S,Dir,S - Sale,$35.30,-31007,5782,-84%,"-$1,094,446",,,,,ASO
15,,2021-05-12 21:40:42,2021-05-10,ASO,Kkr Group Partnership L.P.,10%,S - Sale,$30.96,-13100000,13280351,-50%,"-$405,576,000",,,,,ASO
16,,2021-05-12 21:34:42,2021-05-10,ASO,Kkr 2006 Allstar Blocker L.P.,10%,S - Sale,$30.96,-13100000,13280351,-50%,"-$405,576,000",,,,,ASO
17,,2021-04-09 18:36:40,2021-04-07,ASO,Kkr 2006 Allstar Blocker L.P.,10%,S - Sale,$28.48,-7794640,19332496,-29%,"-$221,991,347",,,,,ASO
18,,2021-04-09 18:31:35,2021-04-07,ASO,Kkr Group Partnership L.P.,10%,S - Sale,$28.48,-7794640,19332496,-29%,"-$221,991,347",,,,,ASO
19,D,2021-04-02 18:02:25,2021-03-31,ASO,Ennis William S.,"SVP, CHRO",S - Sale+OE,$25.50,-238094,106911,-69%,"-$6,071,689",,,,,ASO
20,,2021-02-03 21:14:49,2021-02-01,ASO,Kkr Group Partnership L.P.,10%,S - Sale,$20.69,-11947059,22933587,-34%,"-$247,230,050",,,,,ASO
21,,2021-02-03 21:11:57,2021-02-01,ASO,Kkr 2006 Allstar Blocker L.P.,10%,S - Sale,$20.69,-11947059,22933587,-34%,"-$247,230,050",,,,,ASO
22,,2021-01-07 20:32:35,2021-01-05,ASO,Ennis William S.,See Remarks,S - Sale,$20.59,-8569,107741,-7%,"-$176,399",,,,,ASO
23,,2021-01-07 20:30:21,2021-01-05,ASO,Johnson Samuel J,"EVP, Retail Operations",S - Sale,$20.56,-12740,194385,-6%,"-$261,934",,,,,ASO
24,,2021-01-07 20:28:23,2021-01-05,ASO,Hicks Ken C,"COB, Pres, CEO",S - Sale,$20.51,-120729,545140,-18%,"-$2,476,284",,,,,ASO
25,,2021-01-07 20:26:04,2021-01-05,ASO,Attaway Kenneth D.,"EVP, COO",S - Sale,$20.62,-8563,152480,-5%,"-$176,570",,,,,ASO
26,,2021-01-07 20:25:55,2021-01-05,ASO,Mullican Michael P.,"EVP, CFO",S - Sale,$20.50,-22947,223837,-9%,"-$470,368",,,,,ASO
27,,2021-01-07 20:24:53,2021-01-05,ASO,Casares Rene G.,"SVP, GC",S - Sale,$20.51,-12696,113575,-10%,"-$260,363",,,,,ASO
28,,2021-01-06 19:16:55,2021-01-04,ASO,Lawrence Steven Paul,See Remarks,S - Sale,$20.77,-4282,174710,-2%,"-$88,937",,,,,ASO
