,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-09-15 17:30:00,2021-09-15,BMBL,Bx Buzz Ml-1 Gp LLC,10%,S - Sale+OE,$52.38,-20700000,0,-100%,"-$1,084,266,000",,,,,BMBL
1,D,2021-09-15 17:28:24,2021-09-15,BMBL,Btoa - Nq L.L.C.,10%,S - Sale+OE,$52.38,-20700000,0,-100%,"-$1,084,266,000",,,,,BMBL
2,D,2021-09-15 17:25:28,2021-09-15,BMBL,Blackstone Holdings III Gp Management L.L.C.,10%,S - Sale+OE,$52.38,-20700000,0,-100%,"-$1,084,266,000",,,,,BMBL
3,D,2021-09-15 17:24:57,2021-09-15,BMBL,Bx Buzz Ml-1 Holdco L.P.,10%,S - Sale+OE,$52.38,-20700000,0,-100%,"-$1,084,266,000",,,,,BMBL
4,D,2021-09-15 17:24:50,2021-09-15,BMBL,Bcp Buzz Holdings L.P.,10%,S - Sale+OE,$52.38,-20700000,0,-100%,"-$1,084,266,000",,,,,BMBL
5,D,2021-05-27 21:41:34,2021-05-26,BMBL,Griffin Amy,Dir,P - Purchase,$42.81,"+117,500",117501,>999%,"+$5,029,962",,,,,BMBL
6,D,2021-05-24 20:33:56,2021-05-20,BMBL,Shaukat Tariq M,Pres,P - Purchase,$39.94,+200,201,>999%,"+$7,988",,,,,BMBL
7,AD,2021-04-28 18:03:25,2021-02-16,BMBL,Blackstone Holdings III Gp Management L.L.C.,10%,S - Sale+OE,$41.07,-26998542,5344996,-83%,"-$1,108,695,127",,,,,BMBL
8,AD,2021-04-28 18:03:11,2021-02-16,BMBL,Btoa - Nq L.L.C.,10%,S - Sale+OE,$41.07,-26998542,5344996,-83%,"-$1,108,695,127",,,,,BMBL
9,AD,2021-04-28 17:58:48,2021-02-16,BMBL,Blackstone Group Inc,10%,S - Sale+OE,$41.07,-26998542,5344996,-83%,"-$1,108,695,127",,,,,BMBL
10,AD,2021-04-28 17:54:09,2021-02-16,BMBL,Bcp Buzz Holdings L.P.,10%,S - Sale+OE,$41.07,-26998542,5344996,-83%,"-$1,108,695,127",,,,,BMBL
11,D,2021-02-18 21:07:47,2021-02-16,BMBL,Herd Whitney Wolfe,"CEO, Dir, 10%",P - Purchase,$43.00,"+488,371",23256,-105%,"+$20,999,953",,,,,BMBL
12,D,2021-02-18 21:06:21,2021-02-16,BMBL,Blackstone Holdings III Gp Management L.L.C.,10%,S - Sale+OE,$41.07,-24798848,5269229,-82%,"-$1,018,364,693",,,,,BMBL
13,D,2021-02-18 21:03:28,2021-02-16,BMBL,Thomas-Graham Pamela,Dir,P - Purchase,$76.23,"+6,535",6536,>999%,"+$498,163",,,,,BMBL
14,D,2021-02-18 20:49:15,2021-02-16,BMBL,Bcp Buzz Holdings L.P.,10%,S - Sale+OE,$41.07,-24798848,5269229,-82%,"-$1,018,364,693",,,,,BMBL
15,D,2021-02-18 20:28:34,2021-02-16,BMBL,Blackstone Group Inc,10%,S - Sale+OE,$41.07,-24798848,5269229,-82%,"-$1,018,364,693",,,,,BMBL
16,D,2021-02-18 20:26:57,2021-02-16,BMBL,Btoa - Nq L.L.C.,10%,S - Sale+OE,$41.07,-24798848,5269229,-82%,"-$1,018,364,693",,,,,BMBL
