,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-17 16:02:28,2021-12-15,BPMC,Hewes L. Becker,Chief Medical Officer,S - Sale+OE,$100.00,-729,26187,-3%,"-$72,900",,,,,BPMC
1,D,2021-12-15 16:23:36,2021-12-13,BPMC,Haviland Kate,COO,S - Sale+OE,$98.30,-1000,53948,-2%,"-$98,296",,,,,BPMC
2,D,2021-12-09 16:01:49,2021-12-07,BPMC,McCain Tracey L,"EVP, GC",S - Sale+OE,$97.30,-5000,33441,-13%,"-$486,490",,,,,BPMC
3,D,2021-11-18 16:06:15,2021-11-16,BPMC,Hurley Ariel,Principal Accounting Officer,S - Sale+OE,$114.28,-1950,10097,-16%,"-$222,846",,,,,BPMC
4,D,2021-11-17 16:18:03,2021-11-15,BPMC,Albers Jeffrey W.,"CEO, Pres",S - Sale+OE,$114.50,-30000,188448,-14%,"-$3,435,099",,,,,BPMC
5,D,2021-11-17 16:04:32,2021-11-15,BPMC,Hewes L. Becker,Chief Medical Officer,S - Sale+OE,$115.49,-729,26187,-3%,"-$84,192",,,,,BPMC
6,D,2021-11-05 16:01:43,2021-11-03,BPMC,McCain Tracey L,"EVP, GC",S - Sale+OE,$110.56,-5000,33274,-13%,"-$552,812",,,,,BPMC
7,D,2021-11-03 16:05:45,2021-11-01,BPMC,Durso-Bumpus Debra,Chief People Officer,S - Sale+OE,$113.03,-5177,30874,-14%,"-$585,172",,,,,BPMC
8,D,2021-11-03 16:03:52,2021-11-01,BPMC,Albers Jeffrey W.,"CEO, Pres",S - Sale+OE,$115.16,-5000,188448,-3%,"-$575,800",,,,,BPMC
9,D,2021-10-19 16:04:09,2021-10-15,BPMC,Hewes L. Becker,Chief Medical Officer,S - Sale+OE,$102.66,-729,26187,-3%,"-$74,839",,,,,BPMC
10,,2021-10-07 16:26:00,2021-10-05,BPMC,Namouni Fouad,"Pres, R, D",S - Sale,$98.18,-3241,42321,-7%,"-$318,201",,,,,BPMC
11,D,2021-09-27 16:31:47,2021-09-23,BPMC,Hurley Ariel,Principal Accounting Officer,S - Sale+OE,$110.00,-600,10097,-6%,"-$66,000",,,,,BPMC
12,D,2021-09-27 16:30:23,2021-09-23,BPMC,McCain Tracey L,"EVP, GC",S - Sale+OE,$108.85,-25000,33274,-43%,"-$2,721,349",,,,,BPMC
13,D,2021-09-27 16:28:51,2021-09-23,BPMC,Durso-Bumpus Debra,Chief People Officer,S - Sale+OE,$110.01,-848,30874,-3%,"-$93,288",,,,,BPMC
14,D,2021-09-17 16:19:39,2021-09-15,BPMC,Hewes L. Becker,Chief Medical Officer,S - Sale+OE,$101.17,-11833,26187,-31%,"-$1,197,139",,,,,BPMC
15,,2021-09-17 16:14:52,2021-06-02,BPMC,Hewes L. Becker,Chief Medical Officer,S - Sale,$89.03,-1292,29270,-4%,"-$115,027",,,,,BPMC
16,D,2021-09-15 16:14:20,2021-09-13,BPMC,Hurley Ariel,Principal Accounting Officer,S - Sale+OE,$100.00,-600,10097,-6%,"-$60,000",,,,,BPMC
17,D,2021-09-15 16:13:42,2021-09-13,BPMC,Haviland Kate,COO,S - Sale+OE,$99.94,-1000,53948,-2%,"-$99,936",,,,,BPMC
18,D,2021-08-23 16:24:40,2021-08-19,BPMC,Albers Jeffrey W.,"CEO, Pres",S - Sale+OE,$92.68,-25000,172448,-13%,"-$2,317,102",,,,,BPMC
19,D,2021-08-19 16:16:08,2021-08-17,BPMC,Hurley Ariel,Principal Accounting Officer,S - Sale+OE,$91.93,-1350,10097,-12%,"-$124,106",,,,,BPMC
20,D,2021-06-30 16:02:49,2021-06-28,BPMC,Haviland Kate,COO,S - Sale+OE,$90.24,-1000,53948,-2%,"-$90,238",,,,,BPMC
21,,2021-06-03 16:19:20,2021-06-01,BPMC,Hurley Ariel,Principal Accounting Officer,S - Sale,$91.67,-237,10097,-2%,"-$21,726",,,,,BPMC
22,D,2021-05-19 16:11:31,2021-05-17,BPMC,Hurley Ariel,Principal Accounting Officer,S - Sale+OE,$95.00,-3055,10097,-23%,"-$290,225",,,,,BPMC
23,D,2021-05-14 18:02:37,2021-05-12,BPMC,Albers Jeffrey W.,"CEO, Pres",S - Sale+OE,$92.69,-25000,172448,-13%,"-$2,317,366",,,,,BPMC
24,A,2021-03-17 17:49:03,2021-03-03,BPMC,Hurley Ariel,Principal Accounting Officer,S - Sale,$98.45,-512,12659,-4%,"-$50,406",,,,,BPMC
25,D,2021-03-17 17:48:40,2021-03-15,BPMC,Haviland Kate,COO,S - Sale+OE,$105.60,-1000,53948,-2%,"-$105,603",,,,,BPMC
26,,2021-03-05 17:53:17,2021-03-04,BPMC,Durso-Bumpus Debra,Chief People Officer,S - Sale,$86.76,-1693,30874,-5%,"-$146,887",,,,,BPMC
27,M,2021-03-05 17:52:30,2021-03-03,BPMC,Hurley Ariel,Principal Accounting Officer,S - Sale,$91.16,-1372,11799,-10%,"-$125,066",,,,,BPMC
28,,2021-03-05 17:52:14,2021-03-04,BPMC,Haviland Kate,COO,S - Sale,$86.77,-1952,53948,-3%,"-$169,370",,,,,BPMC
29,,2021-03-05 17:51:29,2021-03-04,BPMC,Landsittel Michael,CFO,S - Sale,$86.76,-1507,28905,-5%,"-$130,749",,,,,BPMC
30,,2021-03-05 17:50:16,2021-03-04,BPMC,McCain Tracey L,"EVP, GC",S - Sale,$86.76,-1893,32852,-5%,"-$164,242",,,,,BPMC
31,,2021-03-05 17:49:48,2021-03-04,BPMC,Murray Christopher K.,"SVP, Technical Operations",S - Sale,$86.76,-1210,18888,-6%,"-$104,984",,,,,BPMC
32,,2021-03-05 17:48:58,2021-03-04,BPMC,Rossi Christina,Chief Commercial Officer,S - Sale,$86.77,-1359,31723,-4%,"-$117,920",,,,,BPMC
33,D,2021-03-05 17:48:35,2021-03-04,BPMC,Albers Jeffrey W.,"CEO, Pres",S - Sale+OE,$89.28,-18986,172448,-10%,"-$1,695,006",,,,,BPMC
