,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-07 21:21:58,2021-12-03,BRP,"Baldwin Insurance Group Holdings, LLC","Member of 10% Owner Group, 10%",S - Sale+OE,$0.00,-570000,15881478,-3%,-$0,,,,,BRP
1,DM,2021-12-07 21:16:24,2021-12-03,BRP,Baldwin Lowry,"COB, 10%",S - Sale+OE,$25.13,-226201,16725277,-1%,"-$5,684,231",,,,,BRP
2,,2021-09-20 16:37:44,2021-09-17,BRP,Cohen Jay A,Dir,P - Purchase,$30.50,"+2,800",3614,+344%,"+$85,400",,,,,BRP
3,D,2020-12-22 17:07:11,2020-12-18,BRP,"Kristopher A. Wiebeck 2019 Grantor Retained Annuity Trust Dated September 30, 2019",Member of 10% owner group,S - Sale+OE,$0.00,-20000,431427,-4%,-$0,,,,,BRP
4,D,2020-12-22 17:03:17,2020-12-18,BRP,Krystyn Elizabeth,Member of 10% owner group,S - Sale+OE,$0.00,-200000,2340876,-8%,-$0,,,,,BRP
5,D,2020-12-22 17:02:06,2020-12-18,BRP,Sherman Laura,Member of 10% owner group,S - Sale+OE,$0.00,-300000,2540875,-11%,-$0,,,,,BRP
6,D,2020-12-22 16:59:19,2020-12-18,BRP,"Baldwin Insurance Group Holdings, LLC","Member of 10% owner group, 10%",S - Sale+OE,$0.00,-466667,16451478,-3%,-$0,,,,,BRP
7,D,2020-12-15 18:04:21,2020-12-11,BRP,Krystyn Elizabeth,Member of 10% owner group,S - Sale+OE,$0.00,-100000,2540876,-4%,-$0,,,,,BRP
8,D,2020-12-15 18:02:29,2020-12-11,BRP,Sherman Laura,Member of 10% owner group,S - Sale+OE,$0.00,-100000,2840875,-3%,-$0,,,,,BRP
9,D,2020-12-15 17:55:00,2020-12-11,BRP,"Baldwin Insurance Group Holdings, LLC","Member of 10% owner group, 10%",S - Sale+OE,$0.00,-100000,16918145,-1%,-$0,,,,,BRP
10,D,2020-06-30 21:26:27,2020-06-29,BRP,Krystyn Elizabeth,"Member of 10% owner group, 10%",S - Sale+OE,$0.00,-450000,2640876,-15%,-$0,,,,,BRP
11,D,2020-06-30 21:26:21,2020-06-29,BRP,Sherman Laura,"Member of 10% owner group, 10%",S - Sale+OE,$0.00,-150000,2940875,-5%,-$0,,,,,BRP
12,D,2020-06-30 21:25:04,2020-06-26,BRP,"Baldwin Insurance Group Holdings, LLC","Member of 10% owner group, 10%",S - Sale+OE,$0.00,-1875000,17018145,-10%,-$0,,,,,BRP
13,D,2020-06-30 21:24:58,2020-06-26,BRP,"Loper Enterprises, LLC",10%,S - Sale+OE,$0.00,-1875000,17018145,-10%,-$0,,,,,BRP
14,DM,2020-06-05 19:44:12,2020-06-03,BRP,Baldwin Lowry,"COB;, 10%",S - Sale+OE,$14.72,-40762,18893145,0%,"-$600,183",,,,,BRP
15,DM,2020-06-05 19:43:08,2020-06-03,BRP,"Loper Enterprises, LLC",10%,S - Sale+OE,$14.72,-40762,18893145,0%,"-$600,183",,,,,BRP
16,DM,2020-06-05 19:42:03,2020-06-03,BRP,"Baldwin Insurance Group Holdings, LLC","Member of 10% owner group, 10%",S - Sale+OE,$0.00,-40762,18893145,0%,-$0,,,,,BRP
17,,2019-10-28 21:40:30,2019-10-28,BRP,Finney Joseph D.,Member of 10% owner group,P - Purchase,$14.00,"+35,000",35000,New,"+$490,000",,,,,BRP
18,D,2019-10-28 21:40:17,2019-10-28,BRP,Eddy Robert D.,"Dir, 10%",P - Purchase,$14.00,"+2,000",5665805,0%,"+$28,000",,,,,BRP
19,,2019-10-28 21:39:27,2019-10-28,BRP,Roche James Morgan,Member of 10% owner group,P - Purchase,$14.00,"+266,700",266700,New,"+$3,733,800",,,,,BRP
20,,2019-10-28 21:38:50,2019-10-28,BRP,Casey Phillip E,Dir,P - Purchase,$14.00,"+130,000",130000,New,"+$1,820,000",,,,,BRP
21,,2019-10-28 21:37:24,2019-10-28,BRP,Sullivan Chris Thomas,Dir,P - Purchase,$14.00,"+80,000",80000,New,"+$1,120,000",,,,,BRP
22,D,2019-10-28 21:36:03,2019-10-28,BRP,Hale Bradford,Chief Accounting Officer,P - Purchase,$14.00,"+7,000",127171,+6%,"+$98,000",,,,,BRP
