,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-07 13:08:47,2021-12-06,CBSH,Petersen Paula S,SVP,S - Sale,$69.45,-1282,28813,-4%,"-$89,036",,,,,CBSH
1,,2021-11-03 10:59:48,2021-11-02,CBSH,Handy John K,EVP,S - Sale,$72.84,-2125,50137,-4%,"-$154,778",,,,,CBSH
2,,2021-05-05 19:03:45,2021-05-03,CBSH,Kemper Jonathan M,Dir,S - Sale,$77.58,-5300,1412217,0%,"-$411,153",,,,,CBSH
3,D,2021-03-16 19:35:14,2021-03-12,CBSH,Kim Charles G,"Exec. VP, CFO",S - Sale+OE,$80.14,-9023,113235,-7%,"-$723,077",,,,,CBSH
4,D,2021-03-16 19:06:44,2021-03-12,CBSH,Kemper John W,"Pres, CEO",S - Sale+OE,$80.13,-4290,390476,-1%,"-$343,771",,,,,CBSH
5,D,2021-03-16 19:02:28,2021-03-12,CBSH,Steiner Paul A,Controller,S - Sale+OE,$80.85,-932,5974,-13%,"-$75,352",,,,,CBSH
6,D,2021-03-08 16:26:26,2021-03-04,CBSH,Roller David L.,SVP,S - Sale+OE,$75.13,-866,24882,-3%,"-$65,063",,,,,CBSH
7,,2021-03-04 16:43:51,2021-03-03,CBSH,Orf David L,"Exec. VP, CCO",S - Sale,$76.25,-430,25377,-2%,"-$32,786",,,,,CBSH
8,,2021-03-04 16:36:53,2021-03-03,CBSH,Neff Douglas D,SVP,S - Sale,$75.70,-508,5995,-8%,"-$38,456",,,,,CBSH
9,DM,2021-03-03 18:34:57,2021-03-02,CBSH,Handy John K,EVP,S - Sale+OE,$75.08,-2535,51688,-5%,"-$190,317",,,,,CBSH
10,D,2021-03-01 16:27:46,2021-02-25,CBSH,Neff Douglas D,SVP,S - Sale+OE,$76.80,-851,6715,-11%,"-$65,357",,,,,CBSH
11,,2021-02-26 14:40:15,2021-02-24,CBSH,Kemper Jonathan M,Dir,S - Sale,$75.57,-26568,1417100,-2%,"-$2,007,815",,,,,CBSH
12,D,2021-02-22 13:08:24,2021-02-19,CBSH,Orf David L,"Exec. VP, CCO",S - Sale+OE,$74.07,-592,25998,-2%,"-$43,850",,,,,CBSH
13,D,2021-02-17 16:49:31,2021-02-16,CBSH,Handy John K,EVP,S - Sale+OE,$73.80,-1101,55086,-2%,"-$81,254",,,,,CBSH
14,D,2021-02-16 09:31:52,2021-02-11,CBSH,Holmes Robert S,EVP,S - Sale+OE,$72.35,-6234,37445,-14%,"-$450,999",,,,,CBSH
15,D,2021-02-12 13:31:38,2021-02-10,CBSH,Kemper David W,Dir,S - Sale+OE,$73.50,-9862,1539986,-1%,"-$724,857",,,,,CBSH
16,D,2021-02-10 14:50:44,2021-02-09,CBSH,Orf David L,"Exec. VP, CCO",S - Sale+OE,$73.39,-2021,25998,-7%,"-$148,312",,,,,CBSH
17,D,2021-02-10 14:12:11,2021-02-08,CBSH,Barth Kevin G,EVP,S - Sale+OE,$71.64,-9539,120378,-7%,"-$683,356",,,,,CBSH
18,,2021-02-10 13:39:26,2021-02-08,CBSH,Kemper John W,"Pres, CEO",S - Sale,$71.78,-10026,390476,-3%,"-$719,642",,,,,CBSH
19,,2021-02-05 16:37:55,2021-02-04,CBSH,Burik Jeffrey M.,SVP,S - Sale,$69.00,-2253,11821,-16%,"-$155,457",,,,,CBSH
20,,2021-02-05 16:35:45,2021-02-04,CBSH,Barth Kevin G,EVP,S - Sale,$70.00,-5396,120378,-4%,"-$377,720",,,,,CBSH
21,DM,2021-02-03 17:16:12,2021-02-01,CBSH,Kellerhals Patricia R,SVP,S - Sale+OE,$68.22,-712,32995,-2%,"-$48,570",,,,,CBSH
22,,2021-02-03 16:13:22,2021-02-02,CBSH,Kemper David W,Dir,S - Sale,$68.10,-17980,1540713,-1%,"-$1,224,447",,,,,CBSH
23,,2021-01-29 17:24:32,2021-01-28,CBSH,Kemper David W,Dir,S - Sale,$69.04,-8016,1569423,-1%,"-$553,401",,,,,CBSH
24,,2021-01-27 16:48:15,2021-01-26,CBSH,Kemper Jonathan M,Dir,S - Sale,$69.08,-6877,1449210,0%,"-$475,034",,,,,CBSH
25,D,2020-11-18 17:01:05,2020-11-16,CBSH,Callahan Daniel D.,"Exec. VP, CCO",S - Sale+OE,$70.42,-950,15917,-6%,"-$66,897",,,,,CBSH
26,,2020-11-12 14:36:18,2020-11-10,CBSH,Neff Douglas D,SVP,S - Sale,$67.86,-311,4511,-6%,"-$21,103",,,,,CBSH
27,D,2020-11-10 18:35:54,2020-11-09,CBSH,Foster Sara E,EVP,S - Sale+OE,$68.51,-5044,51106,-9%,"-$345,544",,,,,CBSH
28,,2020-11-03 16:18:19,2020-10-30,CBSH,Kemper Jonathan M,Dir,S - Sale,$61.90,-32000,1389122,-2%,"-$1,980,762",,,,,CBSH
