,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-14 21:00:57,2021-06-11,CONE,Ferdman David H.,Dir,S - Sale,$79.63,-5000,76666,-6%,"-$398,160",,,,,CONE
1,,2021-05-24 18:51:41,2021-05-21,CONE,Ferdman David H.,Dir,S - Sale,$73.15,-10000,81666,-11%,"-$731,500",,,,,CONE
2,D,2020-09-03 18:07:53,2020-09-01,CONE,Timmons Kevin L,Former EVP & CTO,S - Sale+OE,$83.20,-5000,43880,-10%,"-$416,000",,,,,CONE
3,D,2020-08-05 17:07:15,2020-08-03,CONE,Timmons Kevin L,"EVP, CTO",S - Sale+OE,$82.96,-5000,43880,-10%,"-$414,800",,,,,CONE
4,D,2020-07-06 16:45:20,2020-07-01,CONE,Timmons Kevin L,"EVP, CTO",S - Sale+OE,$72.16,-5000,43492,-10%,"-$360,800",,,,,CONE
5,D,2020-06-17 18:45:16,2020-06-16,CONE,Jackson Robert M,"EVP, GC",S - Sale+OE,$75.39,-24164,24478,-50%,"-$1,821,642",,,,,CONE
6,D,2020-06-03 17:43:55,2020-06-01,CONE,Timmons Kevin L,"EVP, CTO",S - Sale+OE,$73.45,-5000,43492,-10%,"-$367,242",,,,,CONE
7,,2020-05-08 17:33:14,2020-05-08,CONE,Morefield Diane M,"EVP, CFO",S - Sale,$73.60,-13916,41095,-25%,"-$1,024,233",,,,,CONE
8,,2020-05-08 17:32:53,2020-05-08,CONE,Klayko Michael,Dir,S - Sale,$73.60,-5515,8986,-38%,"-$405,926",,,,,CONE
9,D,2020-05-05 17:56:21,2020-05-01,CONE,Timmons Kevin L,"EVP, CTO",S - Sale+OE,$68.33,-5000,43492,-10%,"-$341,650",,,,,CONE
10,,2020-04-07 16:18:30,2020-04-06,CONE,Jackson Robert M,"EVP, GC",S - Sale,$65.00,-12598,24478,-34%,"-$818,870",,,,,CONE
11,,2020-04-03 16:58:00,2020-04-01,CONE,Timmons Kevin L,"EVP, CTO",S - Sale,$60.00,-5000,47270,-10%,"-$300,000",,,,,CONE
12,,2020-03-03 18:27:10,2020-03-02,CONE,Timmons Kevin L,"EVP, CTO",S - Sale,$60.90,-5000,52270,-9%,"-$304,500",,,,,CONE
13,D,2020-02-05 18:33:47,2020-02-03,CONE,Timmons Kevin L,"EVP, CTO",S - Sale+OE,$60.79,-5000,41306,-11%,"-$303,950",,,,,CONE
14,,2020-01-13 18:22:27,2020-01-10,CONE,Wojtaszek Gary J,"Pres, CEO",S - Sale,$67.00,-100000,360430,-22%,"-$6,700,000",,,,,CONE
15,,2020-01-08 17:24:20,2020-01-06,CONE,Timmons Kevin L,"EVP, CTO",S - Sale,$65.11,-5000,97075,-5%,"-$325,550",,,,,CONE
16,M,2019-12-30 16:32:57,2019-12-27,CONE,Wojtaszek Gary J,"Pres, CEO",S - Sale,$65.00,-13456,460430,-3%,"-$874,647",,,,,CONE
17,,2019-12-26 16:14:14,2019-12-23,CONE,Wojtaszek Gary J,"Pres, CEO",S - Sale,$65.01,-18193,473886,-4%,"-$1,182,681",,,,,CONE
18,,2019-11-07 17:17:06,2019-11-07,CONE,Skomal Mark,"SVP, Chief Accounting Officer",S - Sale,$68.47,-1083,4432,-20%,"-$74,153",,,,,CONE
19,,2019-11-06 17:12:16,2019-11-04,CONE,Timmons Kevin L,"EVP, CTO",S - Sale,$70.53,-24000,102075,-19%,"-$1,692,720",,,,,CONE
20,,2019-11-06 17:11:57,2019-11-04,CONE,Durvasula Venkatesh S.,"EVP, Pres, Europe",S - Sale,$70.48,-29911,165782,-15%,"-$2,108,232",,,,,CONE
21,,2019-03-11 18:33:33,2019-03-11,CONE,Klayko Michael,Dir,P - Purchase,$51.10,"+1,955",12016,+19%,"+$99,901",,,,,CONE
22,M,2019-02-27 18:21:30,2019-02-25,CONE,Timmons Kevin L,"EVP, CTO",S - Sale,$51.14,-19600,135765,-13%,"-$1,002,257",,,,,CONE
23,,2019-02-27 16:23:08,2019-02-27,CONE,Wojtaszek Gary J,"Pres, CEO",P - Purchase,$49.86,"+4,000",511151,+1%,"+$199,436",,,,,CONE
24,D,2018-08-27 18:19:41,2018-08-23,CONE,Timmons Kevin L,CTO,S - Sale+OE,$67.16,-7374,172116,-4%,"-$495,222",,,,,CONE
25,,2018-08-21 17:20:26,2018-08-17,CONE,Wojtaszek Gary J,"Pres, CEO",S - Sale,$66.50,-10000,519936,-2%,"-$665,028",,,,,CONE
26,,2018-08-08 18:21:06,2018-08-08,CONE,Jackson Robert M,"EVP, GC",S - Sale,$65.27,-1795,25497,-7%,"-$117,160",,,,,CONE
27,,2018-08-08 18:20:35,2018-08-06,CONE,Durvasula Venkatesh S.,CHIEF COMMERCIAL OFFICER,S - Sale,$64.96,-5000,227712,-2%,"-$324,781",,,,,CONE
28,,2018-07-05 17:12:45,2018-07-03,CONE,Jackson Robert M,"EVP, GC",S - Sale,$60.00,-1514,29799,-5%,"-$90,840",,,,,CONE
29,M,2018-03-07 17:32:17,2018-03-05,CONE,Timmons Kevin L,CTO,S - Sale,$49.39,-11465,172116,-6%,"-$566,252",,,,,CONE
