,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-12 18:47:09,2021-11-12,CRTX,Dominy Stephen S.,Chief Scientific Officer,P - Purchase,$14.40,+763,1437674,0%,"+$10,987",,,,,CRTX
1,D,2021-10-12 17:48:46,2021-10-08,CRTX,McLoughlin Margaret,Dir,S - Sale+OE,$88.93,-1000,0,-100%,"-$88,930",,,,,CRTX
2,D,2021-10-07 18:24:12,2021-10-05,CRTX,Lowe Christopher P.,"COO, CFO",S - Sale+OE,$98.50,-4963,60000,-8%,"-$488,856",,,,,CRTX
3,D,2021-08-18 17:30:22,2021-08-16,CRTX,McLoughlin Margaret,Dir,S - Sale+OE,$95.44,-6000,0,-100%,"-$572,644",,,,,CRTX
4,D,2021-08-18 17:25:23,2021-08-16,CRTX,Lowe Christopher P.,"COO, CFO",S - Sale+OE,$95.31,-22000,60000,-27%,"-$2,096,779",,,,,CRTX
5,D,2021-08-12 17:37:22,2021-08-10,CRTX,Detke Michael J.,Chief Medical Officer,S - Sale+OE,$100.00,-10000,0,-100%,"-$1,000,000",,,,,CRTX
6,DM,2021-07-07 20:38:59,2021-07-06,CRTX,Detke Michael J.,Chief Medical Officer,S - Sale+OE,$54.04,-58261,0,-100%,"-$3,148,172",,,,,CRTX
7,D,2021-06-30 17:46:35,2021-06-28,CRTX,Lowe Christopher P.,"COO, CFO",S - Sale+OE,$54.15,-20000,30000,-40%,"-$1,083,074",,,,,CRTX
8,,2021-06-29 17:26:57,2021-06-28,CRTX,McLoughlin Margaret,Dir,S - Sale,$55.15,-550,0,-100%,"-$30,333",,,,,CRTX
9,,2021-05-12 16:51:32,2021-05-10,CRTX,Lynch Casey,CEO,S - Sale,$34.58,-30000,1120580,-3%,"-$1,037,361",,,,,CRTX
10,,2021-03-24 21:06:12,2021-03-24,CRTX,Lamond David,Dir,P - Purchase,$33.77,"+50,000",3683658,+1%,"+$1,688,500",,,,,CRTX
11,,2021-03-23 19:06:47,2021-03-22,CRTX,Lynch Casey,CEO,S - Sale,$35.59,-30000,1150580,-3%,"-$1,067,611",,,,,CRTX
12,,2021-03-05 17:54:39,2021-03-04,CRTX,Lamond David,Dir,P - Purchase,$35.34,"+50,000",2098938,+2%,"+$1,767,057",,,,,CRTX
13,M,2021-02-03 19:45:08,2021-02-01,CRTX,Lynch Casey,CEO,S - Sale,$38.49,-60000,1180580,-5%,"-$2,309,600",,,,,CRTX
14,D,2020-12-15 19:17:02,2020-12-14,CRTX,Holsinger Leslie,EVP,S - Sale+OE,$30.81,-40000,3500,-92%,"-$1,232,528",,,,,CRTX
15,M,2020-06-15 18:55:03,2020-06-11,CRTX,"Epiq Capital Group, LLC",IA/Managing Member of 10% owne,P - Purchase,$44.25,"+9,040",2860967,0%,"+$400,018",,,,,CRTX
16,,2020-06-08 18:47:15,2020-06-04,CRTX,Lamond David,Dir,P - Purchase,$43.27,"+49,125",2048938,+2%,"+$2,125,795",,,,,CRTX
17,,2020-06-04 16:25:17,2020-06-03,CRTX,Pfizer Inc,10%,S - Sale,$40.18,-370000,2879973,-11%,"-$14,866,600",,,,,CRTX
18,M,2020-05-22 18:03:14,2020-05-20,CRTX,"Epiq Capital Group, LLC",IA/Managing Member of 10% owne,P - Purchase,$57.33,"+8,690",2851927,0%,"+$498,172",,,,,CRTX
19,M,2020-05-19 18:41:45,2020-05-15,CRTX,Lamond David,Dir,P - Purchase,$55.35,"+44,648",1999813,+2%,"+$2,471,251",,,,,CRTX
20,,2020-03-12 16:46:22,2019-05-13,CRTX,Young Kevin,Dir,P - Purchase,$17.00,"+30,000",30000,New,"+$510,000",,,,,CRTX
21,,2020-03-12 16:43:34,2019-05-13,CRTX,Ryan Una S,Dir,P - Purchase,$17.00,"+2,875",2875,New,"+$48,875",,,,,CRTX
22,,2020-03-12 16:40:25,2019-05-13,CRTX,McLoughlin Margaret,Dir,P - Purchase,$17.00,+550,550,New,"+$9,350",,,,,CRTX
23,AM,2019-11-29 13:07:39,2019-08-20,CRTX,"Epiq Capital Group, LLC",IA/Managing Member of 10% owne,P - Purchase,$25.35,"+4,965",8536725,0%,"+$125,863",,,,,CRTX
24,AM,2019-11-29 12:59:11,2019-08-16,CRTX,"Epiq Capital Group, LLC",IA/Managing Member of 10% owne,P - Purchase,$26.46,"+2,800",2842610,0%,"+$74,100",,,,,CRTX
25,A,2019-11-29 12:52:29,2019-05-10,CRTX,"Epiq Capital Group, LLC",IA/Managing Member of 10% owne,P - Purchase,$26.98,"+8,600",8515100,0%,"+$232,056",,,,,CRTX
26,M,2019-08-21 16:54:59,2019-08-20,CRTX,"Epiq Capital Group, LLC",IA/Managing Member 10% owner,P - Purchase,$25.35,"+4,965",8497683,0%,"+$125,863",,,,,CRTX
27,M,2019-08-19 17:10:48,2019-08-16,CRTX,"Epiq Capital Group, LLC",IA/Managing Member 10% owner,P - Purchase,$26.46,"+2,800",2829596,0%,"+$74,100",,,,,CRTX
28,,2019-06-14 12:48:01,2019-05-10,CRTX,"Epiq Capital Group, LLC",IA/Managing Member 10% owner,P - Purchase,$26.98,"+8,600",8476058,0%,"+$232,056",,,,,CRTX
29,D,2019-05-14 07:34:53,2019-05-13,CRTX,Pfizer Inc,10%,P - Purchase,$17.00,"+50,000",3249973,+2%,"+$850,000",,,,,CRTX
