,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-12-15 17:44:06,2021-12-13,CRVL,Clemons V Gordon,COB,S - Sale,$195.37,-8000,1395837,-1%,"-$1,562,971",,,,,CRVL
1,,2021-12-09 19:11:57,2021-12-07,CRVL,Jessup R Judd,Dir,S - Sale,$196.08,-1000,40865,-2%,"-$196,080",,,,,CRVL
2,,2021-12-09 18:46:57,2021-12-07,CRVL,Clemons V Gordon,COB,S - Sale,$196.50,-1000,1403837,0%,"-$196,500",,,,,CRVL
3,,2021-12-06 18:52:27,2021-12-02,CRVL,Clemons V Gordon,COB,S - Sale,$191.18,-1000,1404837,0%,"-$191,179",,,,,CRVL
4,M,2021-12-01 18:07:41,2021-11-30,CRVL,Michael Jeffrey J,"Dir, 10%",S - Sale,$188.94,-15000,190437,-7%,"-$2,834,072",,,,,CRVL
5,D,2021-11-29 17:05:47,2021-11-24,CRVL,O'Brien Brandon,CFO,S - Sale+OE,$200.00,-441,2656,-14%,"-$88,200",,,,,CRVL
6,,2021-11-29 14:44:14,2021-11-24,CRVL,Hamerslag Steven J,Dir,S - Sale,$198.62,-5000,120468,-4%,"-$993,100",,,,,CRVL
7,M,2021-11-24 17:34:48,2021-11-22,CRVL,Clemons V Gordon,COB,S - Sale,$197.38,-3000,1405837,0%,"-$592,151",,,,,CRVL
8,D,2021-11-23 17:59:49,2021-11-19,CRVL,Shishin Maxim,CIO,S - Sale+OE,$195.60,-500,600,-45%,"-$97,800",,,,,CRVL
9,M,2021-11-18 18:24:02,2021-11-16,CRVL,Clemons V Gordon,COB,S - Sale,$194.39,-2370,1408837,0%,"-$460,709",,,,,CRVL
10,,2021-11-16 18:15:14,2021-11-12,CRVL,Clemons V Gordon,COB,S - Sale,$193.67,-1000,1411207,0%,"-$193,665",,,,,CRVL
11,D,2021-11-10 14:08:07,2021-11-08,CRVL,O'Brien Brandon,CFO,S - Sale+OE,$189.50,-1000,2656,-27%,"-$189,500",,,,,CRVL
12,,2021-11-08 18:41:24,2021-11-04,CRVL,Clemons V Gordon,COB,S - Sale,$186.00,-1000,1412207,0%,"-$186,000",,,,,CRVL
13,,2021-10-21 18:00:14,2021-10-19,CRVL,Clemons V Gordon,COB,S - Sale,$175.49,-1000,1413207,0%,"-$175,489",,,,,CRVL
14,M,2021-10-18 18:42:52,2021-10-14,CRVL,Clemons V Gordon,COB,S - Sale,$172.16,-6000,1414207,0%,"-$1,032,961",,,,,CRVL
15,M,2021-10-13 17:40:18,2021-10-11,CRVL,Clemons V Gordon,COB,S - Sale,$168.03,-6000,1420207,0%,"-$1,008,190",,,,,CRVL
16,M,2021-10-08 19:38:25,2021-10-06,CRVL,Clemons V Gordon,COB,S - Sale,$172.26,-6000,1426207,0%,"-$1,033,583",,,,,CRVL
17,M,2021-10-05 17:43:20,2021-10-01,CRVL,Clemons V Gordon,COB,S - Sale,$188.18,-6000,1432207,0%,"-$1,129,078",,,,,CRVL
18,,2021-09-10 18:16:40,2021-09-08,CRVL,Clemons V Gordon,COB,S - Sale,$168.00,-1000,1439207,0%,"-$168,000",,,,,CRVL
19,M,2021-09-08 11:37:00,2021-09-03,CRVL,Clemons V Gordon,COB,S - Sale,$168.50,-2000,1440207,0%,"-$337,000",,,,,CRVL
