,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-16 16:31:17,2021-12-14,EVBG,Grayson Bruns H,Dir,P - Purchase,$67.08,"+10,000",30000,+50%,"+$670,800",,,,,EVBG
1,,2021-12-16 16:28:03,2021-12-15,EVBG,Mathy Kent,Dir,P - Purchase,$66.66,+700,3923,+22%,"+$46,662",,,,,EVBG
2,,2021-12-16 16:26:42,2021-12-14,EVBG,Dean Alison,Dir,P - Purchase,$66.37,"+2,000",10223,+24%,"+$132,741",,,,,EVBG
3,,2021-12-16 16:24:49,2021-12-14,EVBG,Rowlands Sharon T,Dir,P - Purchase,$66.37,"+10,000",14023,+249%,"+$663,721",,,,,EVBG
4,ADM,2021-11-16 16:33:46,2021-11-10,EVBG,Meredith David Alexander,CEO,S - Sale+OE,$141.40,-31919,25581,-56%,"-$4,513,282",,,,,EVBG
5,D,2021-11-12 18:23:36,2021-11-10,EVBG,Ellertson Jaime Wallace,Dir,S - Sale+OE,$142.86,-10175,122217,-8%,"-$1,453,644",,,,,EVBG
6,DM,2021-11-12 18:19:35,2021-11-10,EVBG,Meredith David Alexander,CEO,S - Sale+OE,$141.40,-31919,25581,-56%,"-$4,513,282",,,,,EVBG
7,DM,2021-11-12 18:17:45,2021-11-10,EVBG,Irvin Vernon,"EVP, Chief Revenue Officer",S - Sale+OE,$139.43,-25000,276,-99%,"-$3,485,646",,,,,EVBG
8,DM,2021-11-12 18:15:51,2021-11-10,EVBG,Brickley Patrick,"EVP, CFO",S - Sale+OE,$141.48,-463,1819,-20%,"-$65,503",,,,,EVBG
9,DM,2021-11-12 18:12:56,2021-11-10,EVBG,Mark Elliot J.,"SVP, GC",S - Sale+OE,$139.94,-3391,10879,-24%,"-$474,527",,,,,EVBG
10,D,2021-10-04 17:48:48,2021-10-01,EVBG,Irvin Vernon,"EVP, Chief Revenue Officer",S - Sale+OE,$150.06,-12500,276,-98%,"-$1,875,698",,,,,EVBG
11,,2021-09-30 17:35:34,2021-09-28,EVBG,Nigam Ajay,Chief Product Officer,S - Sale,$155.01,-1270,350,-78%,"-$196,862",,,,,EVBG
12,,2021-09-08 16:34:44,2021-09-03,EVBG,Nigam Ajay,Chief Product Officer,S - Sale,$165.70,-1203,1620,-43%,"-$199,339",,,,,EVBG
13,D,2021-09-02 16:11:58,2021-09-01,EVBG,Huff Phillip E,"VP, Chief Accounting Officer",S - Sale+OE,$160.35,-957,1148,-45%,"-$153,455",,,,,EVBG
14,D,2021-09-02 16:10:04,2021-09-01,EVBG,Brickley Patrick,"SVP, CFO",S - Sale+OE,$159.09,-404,1651,-20%,"-$64,274",,,,,EVBG
15,D,2021-09-02 16:09:46,2021-09-01,EVBG,Mark Elliot J.,"SVP, GC",S - Sale+OE,$158.91,-1682,10879,-13%,"-$267,284",,,,,EVBG
16,,2021-09-01 16:35:42,2021-08-30,EVBG,Nigam Ajay,Chief Product Officer,S - Sale,$155.12,-1203,2823,-30%,"-$186,609",,,,,EVBG
17,,2021-08-24 18:16:15,2021-08-20,EVBG,Nigam Ajay,Chief Product Officer,S - Sale,$145.00,-703,4026,-15%,"-$101,935",,,,,EVBG
18,M,2021-08-24 18:01:42,2021-08-23,EVBG,Meredith David Alexander,CEO,S - Sale,$150.62,-5926,0,-100%,"-$892,553",,,,,EVBG
19,,2021-08-24 18:00:51,2021-08-23,EVBG,Irvin Vernon,"EVP, Chief Revenue Officer",S - Sale,$149.79,-696,167,-81%,"-$104,255",,,,,EVBG
20,DM,2021-08-24 17:58:50,2021-08-20,EVBG,Brickley Patrick,"SVP, CFO",S - Sale+OE,$148.87,-11486,1638,-88%,"-$1,709,952",,,,,EVBG
21,,2021-08-18 17:09:54,2021-08-16,EVBG,Nigam Ajay,Chief Product Officer,S - Sale,$145.24,-500,4729,-10%,"-$72,620",,,,,EVBG
22,,2021-08-13 17:12:22,2021-08-11,EVBG,Huff Phillip E,"VP, Chief Accounting Officer",S - Sale,$139.76,-2913,2026,-59%,"-$407,121",,,,,EVBG
23,D,2021-08-03 16:53:06,2021-08-02,EVBG,Nigam Ajay,Chief Product Officer,S - Sale+OE,$141.49,-49,5229,-1%,"-$6,933",,,,,EVBG
24,D,2021-08-03 16:52:27,2021-08-02,EVBG,Mark Elliot J.,"SVP, GC",S - Sale+OE,$141.49,-213,10426,-2%,"-$30,137",,,,,EVBG
25,D,2021-08-03 16:52:10,2021-08-02,EVBG,Irvin Vernon,"EVP, Chief Revenue Officer",S - Sale+OE,$141.49,-256,786,-25%,"-$36,221",,,,,EVBG
26,D,2021-08-03 16:50:26,2021-08-02,EVBG,Brickley Patrick,"SVP, CFO",S - Sale+OE,$141.49,-375,10156,-4%,"-$53,058",,,,,EVBG
27,D,2021-08-03 16:49:44,2021-08-02,EVBG,Meredith David Alexander,CEO,S - Sale+OE,$141.76,-34683,5926,-85%,"-$4,916,572",,,,,EVBG
28,DM,2021-06-22 17:05:57,2021-06-18,EVBG,Brickley Patrick,"SVP, CFO",S - Sale+OE,$130.31,-11376,9924,-53%,"-$1,482,375",,,,,EVBG
29,,2021-06-11 16:10:09,2021-06-09,EVBG,Grayson Bruns H,Dir,S - Sale,$118.88,-723,20000,-3%,"-$85,950",,,,,EVBG
30,D,2021-05-12 16:27:27,2021-05-11,EVBG,Brickley Patrick,"SVP, CFO",S - Sale+OE,$112.90,-13548,18332,-42%,"-$1,529,583",,,,,EVBG
31,,2021-03-03 18:04:18,2021-02-26,EVBG,Huff Phillip E,"VP, Chief Accounting Officer",S - Sale,$153.63,-1001,3245,-24%,"-$153,784",,,,,EVBG
32,,2021-03-03 18:02:36,2021-03-02,EVBG,Irvin Vernon,"EVP, Chief Revenue Officer",S - Sale,$159.72,-254,406,-38%,"-$40,569",,,,,EVBG
33,D,2021-03-03 17:58:44,2021-03-01,EVBG,Mark Elliot J.,"SVP, GC",S - Sale+OE,$153.58,-2188,10119,-18%,"-$336,036",,,,,EVBG
34,DM,2021-02-23 17:12:27,2021-02-19,EVBG,Brickley Patrick,"SVP, CFO",S - Sale+OE,$159.65,-8931,630,-93%,"-$1,425,848",,,,,EVBG
35,,2021-02-23 16:43:05,2021-02-19,EVBG,Ellertson Jaime Wallace,Dir,S - Sale,$169.77,-50000,86192,-37%,"-$8,488,480",,,,,EVBG
36,D,2021-02-02 18:18:47,2021-02-01,EVBG,Brickley Patrick,"SVP, CFO",S - Sale+OE,$132.60,-14032,6594,-68%,"-$1,860,660",,,,,EVBG
