,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-15 17:42:29,2021-11-12,EXPO,Kytomaa Harri,Group VP,S - Sale,$124.83,-500,11974,-4%,"-$62,417",,,,,EXPO
1,,2021-11-12 13:26:50,2021-11-09,EXPO,Reiss Richard,Group VP,S - Sale,$119.88,-2076,7161,-22%,"-$248,871",,,,,EXPO
2,M,2021-11-09 18:16:29,2021-11-05,EXPO,Reitman Maureen T. F.,Group VP,S - Sale,$120.00,-6500,26963,-19%,"-$780,000",,,,,EXPO
3,D,2021-09-01 14:34:53,2021-08-30,EXPO,Johnston Paul R,Dir,S - Sale+OE,$115.80,-7000,66942,-9%,"-$810,564",,,,,EXPO
4,,2021-08-31 13:08:33,2021-08-27,EXPO,Lindstrom Carol,Dir,S - Sale,$113.54,-880,5248,-14%,"-$99,915",,,,,EXPO
5,,2021-08-31 13:08:16,2021-08-27,EXPO,Kytomaa Harri,Group VP,S - Sale,$114.00,-875,12474,-7%,"-$99,750",,,,,EXPO
6,D,2021-08-26 17:16:16,2021-08-25,EXPO,Johnston Paul R,Dir,S - Sale+OE,$115.18,-7000,66942,-9%,"-$806,278",,,,,EXPO
7,D,2021-08-24 20:21:58,2021-08-20,EXPO,Johnston Paul R,Dir,S - Sale+OE,$114.89,-7000,66942,-9%,"-$804,241",,,,,EXPO
8,D,2021-08-19 21:11:08,2021-08-17,EXPO,Johnston Paul R,Dir,S - Sale+OE,$113.16,-7000,66942,-9%,"-$792,114",,,,,EXPO
9,D,2021-08-16 20:11:22,2021-08-12,EXPO,Johnston Paul R,Dir,S - Sale+OE,$114.94,-7000,66942,-9%,"-$804,580",,,,,EXPO
10,D,2021-08-11 21:29:18,2021-08-09,EXPO,Johnston Paul R,Dir,S - Sale+OE,$113.82,-7000,66942,-9%,"-$796,760",,,,,EXPO
11,D,2021-08-06 19:15:02,2021-08-04,EXPO,Johnston Paul R,Dir,S - Sale+OE,$109.14,-6000,66942,-8%,"-$654,814",,,,,EXPO
12,,2021-08-05 18:21:45,2021-08-03,EXPO,Murray Steven J,Group VP,S - Sale,$108.03,-6828,16906,-29%,"-$737,640",,,,,EXPO
13,,2021-06-02 13:59:43,2021-05-28,EXPO,Kytomaa Harri,Group VP,S - Sale,$91.08,-550,13349,-4%,"-$50,096",,,,,EXPO
14,,2021-06-01 21:38:27,2021-05-27,EXPO,James Bradley A,Group VP,S - Sale,$91.29,-3120,4222,-42%,"-$284,834",,,,,EXPO
15,,2021-03-02 20:49:27,2021-02-26,EXPO,Kytomaa Harri,Group VP,S - Sale,$96.51,-1000,7389,-12%,"-$96,506",,,,,EXPO
16,,2021-03-02 12:48:15,2020-02-25,EXPO,Pye John,Group VP,S - Sale,$98.25,-2000,23846,-8%,"-$196,501",,,,,EXPO
17,,2021-02-11 21:02:15,2021-02-09,EXPO,Lindstrom Carol,Dir,S - Sale,$94.45,-1000,4453,-18%,"-$94,448",,,,,EXPO
18,D,2020-12-11 20:56:41,2020-12-09,EXPO,Johnston Paul R,Dir,S - Sale+OE,$86.38,-8000,53627,-13%,"-$691,023",,,,,EXPO
19,D,2020-12-08 20:45:47,2020-12-04,EXPO,Johnston Paul R,Dir,S - Sale+OE,$82.60,-8000,53627,-13%,"-$660,784",,,,,EXPO
