,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-23 18:45:22,2021-11-23,MNDT,Watters John P.,"Pres, COO",P - Purchase,$16.55,"+10,000",377403,+3%,"+$165,461",,,,,FEYE
1,D,2021-11-10 18:53:58,2021-11-08,MNDT,Codd Ronald E F,Dir,S - Sale+OE,$18.05,-40000,141700,-22%,"-$721,964",,,,,FEYE
2,,2021-09-13 18:51:10,2021-09-10,FEYE,Watters John P.,"Pres, COO",P - Purchase,$18.49,"+25,000",367403,+7%,"+$462,225",,,,,FEYE
3,,2021-08-27 19:08:43,2021-08-26,FEYE,Watters John P.,"Pres, COO",P - Purchase,$18.64,"+25,000",342403,+8%,"+$466,080",,,,,FEYE
4,,2021-08-25 19:03:47,2021-08-23,FEYE,Coviello Arthur W Jr,Dir,P - Purchase,$17.38,"+2,878",46451,+7%,"+$50,016",,,,,FEYE
5,M,2021-08-20 19:01:20,2021-08-18,FEYE,Watters John P.,"Pres, COO",P - Purchase,$17.02,"+40,000",317403,+14%,"+$680,666",,,,,FEYE
6,,2021-08-11 19:07:09,2021-08-10,FEYE,Watters John P.,"Pres, COO",P - Purchase,$17.82,"+10,000",273608,+4%,"+$178,188",,,,,FEYE
7,,2021-08-11 19:02:05,2021-08-09,FEYE,Robbins William T,"EVP, CRO",P - Purchase,$16.92,"+26,000",482716,+6%,"+$439,868",,,,,FEYE
8,,2021-06-09 19:02:43,2021-06-09,FEYE,Coviello Arthur W Jr,Dir,P - Purchase,$20.18,"+10,000",38922,+35%,"+$201,800",,,,,FEYE
9,,2021-06-04 19:00:03,2021-06-04,FEYE,Watters John P.,"Pres, COO",P - Purchase,$18.75,"+25,000",263608,+10%,"+$468,628",,,,,FEYE
10,,2021-05-11 19:02:48,2021-05-10,FEYE,Mandia Kevin R.,CEO,S - Sale,$20.06,-150000,3796484,-4%,"-$3,009,060",,,,,FEYE
11,D,2021-05-07 19:01:14,2021-05-05,FEYE,Verdecanna Frank,"EVP, CFO, CAO",S - Sale+OE,$19.38,-87992,577380,-13%,"-$1,705,417",,,,,FEYE
12,,2021-02-19 18:59:53,2021-02-17,FEYE,King Alexa,"EVP, GC",S - Sale,$20.54,-39814,340062,-10%,"-$817,680",,,,,FEYE
13,,2020-12-28 19:14:39,2020-12-23,FEYE,King Alexa,"EVP, GC",S - Sale,$24.00,-50000,314124,-14%,"-$1,200,000",,,,,FEYE
14,,2020-12-22 19:08:10,2020-12-18,FEYE,Robbins William T,"EVP, CRO, GM Products",S - Sale,$17.71,-100000,332139,-23%,"-$1,770,711",,,,,FEYE
15,M,2020-12-22 19:02:32,2020-12-18,FEYE,King Alexa,"EVP, GC",S - Sale,$19.15,-100191,364124,-22%,"-$1,918,399",,,,,FEYE
16,,2020-08-11 18:02:17,2020-08-10,FEYE,King Alexa,"EVP, GC",S - Sale,$16.01,-43659,474937,-8%,"-$698,771",,,,,FEYE
17,,2020-06-04 18:57:26,2020-06-02,FEYE,King Alexa,"EVP, GC",S - Sale,$12.69,-1713,518596,0%,"-$21,743",,,,,FEYE
18,,2020-01-08 18:48:52,2020-01-07,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$18.04,-60000,345101,-15%,"-$1,082,436",,,,,FEYE
19,,2019-11-20 17:17:06,2019-11-18,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$16.93,-6256,405101,-2%,"-$105,905",,,,,FEYE
20,,2019-08-19 17:03:58,2019-08-16,FEYE,Verdecanna Frank,"EVP, CFO, CAO",S - Sale,$13.29,-10525,492161,-2%,"-$139,830",,,,,FEYE
21,,2019-08-19 17:01:22,2019-08-16,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$13.29,-6316,411357,-2%,"-$83,911",,,,,FEYE
22,,2019-06-20 18:05:06,2019-06-18,FEYE,Mandia Kevin R.,CEO,S - Sale,$14.69,-15616,3764974,0%,"-$229,366",,,,,FEYE
23,,2019-06-20 18:04:25,2019-06-18,FEYE,Reese Travis M.,Pres,S - Sale,$14.69,-15616,1062025,-1%,"-$229,366",,,,,FEYE
24,,2019-06-05 17:32:31,2019-06-03,FEYE,King Alexa,"EVP, GC",S - Sale,$14.28,-1250,505060,0%,"-$17,856",,,,,FEYE
25,,2019-05-20 18:02:09,2019-05-16,FEYE,Verdecanna Frank,"EVP, CFO, CAO",S - Sale,$15.37,-207,501437,0%,"-$3,182",,,,,FEYE
26,,2019-05-20 18:01:27,2019-05-16,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$15.37,-6310,417673,-1%,"-$96,996",,,,,FEYE
27,,2019-05-20 18:00:38,2019-05-16,FEYE,Reese Travis M.,Pres,S - Sale,$15.37,-3156,1077641,0%,"-$48,513",,,,,FEYE
28,,2019-05-20 17:59:55,2019-05-16,FEYE,King Alexa,"EVP, GC",S - Sale,$15.37,-3156,505060,-1%,"-$48,513",,,,,FEYE
29,,2019-02-20 18:11:55,2019-02-19,FEYE,Verdecanna Frank,"EVP, CFO, CAO",S - Sale,$16.71,-55775,501644,-10%,"-$931,855",,,,,FEYE
30,,2019-02-20 18:11:08,2019-02-19,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$16.71,-48020,423983,-10%,"-$802,289",,,,,FEYE
31,,2019-02-20 18:10:28,2019-02-19,FEYE,Reese Travis M.,Pres,S - Sale,$16.71,-101617,1080797,-9%,"-$1,697,756",,,,,FEYE
32,,2019-02-20 18:09:21,2019-02-19,FEYE,King Alexa,"EVP, GC",S - Sale,$16.71,-50697,508216,-9%,"-$847,015",,,,,FEYE
33,,2019-02-20 18:08:26,2019-02-19,FEYE,Mandia Kevin R.,CEO,S - Sale,$16.71,-166,3780590,0%,"-$2,769",,,,,FEYE
34,,2018-11-20 17:54:43,2018-11-16,FEYE,Verdecanna Frank,"EVP, CFO, CAO",S - Sale,$18.66,-534,372139,0%,"-$9,966",,,,,FEYE
35,,2018-11-20 17:54:02,2018-11-16,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$18.66,-6187,228257,-3%,"-$115,465",,,,,FEYE
36,,2018-11-20 17:53:16,2018-11-16,FEYE,Reese Travis M.,Pres,S - Sale,$18.66,-3094,888666,0%,"-$57,742",,,,,FEYE
37,,2018-11-09 18:48:37,2018-11-07,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$20.00,-40000,234444,-15%,"-$800,068",,,,,FEYE
38,,2018-11-09 18:47:24,2018-11-07,FEYE,King Alexa,"EVP, GC",S - Sale,$20.00,-4828,447665,-1%,"-$96,560",,,,,FEYE
39,,2018-11-02 18:48:27,2018-11-01,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$19.05,-50000,274444,-15%,"-$952,275",,,,,FEYE
40,,2018-10-26 16:42:39,2018-10-24,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$18.01,-1409,324444,0%,"-$25,374",,,,,FEYE
41,,2018-10-19 18:29:01,2018-10-17,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$18.00,-33591,325853,-9%,"-$604,668",,,,,FEYE
42,,2018-08-20 18:44:42,2018-08-16,FEYE,Verdecanna Frank,"EVP, CFO, CAO",S - Sale,$14.46,-11219,372673,-3%,"-$162,172",,,,,FEYE
43,,2018-08-20 18:44:00,2018-08-16,FEYE,Robbins William T,"EVP, WW Sales",S - Sale,$14.46,-6400,359444,-2%,"-$92,513",,,,,FEYE
44,,2018-08-20 18:43:10,2018-08-16,FEYE,Reese Travis M.,Pres,S - Sale,$14.46,-3201,891760,0%,"-$46,271",,,,,FEYE
45,,2018-06-20 17:54:09,2018-06-18,FEYE,Reese Travis M.,Pres,S - Sale,$16.95,-15701,894961,-2%,"-$266,057",,,,,FEYE
46,,2018-06-20 17:53:14,2018-06-18,FEYE,Mandia Kevin R.,CEO,S - Sale,$16.95,-15701,3588818,0%,"-$266,057",,,,,FEYE
