,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-08-27 09:39:54,2007-04-11,FFBC,Purkrabek Knust Susan L,Dir,S - Sale,$14.98,-2525,55007,-4%,"-$37,825",,,,,FFBC
1,M,2021-06-01 19:55:17,2021-05-28,FFBC,Davis Claude E,Chairman of the Board,S - Sale,$25.60,-33083,188524,-15%,"-$846,784",,,,,FFBC
2,,2021-05-28 17:24:56,2021-05-20,FFBC,Obrien Thomas Murray,Dir,S - Sale,$25.42,-39908,55543,-42%,"-$1,014,461",,,,,FFBC
3,,2021-05-28 17:00:45,2021-05-27,FFBC,Davis Claude E,Chairman of the Board,S - Sale,$25.55,-16917,221607,-7%,"-$432,218",,,,,FFBC
4,,2021-02-16 18:33:25,2021-02-16,FFBC,Davis Claude E,Chairman of the Board,S - Sale,$21.70,-41185,241220,-15%,"-$893,715",,,,,FFBC
5,,2021-02-12 18:20:52,2021-02-12,FFBC,Davis Claude E,Chairman of the Board,S - Sale,$21.54,-16037,282405,-5%,"-$345,437",,,,,FFBC
6,M,2021-02-12 15:10:14,2021-02-10,FFBC,Davis Claude E,Chairman of the Board,S - Sale,$21.98,-12778,298442,-4%,"-$280,912",,,,,FFBC
7,,2021-01-05 17:13:16,2020-12-31,FFBC,Rahe Maribeth S,Dir,P - Purchase,$17.53,+713,41769,+2%,"+$12,499",,,,,FFBC
8,,2021-01-05 17:02:17,2020-12-31,FFBC,Obrien Thomas Murray,Dir,P - Purchase,$17.53,+713,36046,+2%,"+$12,499",,,,,FFBC
9,,2021-01-05 16:52:20,2020-12-31,FFBC,Neighbours John T,Dir,P - Purchase,$17.53,+356,15763,+2%,"+$6,241",,,,,FFBC
10,,2021-01-05 16:45:18,2020-12-31,FFBC,Purkrabek Knust Susan L,Dir,P - Purchase,$17.53,+178,54707,0%,"+$3,120",,,,,FFBC
11,,2021-01-05 16:31:06,2020-12-31,FFBC,Booth Cynthia O,Dir,P - Purchase,$17.53,+534,27748,+2%,"+$9,361",,,,,FFBC
12,,2021-01-05 16:12:29,2020-12-31,FFBC,Barron William G,Dir,P - Purchase,$17.53,+713,81742,+1%,"+$12,499",,,,,FFBC
