,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-08-17 16:30:40,2021-08-13,FOCS,Mashinsky Kristine,Dir,P - Purchase,$49.85,"+20,000",20000,New,"+$996,962",,,,,FOCS
1,D,2021-06-24 21:28:23,2021-06-23,FOCS,Kkr Group Partnership L.P.,10%,S - Sale+OE,$49.87,-7144244,0,-100%,"-$356,283,448",,,,,FOCS
2,D,2021-06-24 21:28:14,2021-06-23,FOCS,Kkr Freya Aggregator L.P.,10%,S - Sale+OE,$49.87,-7144244,0,-100%,"-$356,283,448",,,,,FOCS
3,D,2021-03-18 21:18:21,2021-03-16,FOCS,Kkr Group Partnership L.P.,10%,S - Sale+OE,$46.20,-304141,403615,-43%,"-$14,051,314",,,,,FOCS
4,D,2021-03-18 21:18:08,2021-03-16,FOCS,Kkr Freya Aggregator L.P.,10%,S - Sale+OE,$46.20,-304141,403615,-43%,"-$14,051,314",,,,,FOCS
5,D,2021-03-18 13:14:35,2021-03-16,FOCS,Stone Point Capital LLC,"Dir, 10%",S - Sale+OE,$46.20,-683226,142016,-83%,"-$31,565,041",,,,,FOCS
6,D,2021-03-18 13:12:01,2021-03-16,FOCS,Carey James D,Dir,S - Sale+OE,$46.20,-683226,7798810,-8%,"-$31,565,041",,,,,FOCS
7,D,2021-03-04 17:57:27,2021-03-02,FOCS,Carey James D,Dir,S - Sale+OE,$46.20,-4662270,8130816,-36%,"-$215,396,874",,,,,FOCS
8,D,2021-03-04 17:45:39,2021-03-02,FOCS,Stone Point Capital LLC,"Dir, 10%",S - Sale+OE,$46.20,-4662270,148062,-97%,"-$215,396,874",,,,,FOCS
9,D,2021-03-03 20:22:52,2021-03-02,FOCS,Kkr Group Partnership L.P.,10%,S - Sale+OE,$46.20,-2075424,420797,-83%,"-$95,884,589",,,,,FOCS
10,D,2021-03-03 20:17:21,2021-03-02,FOCS,Kkr Freya Aggregator L.P.,10%,S - Sale+OE,$46.20,-2075424,420797,-83%,"-$95,884,589",,,,,FOCS
11,D,2020-09-09 07:31:14,2020-09-08,FOCS,Adolf Ruediger,"CEO, COB",S - Sale+OE,$31.05,-561185,0,-100%,"-$17,424,794",,,,,FOCS
12,D,2020-09-09 07:31:14,2020-09-08,FOCS,Kodialam Rajini Sundar,COO,S - Sale+OE,$31.05,-348323,0,-100%,"-$10,815,429",,,,,FOCS
13,D,2020-09-09 07:30:59,2020-09-08,FOCS,Chang Leonard R.,"Sr. Managing Dir, Head of M, A",S - Sale+OE,$31.05,-186783,0,-100%,"-$5,799,612",,,,,FOCS
14,D,2020-09-09 07:30:45,2020-09-08,FOCS,Shanahan James,CFO,S - Sale+OE,$31.05,-226441,0,-100%,"-$7,030,993",,,,,FOCS
15,D,2020-09-09 07:30:44,2020-09-08,FOCS,McGranahan John Russell,GC,S - Sale+OE,$31.05,-107180,1000,-99%,"-$3,327,939",,,,,FOCS
16,D,2018-07-30 19:42:06,2018-07-30,FOCS,McWhinney Deborah D,Dir,P - Purchase,$33.00,"+3,000",3000,New,"+$99,000",,,,,FOCS
17,D,2018-07-30 19:40:20,2018-07-30,FOCS,Gottdiener Noah,Dir,P - Purchase,$33.00,"+7,575",7575,New,"+$249,975",,,,,FOCS
