,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-10 10:57:06,2021-12-09,FRME,Fluhler Stephan,CIO,S - Sale,$40.34,-3155,25234,-11%,"-$127,273",,,,,FRME
1,,2021-12-02 12:47:22,2021-12-01,FRME,Sherman Patrick A,Dir,P - Purchase,$40.65,+12,49544,0%,+$500,,,,,FRME
2,,2021-11-02 14:14:48,2021-11-01,FRME,Sherman Patrick A,Dir,P - Purchase,$42.07,+12,49531,0%,+$500,,,,,FRME
3,,2021-10-04 16:06:26,2021-10-01,FRME,Sherman Patrick A,Dir,P - Purchase,$42.13,+12,49520,0%,+$500,,,,,FRME
4,,2021-09-02 11:53:13,2021-09-01,FRME,Sherman Patrick A,Dir,P - Purchase,$41.17,+12,48728,0%,+$500,,,,,FRME
5,A,2021-08-03 16:34:33,2021-07-01,FRME,Sherman Patrick A,Dir,P - Purchase,$42.26,+12,48704,0%,+$500,,,,,FRME
6,,2021-08-03 16:21:05,2021-08-02,FRME,Sherman Patrick A,Dir,P - Purchase,$40.55,+12,48716,0%,+$500,,,,,FRME
7,,2021-07-02 16:46:41,2021-07-01,FRME,Sherman Patrick A,Dir,P - Purchase,$42.26,+12,48507,0%,+$500,,,,,FRME
8,,2021-06-02 12:05:35,2021-06-01,FRME,Sherman Patrick A,Dir,P - Purchase,$45.86,+11,47945,0%,+$500,,,,,FRME
9,,2021-05-27 11:41:01,2021-05-26,FRME,Hardwick Mark K,CEO,S - Sale,$45.36,-8090,84721,-9%,"-$366,969",,,,,FRME
10,,2021-05-14 09:55:22,2021-05-12,FRME,Becher Michael R,Dir,S - Sale,$46.04,-1100,14195,-7%,"-$50,644",,,,,FRME
11,,2021-05-04 15:35:21,2021-05-03,FRME,Sherman Patrick A,Dir,P - Purchase,$46.82,+11,47934,0%,+$500,,,,,FRME
12,A,2021-04-05 13:59:53,2021-04-01,FRME,Sherman Patrick A,Dir,P - Purchase,$47.07,+11,47923,0%,+$500,,,,,FRME
13,,2021-04-02 17:57:46,2021-04-01,FRME,Sherman Patrick A,Dir,P - Purchase,$47.07,+11,47923,0%,+$500,,,,,FRME
14,D,2021-03-22 16:51:04,2021-03-18,FRME,Lehman Gary,Dir,S - Sale+OE,$48.38,-3000,42289,-7%,"-$145,146",,,,,FRME
15,,2021-03-18 17:02:27,2021-03-18,FRME,Marhenke Michael C,Dir,S - Sale,$50.00,-9000,27023,-25%,"-$450,000",,,,,FRME
16,,2021-03-03 14:40:09,2021-03-01,FRME,Sherman Patrick A,Dir,P - Purchase,$43.29,+12,47272,0%,+$500,,,,,FRME
17,,2021-03-02 14:57:50,2021-03-01,FRME,Hoy William L,Dir,S - Sale,$43.53,-4500,29410,-13%,"-$195,885",,,,,FRME
18,,2021-02-02 17:02:46,2021-02-01,FRME,Sherman Patrick A,Dir,P - Purchase,$38.44,+13,47261,0%,+$500,,,,,FRME
19,A,2021-01-11 15:01:29,2021-01-04,FRME,Sherman Patrick A,Dir,P - Purchase,$37.18,+13,47248,0%,+$500,,,,,FRME
20,,2021-01-05 17:53:19,2021-01-04,FRME,Sherman Patrick A,Dir,P - Purchase,$37.18,+13,47160,0%,+$500,,,,,FRME
21,,2021-01-05 17:50:07,2020-11-23,FRME,Kellogg Clark C Jr,Dir,P - Purchase,$33.08,+200,2897,+7%,"+$6,616",,,,,FRME
22,,2020-12-02 16:40:23,2020-12-01,FRME,Sherman Patrick A,Dir,P - Purchase,$34.55,+14,46530,0%,+$500,,,,,FRME
23,A,2020-11-03 16:21:05,2020-10-01,FRME,Sherman Patrick A,Dir,P - Purchase,$23.19,+22,46496,0%,+$500,,,,,FRME
24,,2020-11-03 16:20:45,2020-11-02,FRME,Sherman Patrick A,Dir,P - Purchase,$26.16,+19,46648,0%,+$500,,,,,FRME
25,,2020-10-02 16:42:08,2020-10-01,FRME,Sherman Patrick A,Dir,P - Purchase,$23.19,+22,46363,0%,+$500,,,,,FRME
26,,2020-09-03 13:32:21,2020-09-01,FRME,Sherman Patrick A,Dir,P - Purchase,$25.78,+19,45373,0%,+$500,,,,,FRME
27,,2020-08-04 15:12:14,2020-08-03,FRME,Sherman Patrick A,Dir,P - Purchase,$24.64,+20,45353,0%,+$500,,,,,FRME
28,,2020-07-02 16:01:45,2020-07-01,FRME,Sherman Patrick A,Dir,P - Purchase,$26.61,+19,45333,0%,+$500,,,,,FRME
29,,2020-06-12 15:51:38,2020-05-06,FRME,Marhenke Michael C,Dir,P - Purchase,$25.53,"+10,000",34449,+41%,"+$255,300",,,,,FRME
30,,2020-06-03 15:55:03,2020-06-01,FRME,Sherman Patrick A,Dir,P - Purchase,$28.34,+18,44375,0%,+$500,,,,,FRME
31,,2020-05-22 11:29:04,2020-05-20,FRME,Rechin Michael C,CEO,S - Sale,$25.40,-10000,109934,-8%,"-$254,040",,,,,FRME
32,,2020-05-21 10:58:55,2020-05-05,FRME,Stewart Michael J,Chief Banking Officer,S - Sale,$26.86,-3323,65721,-5%,"-$89,263",,,,,FRME
33,,2020-05-05 16:19:16,2020-05-01,FRME,Sherman Patrick A,Dir,P - Purchase,$28.07,+18,44357,0%,+$500,,,,,FRME
34,,2020-04-02 16:05:04,2020-04-01,FRME,Sherman Patrick A,Dir,P - Purchase,$25.64,+20,41340,0%,+$500,,,,,FRME
35,,2020-03-17 14:30:15,2020-03-13,FRME,Marhenke Michael C,Dir,P - Purchase,$28.50,"+5,000",23889,+26%,"+$142,500",,,,,FRME
36,,2020-03-17 14:29:53,2020-03-16,FRME,Hardwick Mark K,"CFO, COO",P - Purchase,$26.68,"+5,424",82756,+7%,"+$144,723",,,,,FRME
37,,2020-03-06 14:01:52,2020-03-05,FRME,Marhenke Michael C,Dir,P - Purchase,$33.66,"+10,000",18889,+112%,"+$336,570",,,,,FRME
38,,2020-03-04 09:56:30,2020-03-02,FRME,Sherman Patrick A,Dir,P - Purchase,$37.25,+13,40397,0%,+$500,,,,,FRME
39,,2020-02-05 15:52:28,2020-02-03,FRME,Sherman Patrick A,Dir,P - Purchase,$40.05,+12,40384,0%,+$500,,,,,FRME
40,,2020-01-03 16:36:54,2020-01-02,FRME,Sherman Patrick A,Dir,P - Purchase,$41.45,+12,40372,0%,+$500,,,,,FRME
41,,2019-12-19 15:44:34,2019-12-17,FRME,Lorentson Jeffrey B,Chief Risk Officer,S - Sale,$41.89,-4907,12927,-28%,"-$205,574",,,,,FRME
42,,2019-12-09 16:47:08,2019-12-05,FRME,Chaffin H Douglas,Dir,S - Sale,$40.16,-5484,46755,-10%,"-$220,237",,,,,FRME
43,,2019-12-04 14:32:19,2019-12-02,FRME,Lehman Gary,Dir,P - Purchase,$40.64,+41,39690,0%,"+$1,667",,,,,FRME
44,,2019-12-04 14:31:57,2019-12-02,FRME,Sherman Patrick A,Dir,P - Purchase,$40.64,+12,39771,0%,+$500,,,,,FRME
45,,2019-11-20 15:49:47,2019-11-18,FRME,Stewart Michael J,Chief Banking Officer,S - Sale,$40.62,-2250,69209,-3%,"-$91,386",,,,,FRME
46,,2019-11-05 15:56:33,2019-11-01,FRME,Lehman Gary,Dir,P - Purchase,$40.06,+42,39649,0%,"+$1,667",,,,,FRME
47,,2019-11-05 15:56:03,2019-11-01,FRME,Sherman Patrick A,Dir,P - Purchase,$40.06,+12,39758,0%,+$500,,,,,FRME
48,,2019-10-02 16:03:33,2019-10-01,FRME,Lehman Gary,Dir,P - Purchase,$37.80,+44,39607,0%,"+$1,667",,,,,FRME
49,,2019-10-02 16:02:17,2019-10-01,FRME,Sherman Patrick A,Dir,P - Purchase,$37.80,+13,39746,0%,+$500,,,,,FRME
50,AD,2019-09-23 08:15:56,2019-09-19,FRME,Fluhler Stephan,CIO,S - Sale+OE,$38.98,-3873,17377,-18%,"-$150,950",,,,,FRME
51,D,2019-09-20 15:16:59,2019-09-19,FRME,Fluhler Stephan,CIO,S - Sale+OE,$38.98,-3873,17377,-18%,"-$150,950",,,,,FRME
52,,2019-09-12 15:15:39,2019-09-10,FRME,Schalliol Charles E,Dir,S - Sale,$37.98,-7300,42989,-15%,"-$277,254",,,,,FRME
53,,2019-09-05 16:17:02,2019-09-03,FRME,Lehman Gary,Dir,P - Purchase,$35.21,+47,39167,0%,"+$1,667",,,,,FRME
54,,2019-09-05 16:16:37,2019-09-03,FRME,Sherman Patrick A,Dir,P - Purchase,$35.21,+14,39094,0%,+$500,,,,,FRME
55,,2019-08-05 11:55:26,2019-08-01,FRME,Lehman Gary,Dir,P - Purchase,$38.67,+43,39120,0%,"+$1,667",,,,,FRME
56,,2019-08-05 11:55:06,2019-08-01,FRME,Sherman Patrick A,Dir,P - Purchase,$38.67,+13,39079,0%,+$500,,,,,FRME
57,,2019-07-02 16:54:36,2019-07-01,FRME,Lehman Gary,Dir,P - Purchase,$37.08,+45,39076,0%,"+$1,667",,,,,FRME
