,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-17 19:38:32,2021-11-15,HAIN,Engaged Capital LLC,See Footnote 1,S - Sale,$45.00,-14079504,1906202,-88%,"-$633,577,680",,,,,HAIN
1,,2021-11-17 19:36:01,2021-11-15,HAIN,Welling Glenn W.,Dir,S - Sale,$45.00,-14079504,1906202,-88%,"-$633,577,680",,,,,HAIN
2,,2021-05-18 08:05:36,2021-05-17,HAIN,Korangy Shervin J,Dir,S - Sale,$40.74,-6750,35431,-16%,"-$275,024",,,,,HAIN
3,,2021-05-18 08:02:14,2021-05-14,HAIN,Wolfe Jeryl,Chief Supply Chain Officer,S - Sale,$40.68,-3000,85,-97%,"-$122,043",,,,,HAIN
4,M,2020-05-18 19:25:31,2020-05-14,HAIN,"Engaged Capital Co-Invest Vi-D, L.P.",See Footnote 1,S - Sale,$29.64,-680426,20415549,-3%,"-$20,168,921",,,,,HAIN
5,M,2020-05-18 19:23:14,2020-05-14,HAIN,Welling Glenn W.,"Dir, 10%",S - Sale,$29.64,-680426,20415549,-3%,"-$20,168,921",,,,,HAIN
6,,2020-05-12 16:06:46,2020-05-11,HAIN,Wolfe Jeryl,Chief Supply Chain Officer,S - Sale,$30.42,-2900,110,-96%,"-$88,230",,,,,HAIN
7,M,2020-03-13 18:39:02,2020-03-11,HAIN,Boever Christopher J.,Chief Commercial Officer,P - Purchase,$20.53,"+19,500",19500,New,"+$400,367",,,,,HAIN
8,M,2019-05-21 20:29:26,2019-05-17,HAIN,"Engaged Capital Co-Invest Vi-D, L.P.",See Footnote 1,P - Purchase,$23.73,"+1,995,291",21090354,+10%,"+$47,340,598",,,,,HAIN
9,M,2019-05-21 20:27:03,2019-05-17,HAIN,Welling Glenn W.,"Dir, 10%",P - Purchase,$23.73,"+1,995,291",21090354,+10%,"+$47,340,598",,,,,HAIN
10,M,2019-05-15 18:16:20,2019-05-13,HAIN,"Engaged Capital Co-Invest Vi-D, L.P.",See Footnote 1,P - Purchase,$23.61,"+2,083,081",19095063,+12%,"+$49,189,859",,,,,HAIN
11,M,2019-05-15 18:13:40,2019-05-13,HAIN,Welling Glenn W.,"Dir, 10%",P - Purchase,$23.61,"+2,083,081",19095063,+12%,"+$49,189,859",,,,,HAIN
12,M,2019-03-07 20:25:38,2019-03-05,HAIN,"Engaged Capital Co-Invest Vi-D, L.P.",See Footnote 1,P - Purchase,$20.73,"+3,974,911",16882789,+31%,"+$82,392,391",,,,,HAIN
13,M,2019-03-07 20:22:14,2019-03-05,HAIN,Welling Glenn W.,"Dir, 10%",P - Purchase,$20.73,"+3,974,911",16882789,+31%,"+$82,392,391",,,,,HAIN
14,M,2019-03-01 19:52:05,2019-02-28,HAIN,Welling Glenn W.,"Dir, 10%",P - Purchase,$19.30,"+1,003,918",12786737,+9%,"+$19,379,579",,,,,HAIN
15,,2018-11-14 17:26:59,2018-11-12,HAIN,Schiller Mark L.,"Pres, CEO",P - Purchase,$22.88,"+45,800",124355,+58%,"+$1,048,069",,,,,HAIN
16,,2018-03-02 18:02:32,2018-02-28,HAIN,Welling Glenn W.,"Dir, 10%",P - Purchase,$34.83,"+1,407,543",11761242,+14%,"+$49,023,456",,,,,HAIN
