,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-16 19:13:52,2021-12-15,HQY,Dilsaver Evelyn S,Dir,P - Purchase,$39.79,"+5,018",24508,+26%,"+$199,666",,,,,HQY
1,D,2021-12-15 18:26:51,2021-12-14,HQY,Dillon Adrian T,Dir,P - Purchase,$40.47,"+12,375",44083,+39%,"+$500,811",,,,,HQY
2,D,2021-12-13 18:30:21,2021-12-10,HQY,Hill Angelique Christine,"EVP, Operations",S - Sale+OE,$41.10,-6297,23707,-21%,"-$258,777",,,,,HQY
3,,2021-12-09 20:16:33,2021-12-09,HQY,Parker Stuart B.,Dir,P - Purchase,$42.82,"+25,000",30531,+452%,"+$1,070,500",,,,,HQY
4,D,2021-11-03 11:57:20,2021-11-01,HQY,Otten William Robert,Former Executive VP of Sales,S - Sale+OE,$66.42,-1850,30566,-6%,"-$122,877",,,,,HQY
5,,2021-10-06 17:16:15,2021-10-05,HQY,McCowan Debra Charlotte,Dir,S - Sale,$65.99,-8132,5447,-60%,"-$536,638",,,,,HQY
6,D,2021-10-04 15:25:24,2021-10-01,HQY,Otten William Robert,Former Executive VP of Sales,S - Sale+OE,$65.19,-1850,32416,-5%,"-$120,592",,,,,HQY
7,D,2021-09-21 14:06:46,2021-09-20,HQY,Mott Darcy G,Special Advisor,S - Sale+OE,$62.06,-6000,91052,-6%,"-$372,344",,,,,HQY
8,D,2021-09-03 11:03:29,2021-09-01,HQY,Otten William Robert,Former Executive VP of Sales,S - Sale+OE,$65.00,-1850,34266,-5%,"-$120,250",,,,,HQY
9,D,2021-08-24 13:57:51,2021-08-20,HQY,Mott Darcy G,Special Advisor,S - Sale+OE,$62.73,-6000,87052,-6%,"-$376,380",,,,,HQY
10,D,2021-08-03 15:45:51,2021-08-02,HQY,Otten William Robert,EVP of Sales,S - Sale+OE,$74.47,-1850,36116,-5%,"-$137,769",,,,,HQY
11,D,2021-07-27 08:39:57,2021-07-26,HQY,Bloomberg Edward,COO,S - Sale+OE,$75.00,-1000,39195,-2%,"-$75,000",,,,,HQY
12,D,2021-07-22 07:50:34,2021-07-20,HQY,Mott Darcy G,Special Advisor,S - Sale+OE,$73.68,-6000,83052,-7%,"-$442,051",,,,,HQY
13,D,2021-07-19 12:10:36,2021-07-15,HQY,Sacks Ian,Dir,S - Sale+OE,$76.49,-10000,146046,-6%,"-$764,904",,,,,HQY
14,D,2021-06-30 12:50:30,2021-06-28,HQY,Corvino Frank,Dir,S - Sale+OE,$82.23,-1133,1133,-50%,"-$93,167",,,,,HQY
15,D,2021-06-25 14:32:47,2021-06-23,HQY,Corvino Frank,Dir,S - Sale+OE,$83.10,-8935,2266,-80%,"-$742,505",,,,,HQY
16,D,2021-06-22 18:06:00,2021-06-21,HQY,Mott Darcy G,Special Advisor,S - Sale+OE,$77.18,-6000,79052,-7%,"-$463,094",,,,,HQY
17,D,2021-05-21 18:18:25,2021-05-20,HQY,Mott Darcy G,Special Advisor,S - Sale+OE,$77.25,-6000,75052,-7%,"-$463,527",,,,,HQY
18,D,2021-04-21 18:01:54,2021-04-20,HQY,Mott Darcy G,Special Advisor,S - Sale+OE,$70.31,-6000,71052,-8%,"-$421,844",,,,,HQY
19,D,2021-03-23 17:49:57,2021-03-22,HQY,Mott Darcy G,"EVP, CFO",S - Sale+OE,$71.62,-6000,67884,-8%,"-$429,742",,,,,HQY
