,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2020-09-03 16:36:04,2020-09-01,IBOC,Sanchez Antonio R Jr,"Dir, 10%",S - Sale,$30.95,-212000,4408238,-5%,"-$6,560,544",,,,,IBOC
1,,2020-03-12 10:50:33,2020-03-10,IBOC,De Anda Javier,Dir,P - Purchase,$28.07,"+7,144",29561,+32%,"+$200,554",,,,,IBOC
2,M,2020-03-12 10:48:23,2020-03-10,IBOC,Miles Rudolph,Dir,P - Purchase,$27.70,"+2,000",15562,+15%,"+$55,392",,,,,IBOC
3,,2019-08-16 17:14:13,2019-08-14,IBOC,De Anda Javier,Dir,P - Purchase,$32.82,"+9,533",22417,+74%,"+$312,832",,,,,IBOC
4,A,2019-08-16 16:59:09,2019-08-14,IBOC,Resendez Roberto R,Dir,P - Purchase,$32.40,"+4,000",9000,+80%,"+$129,610",,,,,IBOC
5,,2019-08-16 15:48:43,2018-08-14,IBOC,Resendez Roberto R,Dir,P - Purchase,$32.40,"+4,000",62636,+7%,"+$129,610",,,,,IBOC
6,,2019-06-17 16:47:36,2019-06-14,IBOC,Resendez Roberto R,Dir,P - Purchase,$37.00,"+3,000",50084,+6%,"+$111,000",,,,,IBOC
7,,2019-06-11 10:21:11,2019-06-07,IBOC,Resendez Roberto R,Dir,P - Purchase,$36.43,"+2,000",47084,+4%,"+$72,850",,,,,IBOC
8,M,2018-09-06 13:28:41,2018-09-04,IBOC,Sanchez Antonio R Jr,"Dir, 10%",S - Sale,$46.78,-200000,5099090,-4%,"-$9,355,153",,,,,IBOC
9,M,2018-03-08 15:31:22,2018-03-06,IBOC,Sanchez Antonio R Jr,"Dir, 10%",S - Sale,$40.75,-25000,5384270,0%,"-$1,018,832",,,,,IBOC
