,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-23 17:03:17,2021-11-22,IBTX,Hobbs Michael B,"EVP, Pres, COO",S - Sale,$73.85,-2080,33033,-6%,"-$153,610",,,,,IBTX
1,,2021-10-25 18:19:53,2021-10-22,IBTX,Hickox Michelle S,"EVP, CFO",S - Sale,$75.06,-5000,32461,-13%,"-$375,310",,,,,IBTX
2,,2021-08-30 19:18:12,2021-08-30,IBTX,White James C,"EVP, Chief Operations Officer",S - Sale,$69.95,-1250,14932,-8%,"-$87,438",,,,,IBTX
3,,2021-06-02 13:49:27,2021-06-01,IBTX,Haynie Mark S,"EVP, GC",S - Sale,$79.48,-13815,15570,-47%,"-$1,097,983",,,,,IBTX
4,A,2021-03-25 09:33:18,2021-03-08,IBTX,Haynie Mark S,"EVP, GC",S - Sale,$75.62,-3508,29385,-11%,"-$265,275",,,,,IBTX
5,A,2021-03-25 08:49:21,2021-02-08,IBTX,Hobbs Michael B,"EVP, Chief Banking Officer",S - Sale,$69.00,-5000,35783,-12%,"-$345,000",,,,,IBTX
6,,2021-03-16 20:50:08,2021-03-12,IBTX,Tippit James P,"EVP, Corporate Responsibility",S - Sale,$78.73,-615,14783,-4%,"-$48,419",,,,,IBTX
7,,2021-03-16 20:49:50,2021-03-12,IBTX,White James C,"EVP, Chief Operations Officer",S - Sale,$78.89,-1500,16487,-8%,"-$118,335",,,,,IBTX
8,,2021-03-10 18:51:57,2021-03-08,IBTX,Haynie Mark S,"EVP, GC",S - Sale,$75.62,-3508,30125,-10%,"-$265,275",,,,,IBTX
9,,2021-03-10 18:51:36,2021-03-08,IBTX,Brooks David R,"COB, CEO, Pres",S - Sale,$75.00,-40000,657464,-6%,"-$3,000,000",,,,,IBTX
10,,2021-03-04 17:11:37,2021-03-02,IBTX,Hickox Michelle S,"EVP, CFO",S - Sale,$72.00,-2000,38907,-5%,"-$144,000",,,,,IBTX
11,,2021-02-25 20:09:56,2021-02-23,IBTX,Brooks Daniel W,"Vice COB, CRO",S - Sale,$72.00,-5000,117403,-4%,"-$360,000",,,,,IBTX
12,M,2021-02-25 20:09:33,2021-02-23,IBTX,Brooks David R,"COB, CEO, Pres",S - Sale,$73.19,-110000,697464,-14%,"-$8,050,500",,,,,IBTX
13,,2021-02-12 09:18:11,2021-02-10,IBTX,Brooks Daniel W,"Vice COB, CRO",S - Sale,$70.00,-5000,122403,-4%,"-$350,000",,,,,IBTX
14,,2021-02-08 20:41:05,2021-02-08,IBTX,Hobbs Michael B,"EVP, Chief Banking Officer",S - Sale,$69.00,-5000,35978,-12%,"-$345,000",,,,,IBTX
15,,2021-02-05 17:23:32,2021-02-04,IBTX,Smith G Stacy,Dir,S - Sale,$67.42,-13000,70217,-16%,"-$876,460",,,,,IBTX
16,,2021-01-21 18:40:55,2021-01-19,IBTX,Brooks David R,"COB, CEO, Pres",S - Sale,$66.53,-120000,799077,-13%,"-$7,983,504",,,,,IBTX
17,,2021-01-21 18:40:40,2021-01-19,IBTX,Brooks Daniel W,"Vice COB, CRO",S - Sale,$66.53,-10000,124312,-7%,"-$665,307",,,,,IBTX
18,M,2021-01-06 20:45:12,2021-01-04,IBTX,Brooks David R,"COB, CEO, Pres",S - Sale,$62.63,-30000,919077,-3%,"-$1,879,009",,,,,IBTX
19,M,2020-12-21 12:49:03,2020-11-24,IBTX,Harrison Alicia Kuhn,Dir,P - Purchase,$58.88,"+4,075",6645,+159%,"+$239,953",,,,,IBTX
20,,2020-12-10 18:37:03,2020-12-09,IBTX,Smith G Stacy,Dir,S - Sale,$59.18,-15000,83217,-15%,"-$887,627",,,,,IBTX
21,,2020-11-12 15:11:42,2020-11-09,IBTX,White James C,"EVP, Chief Operations Officer",S - Sale,$55.00,-2000,17089,-10%,"-$110,000",,,,,IBTX
22,M,2020-11-02 18:25:25,2020-10-30,IBTX,Hickox Michelle S,"EVP, CFO",S - Sale,$52.27,-2056,38723,-5%,"-$107,468",,,,,IBTX
23,,2020-08-11 16:16:32,2020-08-07,IBTX,White James C,"EVP, Chief Operations Officer",S - Sale,$47.00,-2000,19089,-9%,"-$94,000",,,,,IBTX
24,,2020-04-10 19:10:07,2020-04-09,IBTX,White James C,"EVP, COO",S - Sale,$28.97,-2000,16089,-11%,"-$57,938",,,,,IBTX
