,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-07-19 20:14:14,2021-07-15,IONS,Klein Joseph III,Dir,S - Sale+OE,$35.30,-4334,18226,-19%,"-$152,989",,,,,IONS
1,D,2021-06-25 17:19:34,2021-06-23,IONS,Berthelsen Spencer R,Dir,S - Sale+OE,$37.74,-15000,101053,-13%,"-$566,100",,,,,IONS
2,D,2021-06-17 17:05:01,2021-06-15,IONS,Muto Frederick T,Dir,S - Sale+OE,$36.63,-15000,31683,-32%,"-$549,500",,,,,IONS
3,,2021-03-02 20:22:42,2021-03-01,IONS,Monia Brett P,CEO,S - Sale,$54.28,-236,50114,0%,"-$12,809",,,,,IONS
4,,2021-01-28 19:22:03,2021-01-26,IONS,Crooke Stanley T,Exec COB,S - Sale,$63.74,-28333,499523,-5%,"-$1,805,812",,,,,IONS
5,,2021-01-27 17:35:32,2021-01-25,IONS,O'Neil Patrick R.,"EVP, GC",S - Sale,$63.50,-5324,26502,-17%,"-$338,074",,,,,IONS
6,M,2021-01-25 20:24:13,2021-01-21,IONS,Crooke Stanley T,Exec COB,S - Sale,$61.45,-75000,527856,-12%,"-$4,609,117",,,,,IONS
7,,2021-01-15 17:55:54,2021-01-13,IONS,Geary Richard S,"EVP, Chief Development Offc",S - Sale,$59.50,-141,30306,0%,"-$8,390",,,,,IONS
8,D,2021-01-06 21:23:44,2021-01-05,IONS,Swayze Eric,"EVP, Research",S - Sale+OE,$55.99,-195,5107,-4%,"-$10,918",,,,,IONS
9,,2020-12-28 17:29:23,2020-12-23,IONS,Parshall B Lynne,Dir,S - Sale,$60.00,-10000,57464,-15%,"-$600,000",,,,,IONS
10,M,2020-12-17 19:42:41,2020-12-15,IONS,Crooke Stanley T,Exec COB,S - Sale,$49.80,-40407,602586,-6%,"-$2,012,279",,,,,IONS
11,,2020-12-09 20:14:17,2020-12-07,IONS,Crooke Stanley T,Exec COB,S - Sale,$51.67,-11000,642993,-2%,"-$568,351",,,,,IONS
12,D,2020-12-08 20:51:45,2020-12-04,IONS,Monia Brett P,CEO,S - Sale+OE,$51.04,-23840,28879,-45%,"-$1,216,794",,,,,IONS
13,D,2020-12-08 20:49:59,2020-12-04,IONS,Bennett C Frank,Chief Scientific Officer,S - Sale+OE,$51.04,-7947,32476,-20%,"-$405,615",,,,,IONS
14,D,2020-12-04 20:53:15,2020-12-02,IONS,Bennett C Frank,Chief Scientific Officer,S - Sale+OE,$51.32,-7053,32476,-18%,"-$361,960",,,,,IONS
15,D,2020-12-04 20:49:28,2020-12-02,IONS,Monia Brett P,CEO,S - Sale+OE,$51.32,-21160,28879,-42%,"-$1,085,931",,,,,IONS
16,D,2020-11-30 18:49:43,2020-11-25,IONS,Hougen Elizabeth L,"EVP, Finance, CFO",S - Sale+OE,$50.05,-21680,32495,-40%,"-$1,085,084",,,,,IONS
17,D,2020-11-30 18:48:21,2020-11-25,IONS,Crooke Stanley T,Exec COB,S - Sale+OE,$50.05,-12990,653993,-2%,"-$650,150",,,,,IONS
18,D,2020-11-30 18:46:49,2020-11-25,IONS,Geary Richard S,"EVP, Development",S - Sale+OE,$50.05,-11920,30447,-28%,"-$596,596",,,,,IONS
19,D,2020-11-30 18:44:40,2020-11-25,IONS,Parshall B Lynne,Dir,S - Sale+OE,$50.05,-3590,67464,-5%,"-$179,680",,,,,IONS
20,DM,2020-11-25 19:04:19,2020-11-23,IONS,Crooke Stanley T,Exec COB,S - Sale+OE,$50.23,-14690,653993,-2%,"-$737,926",,,,,IONS
21,DM,2020-11-25 19:02:16,2020-11-23,IONS,Hougen Elizabeth L,"EVP, Finance, CFO",S - Sale+OE,$50.24,-23320,32495,-42%,"-$1,171,676",,,,,IONS
22,DM,2020-11-25 18:58:47,2020-11-23,IONS,Geary Richard S,"EVP, Development",S - Sale+OE,$50.24,-13080,30447,-30%,"-$657,152",,,,,IONS
23,DM,2020-11-25 18:56:52,2020-11-23,IONS,Parshall B Lynne,Dir,S - Sale+OE,$50.25,-3910,67464,-5%,"-$196,466",,,,,IONS
24,D,2020-11-05 20:26:48,2020-11-03,IONS,Bennett C Frank,Chief Scientific Officer,S - Sale+OE,$46.77,-15000,32476,-32%,"-$701,600",,,,,IONS
25,,2020-10-22 17:36:15,2020-10-20,IONS,Klein Joseph III,Dir,S - Sale,$46.86,-2889,13894,-17%,"-$135,386",,,,,IONS
26,M,2020-09-23 18:44:03,2020-09-21,IONS,Crooke Stanley T,Exec COB,S - Sale,$50.40,-52000,653993,-7%,"-$2,620,820",,,,,IONS
27,,2020-09-02 19:01:45,2020-09-01,IONS,Monia Brett P,CEO,S - Sale,$53.70,-314,28879,-1%,"-$16,862",,,,,IONS
28,D,2020-06-29 21:47:59,2020-06-25,IONS,Castleman Breaux,Dir,S - Sale+OE,$60.00,-10000,15183,-40%,"-$600,000",,,,,IONS
29,D,2020-06-29 21:47:22,2020-06-25,IONS,Bennett C Frank,"EVP, Chief Scientific Officer",S - Sale+OE,$59.77,-15000,32364,-32%,"-$896,505",,,,,IONS
30,M,2020-06-26 19:47:17,2020-06-24,IONS,Crooke Stanley T,Exec COB,S - Sale,$59.67,-14914,702412,-2%,"-$889,907",,,,,IONS
31,D,2020-06-25 19:28:24,2020-06-23,IONS,Berthelsen Spencer R,Dir,S - Sale+OE,$58.76,-15000,97053,-13%,"-$881,400",,,,,IONS
32,M,2020-06-19 19:03:05,2020-06-17,IONS,Crooke Stanley T,Exec COB,S - Sale,$58.08,-27000,720907,-4%,"-$1,568,271",,,,,IONS
33,,2020-03-27 19:05:30,2020-03-25,IONS,Crooke Stanley T,Exec COB,S - Sale,$47.00,-16000,747907,-2%,"-$752,000",,,,,IONS
34,A,2020-03-27 19:01:37,2020-03-17,IONS,Crooke Stanley T,Exec COB,S - Sale,$44.75,-20000,772326,-3%,"-$895,000",,,,,IONS
35,,2020-03-23 18:17:08,2020-03-19,IONS,Crooke Stanley T,Exec COB,S - Sale,$45.16,-16000,763517,-2%,"-$722,546",,,,,IONS
36,,2020-03-19 13:55:10,2020-03-17,IONS,Crooke Stanley T,Exec COB,S - Sale,$44.75,-20390,771936,-3%,"-$912,355",,,,,IONS
37,,2020-02-11 17:40:05,2020-02-10,IONS,O'Neil Patrick R.,"SVP, GC",S - Sale,$59.60,-3882,20720,-16%,"-$231,367",,,,,IONS
38,D,2020-01-03 19:04:29,2020-01-02,IONS,Monia Brett P,CEO,S - Sale+OE,$60.25,-173,16285,-1%,"-$10,423",,,,,IONS
39,D,2019-12-23 19:28:22,2019-12-23,IONS,Klein Joseph III,Dir,S - Sale+OE,$61.87,-1000,12783,-7%,"-$61,874",,,,,IONS
40,D,2019-12-18 17:07:43,2019-12-16,IONS,Klein Joseph III,Dir,S - Sale+OE,$65.45,-1000,12783,-7%,"-$65,447",,,,,IONS
41,D,2019-12-10 18:54:02,2019-12-09,IONS,Klein Joseph III,Dir,S - Sale+OE,$63.74,-1000,12783,-7%,"-$63,745",,,,,IONS
42,D,2019-12-05 17:31:29,2019-12-04,IONS,Hougen Elizabeth L,"SVP, Finance, CFO",S - Sale+OE,$65.00,-4566,20055,-19%,"-$296,790",,,,,IONS
43,D,2019-12-05 17:26:56,2019-12-04,IONS,Geary Richard S,"SVP, Development",S - Sale+OE,$65.00,-10000,21583,-32%,"-$650,000",,,,,IONS
44,D,2019-12-04 18:26:45,2019-12-02,IONS,Klein Joseph III,Dir,S - Sale+OE,$64.08,-1000,12783,-7%,"-$64,083",,,,,IONS
45,D,2019-12-04 18:22:38,2019-12-02,IONS,Geary Richard S,"SVP, Development",S - Sale+OE,$65.06,-5000,21583,-19%,"-$325,287",,,,,IONS
46,,2019-11-26 17:43:34,2019-11-25,IONS,Klein Joseph III,Dir,S - Sale,$62.90,-812,12783,-6%,"-$51,075",,,,,IONS
47,D,2019-11-26 17:40:29,2019-11-25,IONS,Hougen Elizabeth L,"SVP, Finance, CFO",S - Sale+OE,$62.50,-4000,20055,-17%,"-$250,000",,,,,IONS
48,,2019-11-21 18:40:25,2019-11-20,IONS,Klein Joseph III,Dir,S - Sale,$60.00,-2000,13595,-13%,"-$120,000",,,,,IONS
49,,2019-11-21 18:38:50,2019-11-20,IONS,Monia Brett P,"COO, SVP, Translational Med",S - Sale,$60.01,-5776,16458,-26%,"-$346,618",,,,,IONS
50,D,2019-11-21 18:36:43,2019-11-19,IONS,Hougen Elizabeth L,"SVP, Finance, CFO",S - Sale+OE,$58.80,-4000,20055,-17%,"-$235,200",,,,,IONS
51,DM,2019-08-22 18:41:29,2019-08-20,IONS,Crooke Stanley T,"COB, CEO",S - Sale+OE,$71.52,-22000,800557,-3%,"-$1,573,500",,,,,IONS
52,D,2019-07-22 17:34:10,2019-07-18,IONS,Crooke Stanley T,"COB, CEO",S - Sale+OE,$70.25,-10000,795025,-1%,"-$702,506",,,,,IONS
53,,2019-07-02 20:50:44,2019-07-02,IONS,Monia Brett P,COO,S - Sale,$66.40,-210,22234,-1%,"-$13,944",,,,,IONS
54,D,2019-06-26 18:52:19,2019-06-24,IONS,Berthelsen Spencer R,Dir,S - Sale+OE,$63.67,-15000,94164,-14%,"-$955,113",,,,,IONS
55,D,2019-06-06 18:35:20,2019-06-04,IONS,Muto Frederick T,Dir,S - Sale+OE,$65.29,-15000,11294,-57%,"-$979,350",,,,,IONS
56,D,2019-05-08 18:16:11,2019-05-06,IONS,Muto Frederick T,Dir,S - Sale+OE,$72.75,-8000,11294,-41%,"-$582,002",,,,,IONS
57,D,2019-05-01 17:48:49,2019-04-29,IONS,Parshall B Lynne,Dir,S - Sale+OE,$75.01,-50000,52677,-49%,"-$3,750,635",,,,,IONS
58,DM,2019-04-17 19:30:59,2019-04-15,IONS,Crooke Stanley T,"COB, CEO",S - Sale+OE,$84.84,-32000,800557,-4%,"-$2,715,000",,,,,IONS
59,D,2019-04-10 18:24:18,2019-04-08,IONS,Geary Richard S,"SVP, Development",S - Sale+OE,$84.01,-46240,21442,-68%,"-$3,884,753",,,,,IONS
60,DM,2019-04-05 19:29:14,2019-04-03,IONS,O'Neil Patrick R.,"SVP Legal, GC",S - Sale+OE,$83.99,-49528,16673,-75%,"-$4,160,075",,,,,IONS
61,D,2019-03-20 18:15:44,2019-03-18,IONS,O'Neil Patrick R.,"SVP Legal, GC",S - Sale+OE,$78.79,-28800,19673,-59%,"-$2,269,187",,,,,IONS
62,,2019-03-20 18:05:21,2019-03-19,IONS,Wender Joseph H,Dir,S - Sale,$79.63,-10000,58916,-15%,"-$796,258",,,,,IONS
63,D,2019-03-14 18:24:39,2019-03-12,IONS,Parshall B Lynne,Dir,S - Sale+OE,$75.00,-8334,52677,-14%,"-$625,050",,,,,IONS
64,D,2019-03-01 17:56:05,2019-02-27,IONS,Parshall B Lynne,Dir,S - Sale+OE,$70.00,-8333,52677,-14%,"-$583,310",,,,,IONS
65,D,2019-03-01 17:40:05,2019-02-27,IONS,O'Neil Patrick R.,"SVP Legal, GC",S - Sale+OE,$68.01,-26800,19673,-58%,"-$1,822,580",,,,,IONS
66,DM,2019-02-27 19:31:09,2019-02-25,IONS,Crooke Stanley T,"COB, CEO",S - Sale+OE,$60.77,-77000,795025,-9%,"-$4,679,499",,,,,IONS
67,D,2019-02-14 18:01:42,2019-02-12,IONS,O'Neil Patrick R.,"SVP Legal, GC",S - Sale+OE,$59.50,-275,19673,-1%,"-$16,363",,,,,IONS
68,D,2019-02-14 17:57:09,2019-02-13,IONS,Crooke Stanley T,"COB, CEO",S - Sale+OE,$60.09,-46904,800557,-6%,"-$2,818,268",,,,,IONS
