,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-17 16:29:56,2021-12-15,IPAR,Benacin Philippe,"Pres Interparfums SA, 10%",S - Sale+OE,$90.89,-19000,6846064,0%,"-$1,726,882",,,,,IPAR
1,DM,2021-12-08 16:38:53,2021-12-06,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$95.38,-24012,7063353,0%,"-$2,290,168",,,,,IPAR
2,D,2021-12-03 17:52:39,2021-12-01,IPAR,Santi Philippe,CFO Interparfums SA,S - Sale+OE,$89.00,-2000,0,-100%,"-$178,000",,,,,IPAR
3,D,2021-12-03 17:51:03,2021-12-02,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$90.69,-6000,0,-100%,"-$544,142",,,,,IPAR
4,DM,2021-11-29 17:35:45,2021-11-24,IPAR,Santi Philippe,CFO Interparfums SA,S - Sale+OE,$88.82,-4000,0,-100%,"-$355,273",,,,,IPAR
5,D,2021-11-23 16:58:32,2021-11-22,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$94.05,-1100,7069465,0%,"-$103,460",,,,,IPAR
6,DM,2021-11-23 16:54:59,2021-11-19,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$94.00,-5602,15000,-27%,"-$526,588",,,,,IPAR
7,D,2021-11-19 19:07:09,2021-11-19,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$94.23,-1000,7071565,0%,"-$94,228",,,,,IPAR
8,D,2021-11-19 16:44:05,2021-11-18,IPAR,Heilbronn Francois,Dir,S - Sale+OE,$94.24,-10000,58126,-15%,"-$942,448",,,,,IPAR
9,DM,2021-10-18 17:51:17,2021-10-14,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$78.91,-7700,15000,-34%,"-$607,629",,,,,IPAR
10,DM,2021-03-12 16:09:47,2021-03-10,IPAR,Santi Philippe,CFO Interparfums SA,S - Sale+OE,$73.25,-4800,0,-100%,"-$351,584",,,,,IPAR
11,D,2021-03-11 16:05:33,2021-03-09,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$73.18,-4800,0,-100%,"-$351,287",,,,,IPAR
12,DM,2021-02-08 17:04:13,2021-02-04,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$67.00,-7300,15000,-33%,"-$489,114",,,,,IPAR
13,D,2021-02-05 17:10:58,2021-02-03,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$64.03,-2400,0,-100%,"-$153,663",,,,,IPAR
14,D,2021-02-03 16:14:34,2021-02-01,IPAR,Santi Philippe,CFO Interparfums SA,S - Sale+OE,$63.11,-2400,0,-100%,"-$151,472",,,,,IPAR
15,D,2021-01-29 16:52:39,2021-01-28,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$62.58,-2800,0,-100%,"-$175,213",,,,,IPAR
16,D,2021-01-29 16:21:24,2021-01-28,IPAR,Santi Philippe,CFO Interparfums SA,S - Sale+OE,$62.94,-2800,0,-100%,"-$176,224",,,,,IPAR
17,D,2020-12-28 16:44:08,2020-12-23,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$58.83,-1000,0,-100%,"-$58,830",,,,,IPAR
18,D,2020-12-28 16:35:45,2020-12-23,IPAR,Santi Philippe,CFO Interparfums SA,S - Sale+OE,$59.28,-1000,0,-100%,"-$59,280",,,,,IPAR
19,D,2020-12-18 16:31:57,2020-12-16,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$58.03,-10200,7058141,0%,"-$591,884",,,,,IPAR
20,DM,2020-12-16 18:41:21,2020-12-14,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$57.79,-11200,12500,-47%,"-$647,261",,,,,IPAR
21,D,2020-12-16 16:36:59,2020-12-14,IPAR,Benacin Philippe,"Pres Interparfums SA, 10%",S - Sale+OE,$56.55,-19000,6846064,0%,"-$1,074,456",,,,,IPAR
22,D,2020-12-09 18:14:32,2020-12-07,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$58.00,-2500,10000,-20%,"-$145,000",,,,,IPAR
23,D,2020-01-17 18:04:45,2020-01-16,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$74.60,-3800,0,-100%,"-$283,497",,,,,IPAR
24,D,2019-12-20 16:17:59,2019-12-19,IPAR,Benacin Philippe,"Pres Interparfums SA, 10%",S - Sale+OE,$70.01,-5915,6846064,0%,"-$414,130",,,,,IPAR
25,D,2019-12-20 16:14:19,2019-12-19,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$70.03,-3980,7032341,0%,"-$278,721",,,,,IPAR
26,DM,2019-12-18 19:26:29,2019-12-16,IPAR,Benacin Philippe,"Pres Interparfums SA, 10%",S - Sale+OE,$71.11,-13005,6846064,0%,"-$924,792",,,,,IPAR
27,DM,2019-12-18 18:29:37,2019-12-16,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$71.06,-6520,7032341,0%,"-$463,287",,,,,IPAR
28,D,2019-10-02 16:44:20,2019-09-30,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$70.20,-5000,0,-100%,"-$350,976",,,,,IPAR
29,DM,2019-09-27 16:27:06,2019-09-25,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$68.50,-2500,0,-100%,"-$171,250",,,,,IPAR
30,D,2019-09-24 16:42:38,2019-09-20,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$68.14,-4433,0,-100%,"-$302,076",,,,,IPAR
31,D,2019-06-21 17:00:09,2019-06-21,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$67.45,-20884,7032341,0%,"-$1,408,659",,,,,IPAR
32,DM,2019-06-20 18:40:50,2019-06-18,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$67.18,-52800,7053225,-1%,"-$3,547,218",,,,,IPAR
33,DM,2019-06-17 16:59:14,2019-06-13,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$67.05,-4523,7106025,0%,"-$303,267",,,,,IPAR
34,DM,2019-03-08 19:14:08,2019-03-06,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$79.05,-3067,0,-100%,"-$242,437",,,,,IPAR
35,DM,2019-02-08 16:30:43,2019-02-06,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$67.98,-8941,0,-100%,"-$607,816",,,,,IPAR
36,D,2019-01-18 18:21:49,2019-01-18,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$61.72,-3323,0,-100%,"-$205,080",,,,,IPAR
37,DM,2019-01-07 16:27:11,2019-01-03,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$64.36,-2277,0,-100%,"-$146,542",,,,,IPAR
38,DM,2019-01-07 16:17:16,2019-01-03,IPAR,Santi Philippe,CFO Interparfums SA,S - Sale+OE,$64.13,-5600,0,-100%,"-$359,147",,,,,IPAR
39,D,2018-12-26 16:36:34,2018-12-21,IPAR,Madar Jean,"CEO, 10%",S - Sale+OE,$62.82,-7000,7110548,0%,"-$439,707",,,,,IPAR
40,D,2018-12-26 16:33:10,2018-12-21,IPAR,Benacin Philippe,"Pres Interparfums SA, 10%",S - Sale+OE,$63.52,-19000,6846064,0%,"-$1,206,872",,,,,IPAR
41,D,2018-09-06 18:18:06,2018-09-04,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$65.20,-3600,0,-100%,"-$234,734",,,,,IPAR
42,DM,2018-08-29 18:12:48,2018-08-27,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$66.50,-1059,0,-100%,"-$70,424",,,,,IPAR
43,D,2018-05-25 16:05:02,2018-05-23,IPAR,Garcia Pelayo Frederic,DirExprt InterparfumsSA,S - Sale+OE,$51.24,-5000,0,-100%,"-$256,211",,,,,IPAR
44,D,2018-05-25 16:03:35,2018-05-23,IPAR,Santi Philippe,CFO Interparfums SA,S - Sale+OE,$51.24,-5000,0,-100%,"-$256,211",,,,,IPAR
45,D,2018-05-18 17:20:40,2018-05-16,IPAR,Greenberg Russell,"EX VP, CFO",S - Sale+OE,$49.90,-15000,0,-100%,"-$748,550",,,,,IPAR
