,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-24 16:55:23,2021-11-22,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$99.15,-6950,51541,-12%,"-$689,113",,,,,KOD
1,,2021-11-12 16:55:28,2021-11-10,KOD,Borgeson John A.,See Remarks,S - Sale,$115.42,-876,169443,-1%,"-$101,111",,,,,KOD
2,D,2021-10-22 16:52:24,2021-10-20,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$111.77,-6950,51541,-12%,"-$776,824",,,,,KOD
3,D,2021-10-01 16:58:05,2021-09-30,KOD,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,$95.83,"+86,932",13526726,+1%,"+$8,330,572",,,,,KOD
4,D,2021-09-22 17:02:18,2021-09-20,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$99.88,-6950,51541,-12%,"-$694,164",,,,,KOD
5,M,2021-09-17 18:05:13,2021-09-15,KOD,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,$94.39,"+31,838",14444389,0%,"+$3,005,281",,,,,KOD
6,,2021-09-09 18:43:49,2021-09-07,KOD,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,$93.31,"+57,501",14412551,0%,"+$5,365,227",,,,,KOD
7,D,2021-08-24 16:59:36,2021-08-20,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$91.44,-6950,51541,-12%,"-$635,534",,,,,KOD
8,M,2021-08-19 17:12:55,2021-08-17,KOD,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,$87.50,"+114,396",14355050,+1%,"+$10,009,957",,,,,KOD
9,M,2021-08-13 19:14:04,2021-08-11,KOD,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,$87.19,"+102,773",14240654,+1%,"+$8,960,623",,,,,KOD
10,,2021-07-22 16:37:28,2021-07-20,KOD,Ehrlich Jason,See Remarks,S - Sale,$86.28,-6950,53233,-12%,"-$599,624",,,,,KOD
11,DM,2021-06-30 19:29:31,2021-06-28,KOD,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,$91.72,"+257,929",14137881,+2%,"+$23,656,430",,,,,KOD
12,,2021-06-23 17:38:11,2021-06-21,KOD,Ehrlich Jason,See Remarks,S - Sale,$84.90,-6950,60183,-10%,"-$590,085",,,,,KOD
13,D,2021-06-17 21:26:32,2021-06-15,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$80.90,-1454,67133,-2%,"-$117,624",,,,,KOD
14,D,2021-06-17 21:24:53,2021-06-15,KOD,Borgeson John A.,See Remarks,S - Sale+OE,$80.90,-1290,170319,-1%,"-$104,361",,,,,KOD
15,D,2021-06-15 19:06:52,2021-06-15,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$84.75,-1147,64968,-2%,"-$97,208",,,,,KOD
16,D,2021-06-15 19:04:14,2021-06-15,KOD,Borgeson John A.,See Remarks,S - Sale+OE,$84.75,-1037,167990,-1%,"-$87,886",,,,,KOD
17,,2021-05-24 16:59:56,2021-05-20,KOD,Ehrlich Jason,See Remarks,S - Sale,$81.14,-6950,63161,-10%,"-$563,924",,,,,KOD
18,D,2021-04-22 16:59:41,2021-04-20,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$111.26,-6950,62843,-10%,"-$773,249",,,,,KOD
19,D,2021-03-24 17:07:32,2021-03-22,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$131.50,-6950,62843,-10%,"-$913,894",,,,,KOD
20,,2021-03-12 17:02:50,2021-03-10,KOD,Borgeson John A.,See Remarks,S - Sale,$130.08,-5000,165899,-3%,"-$650,415",,,,,KOD
21,D,2021-02-24 16:44:26,2021-02-22,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$125.81,-6950,50343,-12%,"-$874,367",,,,,KOD
22,D,2021-01-22 17:22:38,2021-01-20,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$162.78,-26950,50343,-35%,"-$4,386,776",,,,,KOD
23,D,2020-12-23 17:40:12,2020-12-21,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$144.55,-6950,50343,-12%,"-$1,004,610",,,,,KOD
24,D,2020-11-24 18:04:23,2020-11-20,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$138.79,-6950,42843,-14%,"-$964,601",,,,,KOD
25,D,2020-10-29 16:49:30,2020-10-27,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$100.00,-7500,42843,-15%,"-$750,000",,,,,KOD
26,D,2020-10-27 16:57:50,2020-10-23,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$86.25,-7500,42843,-15%,"-$646,875",,,,,KOD
27,D,2020-10-22 16:56:20,2020-10-20,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$78.39,-6950,42843,-14%,"-$544,817",,,,,KOD
28,D,2020-10-15 17:44:12,2020-10-13,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$75.00,-5000,42843,-10%,"-$375,000",,,,,KOD
29,D,2020-10-13 19:04:46,2020-10-09,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$71.28,-2200,42843,-5%,"-$156,819",,,,,KOD
30,,2020-09-25 18:02:18,2020-09-25,KOD,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,$56.65,"+48,125",11324937,0%,"+$2,726,182",,,,,KOD
31,M,2020-09-24 19:30:27,2020-09-22,KOD,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,$51.71,"+203,047",11280001,+2%,"+$10,498,591",,,,,KOD
32,D,2020-09-23 18:15:15,2020-09-21,KOD,Ehrlich Jason,See Remarks,S - Sale+OE,$52.40,-6950,33984,-17%,"-$364,182",,,,,KOD
