,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,DM,2021-11-24 16:30:24,2021-11-22,LECO,Mapes Christopher L,"COB, Pres, CEO",S - Sale+OE,$145.96,-110590,154119,-42%,"-$16,141,417",,,,,LECO
1,D,2021-11-09 16:30:15,2021-11-05,LECO,Whitehead Michael J,"SVP, Pres, Global Automat",S - Sale+OE,$143.27,-3663,8755,-29%,"-$524,807",,,,,LECO
2,D,2021-09-08 16:30:13,2021-09-07,LECO,Ansberry Jennifer I,"EVP, GC, Secy",S - Sale+OE,$134.03,-6860,14200,-33%,"-$919,429",,,,,LECO
3,D,2021-08-12 16:30:36,2021-08-11,LECO,Kuhrt Michele R,"EVP, CHRO",S - Sale+OE,$142.72,-2530,13515,-16%,"-$361,082",,,,,LECO
4,,2021-08-04 16:31:15,2021-08-02,LECO,Lincoln Kathryn Jo,Dir,S - Sale,$137.85,-7000,40261,-15%,"-$964,950",,,,,LECO
5,D,2021-05-06 16:33:20,2021-05-05,LECO,Ansberry Jennifer I,"EVP, GC, Secy",S - Sale+OE,$132.31,-3984,14200,-22%,"-$527,123",,,,,LECO
6,D,2020-12-08 16:19:18,2020-12-07,LECO,Flohn Thomas A,"SVP; Pres, Asia Pacific Region",S - Sale+OE,$118.00,-5170,30157,-15%,"-$610,060",,,,,LECO
7,D,2020-12-07 17:00:08,2020-12-03,LECO,Hedlund Steven B,"EVP, Pres Inter'l, Americas",S - Sale+OE,$114.12,-5860,31274,-16%,"-$668,743",,,,,LECO
8,D,2020-11-20 16:36:20,2020-11-20,LECO,Ansberry Jennifer I,"Ex.VP GC, Secy",S - Sale+OE,$113.41,-6602,11728,-36%,"-$748,728",,,,,LECO
9,,2020-11-18 17:00:20,2020-11-17,LECO,Nangle David J,EVP; Pres Harris Products Gr.,S - Sale,$116.00,-5300,15646,-25%,"-$614,800",,,,,LECO
10,D,2020-11-16 17:00:17,2020-11-13,LECO,Allman Geoffrey P,"SVP, Strategy, Business Devel",S - Sale+OE,$113.74,-2980,8453,-26%,"-$338,945",,,,,LECO
11,,2020-11-13 16:13:51,2020-11-12,LECO,Macdonald William E III,Dir,S - Sale,$111.31,-5000,13255,-27%,"-$556,550",,,,,LECO
12,D,2020-11-05 17:00:09,2020-11-04,LECO,Whitehead Michael J,"SVP, Pres, Global Automat",S - Sale+OE,$105.37,-5250,7670,-41%,"-$553,193",,,,,LECO
13,D,2020-11-04 17:00:12,2020-11-02,LECO,Mapes Christopher L,"COB, Pres, CEO",S - Sale+OE,$104.55,-47480,225029,-17%,"-$4,964,246",,,,,LECO
14,,2020-08-28 17:00:09,2020-08-27,LECO,Kuhrt Michele R,"EVP, CHRO",S - Sale,$97.64,-5000,11948,-30%,"-$488,200",,,,,LECO
15,D,2020-08-14 17:01:39,2020-08-12,LECO,Lance Douglas S,"SVP, Pres, Cleveland Ops.",S - Sale+OE,$98.21,-2735,10510,-21%,"-$268,590",,,,,LECO
16,D,2020-08-13 17:00:18,2020-08-11,LECO,Allman Geoffrey P,"SVP, Strategy, Business Devel",S - Sale+OE,$98.36,-4435,8453,-34%,"-$436,227",,,,,LECO
17,D,2020-08-13 17:00:18,2020-08-11,LECO,Kuhrt Michele R,"EVP, CHRO",S - Sale+OE,$97.71,-2850,16948,-14%,"-$278,474",,,,,LECO
18,D,2020-08-11 16:44:58,2020-08-10,LECO,Mintun Michael,"SVP, N. Amer. Sales, Market.",S - Sale+OE,$96.98,-4305,13302,-24%,"-$417,499",,,,,LECO
19,D,2020-08-10 17:00:10,2020-08-06,LECO,Lance Douglas S,"SVP, Pres, Cleveland Ops.",S - Sale+OE,$93.38,-3560,16455,-18%,"-$332,433",,,,,LECO
20,,2020-07-31 17:05:16,2020-07-30,LECO,Whitehead Michael J,"SVP, Pres, Global Automat",S - Sale,$90.08,-1000,8670,-10%,"-$90,080",,,,,LECO
21,,2020-07-31 17:05:11,2020-07-30,LECO,Whitehead Michael J,"SVP, Pres, Global Automat",S - Sale,$90.08,-1000,8670,-10%,"-$90,080",,,,,LECO
22,,2020-07-31 17:00:09,2020-07-30,LECO,Whitehead Michael J,"SVP, Pres, Global Automat",S - Sale,$90.08,-1000,8670,-10%,"-$90,080",,,,,LECO
23,D,2019-12-16 16:48:38,2019-12-12,LECO,Petrella Vincent K,"Exec V.P, CFO, Treasurer",S - Sale+OE,$95.70,-19250,73620,-21%,"-$1,842,286",,,,,LECO
24,D,2019-12-16 16:46:12,2019-12-13,LECO,Mapes Christopher L,"COB, Pres, CEO",S - Sale+OE,$94.41,-28500,206205,-12%,"-$2,690,685",,,,,LECO
