,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-10-14 16:50:51,2021-10-12,MCFE,"Tpg Group Holdings (Sbs) Advisors, Inc.",10%,S - Sale+OE,$21.71,-545416,59894768,-1%,"-$11,842,345",,,,,MCFE
1,D,2021-10-14 16:26:52,2021-10-12,MCFE,"Intel Americas, Inc.","Dir, 10%",S - Sale+OE,$21.71,-814346,5696831,-13%,"-$17,681,488",,,,,MCFE
2,,2021-10-14 16:17:50,2021-10-12,MCFE,Gic Private Ltd,10%,S - Sale,$22.50,-113314,24411754,0%,"-$2,549,565",,,,,MCFE
3,,2021-09-16 18:03:25,2021-09-14,MCFE,Bhamidipati Venkat,See Remarks,S - Sale,$21.71,-29630,882670,-3%,"-$643,341",,,,,MCFE
4,D,2021-09-16 18:01:16,2021-09-14,MCFE,Hicks Terry,See Remarks,S - Sale+OE,$21.71,-55184,493145,-10%,"-$1,198,183",,,,,MCFE
5,,2021-09-16 18:00:25,2021-09-14,MCFE,Leav Peter,See Remarks,S - Sale,$21.71,-129591,1860870,-7%,"-$2,813,745",,,,,MCFE
6,D,2021-09-16 16:40:27,2021-09-14,MCFE,"Tpg Group Holdings (Sbs) Advisors, Inc.",10%,S - Sale+OE,$21.71,-6473440,60172786,-10%,"-$140,554,566",,,,,MCFE
7,,2021-09-16 16:15:41,2021-09-14,MCFE,Gic Private Ltd,10%,S - Sale,$22.50,-1344898,24525068,-5%,"-$30,260,205",,,,,MCFE
8,D,2021-09-15 18:10:33,2021-09-14,MCFE,"Intel Americas, Inc.","Dir, 10%",S - Sale+OE,$21.71,-9665332,5696831,-63%,"-$209,858,521",,,,,MCFE
9,,2020-10-28 18:02:04,2020-10-26,MCFE,Gic Private Ltd,10%,S - Sale,$20.00,-527162,25869966,-2%,"-$10,543,240",,,,,MCFE
10,D,2020-10-28 16:30:10,2020-10-26,MCFE,"Thoma Bravo Ugp, LLC",10%,S - Sale+OE,$18.90,-408340,18852120,-2%,"-$7,717,626",,,,,MCFE
11,,2020-10-28 16:30:09,2020-10-26,MCFE,"Intel Americas, Inc.","Dir, 10%",S - Sale,$18.90,-3788537,5696831,-40%,"-$71,603,349",,,,,MCFE
12,D,2020-10-28 16:17:41,2020-10-26,MCFE,"Tpg Group Holdings (Sbs) Advisors, Inc.",10%,S - Sale+OE,$18.90,-1293403,66587129,-2%,"-$24,445,317",,,,,MCFE
