,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-02 15:37:53,2021-12-01,MKSI,Mora Elizabeth,Dir,S - Sale,$155.91,-300,14848,-2%,"-$46,773",,,,,MKSI
1,,2021-11-08 17:40:36,2021-11-04,MKSI,Colella Gerard G,Dir,S - Sale,$155.16,-3000,98149,-3%,"-$465,488",,,,,MKSI
2,,2021-09-02 16:09:49,2021-09-01,MKSI,Mora Elizabeth,Dir,S - Sale,$148.10,-300,15148,-2%,"-$44,430",,,,,MKSI
3,,2021-06-02 13:18:43,2021-06-01,MKSI,Mora Elizabeth,Dir,S - Sale,$190.00,-300,15448,-2%,"-$57,000",,,,,MKSI
4,,2021-05-21 11:16:12,2021-05-20,MKSI,Henry David Philip,"SVP, Corp Mkt, PMO, Glob Svc",S - Sale,$186.70,-284,1806,-14%,"-$53,022",,,,,MKSI
5,,2021-05-03 16:14:21,2021-04-30,MKSI,Gitin Mark Milton,"SVP, GM, L, M Division",S - Sale,$181.79,-1301,4338,-23%,"-$236,509",,,,,MKSI
6,,2021-04-30 14:47:47,2021-04-29,MKSI,Taranto Eric Robert,"SVP, GM, V, A Division",S - Sale,$185.29,-1788,3506,-34%,"-$331,304",,,,,MKSI
7,,2021-04-16 16:42:07,2021-04-15,MKSI,Bagshaw Seth H,"SVP, CFO, Treasurer",S - Sale,$186.86,-9000,19410,-32%,"-$1,681,710",,,,,MKSI
8,,2021-03-02 16:01:59,2021-03-01,MKSI,Mora Elizabeth,Dir,S - Sale,$168.00,-450,14601,-3%,"-$75,600",,,,,MKSI
9,,2020-12-02 16:32:43,2020-12-01,MKSI,Mora Elizabeth,Dir,S - Sale,$139.54,-450,15051,-3%,"-$62,793",,,,,MKSI
10,,2020-09-02 11:23:51,2020-09-01,MKSI,Mora Elizabeth,Dir,S - Sale,$120.28,-450,15501,-3%,"-$54,126",,,,,MKSI
11,,2020-08-04 15:26:44,2020-08-03,MKSI,Colella Gerard G,Dir,S - Sale,$128.37,-6000,125386,-5%,"-$770,237",,,,,MKSI
12,M,2020-07-24 14:10:25,2020-07-22,MKSI,Bagshaw Seth H,"SVP, CFO, Treasurer",S - Sale,$124.74,-5000,19169,-21%,"-$623,714",,,,,MKSI
13,,2020-07-07 11:20:07,2020-07-06,MKSI,Bagshaw Seth H,"SVP, CFO, Treasurer",S - Sale,$116.84,-5000,24169,-17%,"-$584,197",,,,,MKSI
14,,2020-06-02 13:33:52,2020-06-01,MKSI,Mora Elizabeth,Dir,S - Sale,$105.09,-450,15951,-3%,"-$47,291",,,,,MKSI
15,,2020-05-20 17:34:51,2020-05-19,MKSI,Colella Gerard G,Dir,S - Sale,$100.17,-5000,87577,-5%,"-$500,858",,,,,MKSI
16,,2020-05-06 15:53:18,2020-05-05,MKSI,Beecher Gregory R,Dir,S - Sale,$95.95,-18143,1981,-90%,"-$1,740,766",,,,,MKSI
