,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-11-03 19:13:58,2021-11-01,MORF,Schegerin Marc,"CFO, COO",S - Sale+OE,$60.00,-5477,13192,-29%,"-$328,620",,,,,MORF
1,D,2021-10-28 19:02:10,2021-10-26,MORF,Schegerin Marc,"CFO, COO",S - Sale+OE,$60.00,-37,6526,-1%,"-$2,220",,,,,MORF
2,DM,2021-10-15 19:00:52,2021-10-13,MORF,Schegerin Marc,"CFO, COO",S - Sale+OE,$60.01,-29486,6526,-82%,"-$1,769,571",,,,,MORF
3,D,2021-09-17 19:04:08,2021-09-16,MORF,Linde Peter,Chief Medical Officer,S - Sale+OE,$66.51,-4000,11272,-26%,"-$266,037",,,,,MORF
4,DM,2021-09-14 19:08:32,2021-09-10,MORF,Farrell Robert E Jr,"SVP Finance, CAO",S - Sale+OE,$65.10,-12908,10000,-56%,"-$840,368",,,,,MORF
5,DM,2021-09-13 19:04:47,2021-09-09,MORF,Rogers Bruce,Chief Scientific Officer,S - Sale+OE,$62.00,-40000,89905,-31%,"-$2,480,045",,,,,MORF
6,M,2021-08-20 19:08:57,2021-08-18,MORF,Springer Timothy A,"Dir, 10%",P - Purchase,$56.23,"+74,927",5520305,+1%,"+$4,213,155",,,,,MORF
7,DM,2021-06-21 19:04:29,2021-06-16,MORF,Farrell Robert E Jr,"SVP Finance, CAO",S - Sale+OE,$65.00,-500,17934,-3%,"-$32,501",,,,,MORF
8,DM,2021-06-14 19:55:00,2021-06-10,MORF,Farrell Robert E Jr,"SVP Finance, CAO",S - Sale+OE,$60.97,-19526,17934,-52%,"-$1,190,419",,,,,MORF
9,,2021-06-03 19:15:39,2021-06-01,MORF,Linde Peter,Chief Medical Officer,S - Sale,$49.85,-6000,4600,-57%,"-$299,110",,,,,MORF
10,M,2021-05-26 19:02:35,2021-05-24,MORF,Springer Timothy A,"Dir, 10%",P - Purchase,$46.28,"+130,000",5445378,+2%,"+$6,015,992",,,,,MORF
11,,2021-05-25 19:20:55,2021-05-21,MORF,Nashat Amir,Dir,S - Sale,$45.50,-232295,2090651,-10%,"-$10,569,423",,,,,MORF
12,,2021-05-25 19:03:50,2021-05-21,MORF,Springer Timothy A,"Dir, 10%",P - Purchase,$45.50,"+232,295",5315378,+5%,"+$10,569,423",,,,,MORF
13,M,2021-05-03 15:12:33,2021-04-29,MORF,"Omega Fund V, L.P.",Dir,S - Sale,$54.65,-17158,2068913,-1%,"-$937,662",,,,,MORF
14,M,2021-04-29 12:09:42,2021-04-27,MORF,"Omega Fund V, L.P.",Dir,S - Sale,$55.42,-10704,2086071,-1%,"-$593,254",,,,,MORF
15,M,2021-04-27 10:13:09,2021-04-23,MORF,"Omega Fund V, L.P.",Dir,S - Sale,$56.00,-13818,2096775,-1%,"-$773,769",,,,,MORF
16,M,2021-04-23 13:28:12,2021-04-21,MORF,"Omega Fund V, L.P.",Dir,S - Sale,$57.07,-19787,2110593,-1%,"-$1,129,260",,,,,MORF
17,M,2021-04-21 10:36:26,2021-04-19,MORF,"Omega Fund V, L.P.",Dir,S - Sale,$54.30,-17874,2130380,-1%,"-$970,506",,,,,MORF
18,M,2021-04-19 13:32:25,2021-04-15,MORF,"Omega Fund V, L.P.",Dir,S - Sale,$55.63,-17746,2148254,-1%,"-$987,121",,,,,MORF
19,M,2021-04-15 10:57:52,2021-04-13,MORF,"Omega Fund V, L.P.",Dir,S - Sale,$57.49,-20936,2166000,-1%,"-$1,203,506",,,,,MORF
20,M,2021-04-13 11:33:12,2021-04-09,MORF,"Omega Fund V, L.P.",Dir,S - Sale,$58.00,-24812,2186936,-1%,"-$1,439,044",,,,,MORF
