,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-10-12 17:18:53,2021-10-07,NTNX,Williams Duston,CFO,S - Sale,$37.06,-43632,224071,-16%,"-$1,616,932",,,,,NTNX
1,,2021-10-06 18:46:41,2021-10-06,NTNX,Wall Tyler,GC,S - Sale,$37.97,-60000,83370,-42%,"-$2,278,284",,,,,NTNX
2,D,2021-09-17 19:26:50,2021-09-16,NTNX,Williams Duston,CFO,S - Sale+OE,$41.74,-19336,267307,-7%,"-$807,085",,,,,NTNX
3,D,2021-09-17 19:24:46,2021-09-16,NTNX,Wall Tyler,GC,S - Sale+OE,$41.74,-15282,142974,-10%,"-$637,871",,,,,NTNX
4,D,2021-09-17 19:23:25,2021-09-16,NTNX,Sangster David,COO,S - Sale+OE,$41.74,-19905,113790,-15%,"-$830,835",,,,,NTNX
5,D,2021-09-17 19:20:56,2021-09-16,NTNX,Maner Tarkan,Chief Commercial Officer,S - Sale+OE,$41.74,-15959,99512,-14%,"-$666,129",,,,,NTNX
6,D,2021-09-17 19:19:34,2021-09-16,NTNX,Kaddaras Christopher Nicholas Jr,Chief Revenue Officer,S - Sale+OE,$41.74,-11562,161443,-7%,"-$482,598",,,,,NTNX
7,D,2021-09-17 19:18:09,2021-09-16,NTNX,Boynton Aaron,Chief Accounting Officer,S - Sale+OE,$41.74,-3327,22710,-13%,"-$138,869",,,,,NTNX
8,,2021-07-13 16:17:14,2021-07-12,NTNX,Williams Duston,CFO,S - Sale,$37.27,-50000,248784,-17%,"-$1,863,265",,,,,NTNX
9,,2021-06-29 19:22:09,2021-06-28,NTNX,Sangster David,COO,S - Sale,$39.21,-49429,94721,-34%,"-$1,938,279",,,,,NTNX
10,,2021-06-23 17:49:20,2021-06-22,NTNX,Boynton Aaron,Chief Accounting Officer,S - Sale,$38.17,-12656,18260,-41%,"-$483,105",,,,,NTNX
11,,2021-06-21 16:47:08,2021-06-16,NTNX,Williams Duston,CFO,S - Sale,$37.35,-15067,298784,-5%,"-$562,752",,,,,NTNX
12,,2021-06-21 16:46:12,2021-06-16,NTNX,Wall Tyler,GC,S - Sale,$37.35,-11056,128335,-8%,"-$412,942",,,,,NTNX
13,,2021-06-21 16:44:23,2021-06-16,NTNX,Sangster David,COO,S - Sale,$37.35,-15634,144150,-10%,"-$583,930",,,,,NTNX
14,,2021-06-21 16:43:22,2021-06-16,NTNX,Maner Tarkan,Chief Commercial Officer,S - Sale,$37.35,-11727,84221,-12%,"-$438,003",,,,,NTNX
15,,2021-06-21 16:42:14,2021-06-16,NTNX,Kaddaras Christopher Nicholas Jr,Chief Revenue Officer,S - Sale,$37.35,-11443,144568,-7%,"-$427,396",,,,,NTNX
16,,2021-06-21 16:40:33,2021-06-16,NTNX,Boynton Aaron,Chief Accounting Officer,S - Sale,$37.35,-2741,30916,-8%,"-$102,376",,,,,NTNX
17,,2021-06-11 16:29:07,2021-06-10,NTNX,Maner Tarkan,Chief Commercial Officer,S - Sale,$35.00,-19938,64698,-24%,"-$697,830",,,,,NTNX
18,,2021-06-08 21:41:22,2021-06-08,NTNX,Boynton Aaron,Chief Accounting Officer,S - Sale,$34.85,-2000,25880,-7%,"-$69,695",,,,,NTNX
19,,2021-03-18 18:40:14,2021-03-16,NTNX,Williams Duston,CFO,S - Sale,$26.85,-13984,274992,-5%,"-$375,470",,,,,NTNX
20,,2021-03-18 18:39:00,2021-03-16,NTNX,Wall Tyler,GC,S - Sale,$26.85,-10848,108471,-9%,"-$291,269",,,,,NTNX
