,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-15 07:09:24,2021-09-14,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.46,"+100,000",226367822,0%,"+$346,443",,,,,OPK
1,,2021-08-16 08:33:22,2021-08-13,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.69,"+100,000",226267822,0%,"+$368,987",,,,,OPK
2,,2021-08-10 16:12:54,2021-08-09,OPK,Hsiao Jane Ph D,"Vice COB, CTO",P - Purchase,$3.73,+10,27599870,0%,+$37,,,,,OPK
3,,2021-06-15 07:24:14,2021-06-14,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.62,"+200,000",226167822,0%,"+$723,927",,,,,OPK
4,,2021-06-01 14:41:17,2021-05-10,OPK,Cohen Jon R,SVP OPKO; Exec COB BRLI,P - Purchase,$3.81,"+50,000",125000,+67%,"+$190,500",,,,,OPK
5,,2021-05-26 07:42:16,2021-05-25,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.64,"+400,000",225967822,0%,"+$1,455,972",,,,,OPK
6,,2021-05-11 07:36:21,2021-05-10,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.65,"+75,000",225567822,0%,"+$273,745",,,,,OPK
7,,2021-05-10 07:25:19,2021-05-07,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.84,"+75,000",225492822,0%,"+$287,743",,,,,OPK
8,,2021-05-07 07:04:57,2021-05-06,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.91,"+25,000",225417822,0%,"+$97,783",,,,,OPK
9,,2021-05-05 07:59:29,2021-05-04,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.94,"+25,000",225392822,0%,"+$98,481",,,,,OPK
10,,2021-03-08 07:20:03,2021-03-05,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.91,"+300,000",225367822,0%,"+$1,173,841",,,,,OPK
11,D,2021-02-22 07:37:12,2021-02-19,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$4.77,"+500,000",225067822,0%,"+$2,383,455",,,,,OPK
12,,2020-12-29 07:33:38,2020-12-28,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$4.00,"+300,000",224567822,0%,"+$1,199,500",,,,,OPK
13,,2020-11-10 06:53:57,2020-11-09,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.18,"+250,000",224267822,0%,"+$794,669",,,,,OPK
14,,2020-11-02 06:57:40,2020-10-30,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.45,"+600,000",224017822,0%,"+$2,072,820",,,,,OPK
15,,2020-08-27 08:40:54,2020-08-26,OPK,Rubin Steven D,EVP-Administration,P - Purchase,$3.99,"+10,000",6167732,0%,"+$39,943",,,,,OPK
16,,2020-06-04 07:26:24,2020-06-03,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$2.27,"+100,000",223417822,0%,"+$227,000",,,,,OPK
17,,2020-06-03 07:54:23,2020-06-02,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$2.42,"+100,000",223317822,0%,"+$242,410",,,,,OPK
18,,2020-05-29 07:21:00,2020-05-28,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$2.16,"+100,000",223217822,0%,"+$215,975",,,,,OPK
19,,2020-05-27 08:03:42,2020-05-26,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$2.35,"+250,000",223117822,0%,"+$587,986",,,,,OPK
20,,2020-05-08 07:45:21,2020-05-07,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$2.08,"+400,000",222867822,0%,"+$831,606",,,,,OPK
21,,2020-04-20 08:06:09,2020-04-17,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.66,"+325,000",222467822,0%,"+$540,364",,,,,OPK
22,,2020-04-17 08:02:09,2020-04-16,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.63,"+25,000",222142822,0%,"+$40,738",,,,,OPK
23,,2020-04-16 08:20:49,2020-04-15,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.55,"+200,000",222117822,0%,"+$309,377",,,,,OPK
24,,2020-04-08 08:02:13,2020-04-07,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.28,"+400,000",221917822,0%,"+$510,984",,,,,OPK
25,,2020-04-06 08:18:03,2020-04-03,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.15,"+50,000",221517822,0%,"+$57,592",,,,,OPK
26,,2020-04-03 07:41:14,2020-04-02,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.16,"+500,000",221467822,0%,"+$581,185",,,,,OPK
27,,2020-04-02 08:12:59,2020-04-01,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.23,"+643,549",220967822,0%,"+$793,012",,,,,OPK
28,,2020-03-31 08:06:33,2020-03-30,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.35,"+161,968",220324273,0%,"+$218,037",,,,,OPK
29,,2020-03-30 08:00:17,2020-03-27,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.40,"+100,000",220162305,0%,"+$139,976",,,,,OPK
30,,2020-03-27 08:01:45,2020-03-26,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.38,"+200,000",220062305,0%,"+$275,445",,,,,OPK
31,,2020-03-20 07:44:26,2020-03-19,OPK,Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$1.49,"+100,000",219862305,0%,"+$148,871",,,,,OPK
32,,2020-03-13 06:03:04,2020-03-12,OPK,Japour Anthony J,Dir,P - Purchase,$1.51,+500,1000,+100%,+$755,,,,,OPK
