,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2020-12-28 16:26:40,2020-12-24,PAA,Temple Chris,Dir,S - Sale,$8.79,-31250,0,-100%,"-$274,688",,,,,PAA
1,,2020-04-09 15:44:51,2018-07-02,PAA,Sinnott Robert V,Dir,P - Purchase,$23.64,"+35,498",599669,+6%,"+$839,173",,,,,PAA
2,,2020-03-18 18:45:02,2020-03-16,PAA,Chiang Willie Cw,"COB, CEO",P - Purchase,$5.45,"+45,400",223302,+26%,"+$247,530",,,,,PAA
3,,2020-03-16 18:55:02,2020-03-13,PAA,Goebel Jeremy L.,EVP - Commercial,P - Purchase,$6.66,"+3,000",108051,+3%,"+$19,990",,,,,PAA
4,,2020-03-12 19:15:52,2020-03-12,PAA,Pefanis Harry N,"Pres, CCO",P - Purchase,$6.96,"+20,000",650194,+3%,"+$139,270",,,,,PAA
5,,2020-02-27 17:16:22,2020-02-26,PAA,Pefanis Harry N,"Pres, CCO",P - Purchase,$14.16,"+30,000",630194,+5%,"+$424,812",,,,,PAA
6,D,2019-09-25 18:41:24,2019-09-23,PAA,"Oxy Holding Co (Pipeline), Inc.",See remarks,S - Sale+OE,$21.25,-14977890,0,-100%,"-$318,280,163",,,,,PAA
7,D,2019-08-16 16:30:10,2019-08-14,PAA,Herbold Chris,"SVP, Chief Acctg Officer",S - Sale+OE,$21.38,-23337,49389,-32%,"-$498,945",,,,,PAA
8,D,2019-05-28 21:40:18,2019-05-28,PAA,Raymond John T,Dir,S - Sale+OE,$23.10,-8179284,1599616,-84%,"-$188,941,460",,,,,PAA
9,D,2019-05-28 21:39:34,2019-05-28,PAA,"Emg Investment, LLC",See Remarks,S - Sale+OE,$23.10,-8179284,0,-100%,"-$188,941,460",,,,,PAA
10,,2018-08-29 16:32:17,2018-08-29,PAA,Herbold Chris,"SVP, Chief Acctg Officer",S - Sale,$26.35,-10591,34227,-24%,"-$279,063",,,,,PAA
