,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-23 16:41:38,2021-11-22,POWI,Balakrishnan Balu,"Pres, CEO",S - Sale,$109.30,-7500,539412,-1%,"-$819,750",,,,,POWI
1,,2021-11-19 17:22:33,2021-11-17,POWI,Sharp Steven,Dir,S - Sale,$105.99,-4717,25824,-15%,"-$499,964",,,,,POWI
2,,2021-11-18 18:00:52,2021-11-16,POWI,Matthews David Mh,VP of Product Development,S - Sale,$108.01,-2500,102311,-2%,"-$270,032",,,,,POWI
3,,2021-11-12 17:03:16,2021-11-09,POWI,Bailey Doug,VP Marketing,S - Sale,$102.39,-1000,102660,-1%,"-$102,390",,,,,POWI
4,,2021-10-13 17:47:03,2021-10-11,POWI,Bailey Doug,VP Marketing,S - Sale,$99.00,-1000,103660,-1%,"-$99,000",,,,,POWI
5,,2021-09-13 17:53:15,2021-09-09,POWI,Bailey Doug,VP Marketing,S - Sale,$107.46,-1000,104660,-1%,"-$107,460",,,,,POWI
6,,2021-09-02 19:45:10,2021-08-25,POWI,Gupta Sunil,VP of Operations,S - Sale,$104.49,-1788,26961,-6%,"-$186,828",,,,,POWI
7,,2021-09-01 18:45:28,2021-08-30,POWI,Nayyar Sandeep,CFO,S - Sale,$109.83,-2928,64637,-4%,"-$321,582",,,,,POWI
8,,2021-09-01 18:45:23,2021-08-30,POWI,Matthews David Mh,VP of Product Development,S - Sale,$110.08,-1500,104811,-1%,"-$165,124",,,,,POWI
9,,2021-09-01 18:44:55,2021-08-30,POWI,Sharp Steven,Dir,S - Sale,$109.37,-4858,30541,-14%,"-$531,337",,,,,POWI
10,,2021-08-27 17:40:01,2021-08-25,POWI,Sayiner Necip,Dir,S - Sale,$104.53,-2500,4023,-38%,"-$261,332",,,,,POWI
11,,2021-08-27 17:39:46,2021-08-25,POWI,Matthews David Mh,VP of Product Development,S - Sale,$104.41,-2500,106311,-2%,"-$261,031",,,,,POWI
12,,2021-08-24 17:10:21,2021-08-20,POWI,Barsan Radu,"VP of Technology, Engineering",S - Sale,$100.00,-148,49150,0%,"-$14,800",,,,,POWI
13,,2021-08-10 18:03:02,2021-08-09,POWI,Bailey Doug,VP Marketing,S - Sale,$99.84,-1000,105660,-1%,"-$99,840",,,,,POWI
14,,2021-08-10 18:02:41,2021-08-06,POWI,Nayyar Sandeep,CFO,S - Sale,$99.80,-6622,67565,-9%,"-$660,876",,,,,POWI
15,,2021-08-09 16:55:19,2021-08-05,POWI,Nayyar Sandeep,CFO,S - Sale,$99.46,-2018,74187,-3%,"-$200,711",,,,,POWI
16,,2021-08-05 21:32:30,2021-08-04,POWI,Bailey Doug,VP Marketing,S - Sale,$98.78,-353,106660,0%,"-$34,868",,,,,POWI
17,M,2021-08-03 18:18:22,2021-07-30,POWI,Bailey Doug,VP Marketing,S - Sale,$93.60,-5000,107013,-4%,"-$468,000",,,,,POWI
18,,2021-05-10 18:11:23,2021-05-06,POWI,Bailey Doug,VP Marketing,S - Sale,$80.60,-8830,111865,-7%,"-$711,698",,,,,POWI
19,,2021-04-07 18:49:03,2021-04-05,POWI,Sutherland Ben,VP of Sales,S - Sale,$84.63,-1507,45236,-3%,"-$127,533",,,,,POWI
20,,2021-04-07 18:49:00,2021-04-05,POWI,Walker Clifford,VP Corporate Development,S - Sale,$84.38,-1510,126619,-1%,"-$127,408",,,,,POWI
21,,2021-04-07 18:48:52,2021-04-05,POWI,Nayyar Sandeep,CFO,S - Sale,$84.48,-1890,76057,-2%,"-$159,660",,,,,POWI
22,,2021-04-07 18:48:31,2021-04-05,POWI,Matthews David Mh,VP of Product Development,S - Sale,$84.41,-1510,108663,-1%,"-$127,465",,,,,POWI
23,,2021-04-07 18:48:01,2021-04-05,POWI,Barsan Radu,"VP of Technology, Engineering",S - Sale,$84.34,-3250,49150,-6%,"-$274,106",,,,,POWI
24,,2021-04-07 18:47:50,2021-04-05,POWI,Balakrishnan Balu,"Pres, CEO",S - Sale,$84.84,-9368,499343,-2%,"-$794,781",,,,,POWI
25,,2021-04-07 18:47:18,2021-04-05,POWI,Bailey Doug,VP Marketing,S - Sale,$84.38,-1510,120695,-1%,"-$127,411",,,,,POWI
26,,2021-02-23 11:35:43,2021-02-19,POWI,Barsan Radu,"VP of Technology, Engineering",S - Sale,$94.74,-2239,52400,-4%,"-$212,112",,,,,POWI
27,,2021-02-23 11:35:25,2021-02-19,POWI,Sutherland Ben,VP of Sales,S - Sale,$94.15,-4004,46743,-8%,"-$376,967",,,,,POWI
28,M,2021-02-18 19:45:06,2021-02-16,POWI,Barsan Radu,"VP of Technology, Engineering",S - Sale,$91.24,-7566,54639,-12%,"-$690,355",,,,,POWI
29,M,2021-02-18 19:44:46,2021-02-16,POWI,Balakrishnan Balu,"Pres, CEO",S - Sale,$91.40,-24117,508711,-5%,"-$2,204,329",,,,,POWI
30,M,2021-02-18 19:44:33,2021-02-16,POWI,Nayyar Sandeep,CFO,S - Sale,$91.34,-5514,77947,-7%,"-$503,626",,,,,POWI
31,M,2021-02-18 19:44:15,2021-02-16,POWI,Sutherland Ben,VP of Sales,S - Sale,$91.20,-4096,50747,-7%,"-$373,543",,,,,POWI
32,M,2021-02-18 19:44:01,2021-02-16,POWI,Bailey Doug,VP Marketing,S - Sale,$91.65,-3762,122205,-3%,"-$344,793",,,,,POWI
33,M,2021-02-18 19:43:48,2021-02-16,POWI,Matthews David Mh,VP of Product Development,S - Sale,$91.48,-4301,110173,-4%,"-$393,457",,,,,POWI
34,M,2021-02-18 19:43:33,2021-02-16,POWI,Walker Clifford,VP Corporate Development,S - Sale,$91.66,-3769,128129,-3%,"-$345,467",,,,,POWI
35,,2021-02-16 15:50:08,2021-02-11,POWI,Sutherland Ben,VP of Sales,S - Sale,$91.24,-8895,54843,-14%,"-$811,585",,,,,POWI
36,D,2021-02-12 17:19:35,2021-02-11,POWI,George William,Dir,S - Sale+OE,$92.00,-6400,64760,-9%,"-$588,800",,,,,POWI
37,,2021-02-11 20:52:49,2021-02-09,POWI,Barsan Radu,"VP of Technology, Engineering",S - Sale,$88.65,-7553,62205,-11%,"-$669,560",,,,,POWI
38,M,2021-02-09 18:27:19,2021-02-05,POWI,Walker Clifford,VP Corporate Development,S - Sale,$85.71,-3240,131898,-2%,"-$277,685",,,,,POWI
39,M,2021-02-09 18:26:52,2021-02-05,POWI,Sutherland Ben,VP of Sales,S - Sale,$86.63,-4020,63738,-6%,"-$348,256",,,,,POWI
40,M,2021-02-09 18:26:31,2021-02-05,POWI,Nayyar Sandeep,CFO,S - Sale,$85.87,-6623,83461,-7%,"-$568,708",,,,,POWI
41,M,2021-02-09 18:26:01,2021-02-05,POWI,Matthews David Mh,VP of Product Development,S - Sale,$85.89,-4073,114474,-3%,"-$349,846",,,,,POWI
42,,2021-02-09 18:25:41,2021-02-08,POWI,Gupta Sunil,VP of Operations,S - Sale,$83.80,-818,28601,-3%,"-$68,547",,,,,POWI
43,M,2021-02-09 18:25:24,2021-02-05,POWI,Barsan Radu,"VP of Technology, Engineering",S - Sale,$86.09,-5556,69758,-7%,"-$478,342",,,,,POWI
44,M,2021-02-09 18:24:44,2021-02-05,POWI,Balakrishnan Balu,"Pres, CEO",S - Sale,$85.52,-21578,532828,-4%,"-$1,845,437",,,,,POWI
45,M,2021-02-09 18:21:53,2021-02-05,POWI,Bailey Doug,VP Marketing,S - Sale,$85.73,-3213,125967,-2%,"-$275,444",,,,,POWI
46,,2021-02-05 18:27:41,2021-02-03,POWI,Sutherland Ben,VP of Sales,S - Sale,$86.25,-1579,60589,-3%,"-$136,195",,,,,POWI
47,,2021-02-05 18:27:26,2021-02-03,POWI,Bailey Doug,VP Marketing,S - Sale,$81.75,-1477,122850,-1%,"-$120,745",,,,,POWI
48,,2021-02-05 18:27:12,2021-02-03,POWI,Matthews David Mh,VP of Product Development,S - Sale,$81.61,-1649,111378,-1%,"-$134,567",,,,,POWI
49,,2021-02-05 18:26:58,2021-02-03,POWI,Nayyar Sandeep,CFO,S - Sale,$81.86,-2046,79609,-3%,"-$167,478",,,,,POWI
50,,2021-02-05 18:26:44,2021-02-03,POWI,Walker Clifford,VP Corporate Development,S - Sale,$81.49,-1503,128808,-1%,"-$122,487",,,,,POWI
51,,2021-02-05 18:26:32,2021-02-03,POWI,Balakrishnan Balu,"Pres, CEO",S - Sale,$81.26,-13017,522294,-2%,"-$1,057,797",,,,,POWI
52,M,2021-02-05 18:26:11,2021-02-03,POWI,Barsan Radu,"VP of Technology, Engineering",S - Sale,$83.92,-4500,66105,-6%,"-$377,642",,,,,POWI
53,M,2021-02-04 07:01:32,2016-11-04,POWI,Nayyar Sandeep,CFO,S - Sale,$44.14,-41008,81655,-33%,"-$1,810,097",,,,,POWI
54,D,2020-12-03 19:36:38,2020-12-01,POWI,Brathwaite Nicholas,Dir,S - Sale+OE,$72.71,-16000,51726,-24%,"-$1,163,352",,,,,POWI
55,D,2020-11-27 14:33:19,2020-11-24,POWI,Sharp Steven,Dir,S - Sale+OE,$70.49,-28340,33946,-45%,"-$1,997,817",,,,,POWI
56,,2020-11-19 19:10:51,2020-11-19,POWI,Matthews David Mh,VP of Product Development,S - Sale,$68.51,-3764,105322,-3%,"-$257,874",,,,,POWI
57,,2020-11-19 19:04:09,2020-11-17,POWI,Sutherland Ben,VP of Sales,S - Sale,$70.21,-256,54463,0%,"-$17,974",,,,,POWI
58,,2020-11-18 18:48:50,2020-11-16,POWI,Balakrishnan Balu,"Pres, CEO",S - Sale,$70.16,-50000,499266,-9%,"-$3,508,000",,,,,POWI
59,,2020-11-12 16:33:44,2020-11-09,POWI,Nayyar Sandeep,CFO,S - Sale,$69.75,-256,110458,0%,"-$17,856",,,,,POWI
60,,2020-11-09 17:49:54,2020-11-05,POWI,Bailey Doug,VP Marketing,S - Sale,$64.91,-256,118722,0%,"-$16,616",,,,,POWI
61,,2020-11-09 17:49:32,2020-11-05,POWI,Balakrishnan Balu,"Pres, CEO",S - Sale,$65.26,-50000,549266,-8%,"-$3,263,000",,,,,POWI
