,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-12-07 17:57:08,2021-12-06,PSMT,Price Robert E,"Dir, 10%",S - Sale,$74.18,-20000,2275299,-1%,"-$1,483,645",,,,,PSMT
1,M,2021-12-07 17:55:26,2021-12-06,PSMT,Price Philanthropies Foundation,10%,S - Sale,$74.18,-20000,3625055,-1%,"-$1,483,645",,,,,PSMT
2,M,2021-11-24 18:16:04,2021-11-22,PSMT,Price Robert E,"Dir, 10%",S - Sale,$80.22,-20000,2295299,-1%,"-$1,604,452",,,,,PSMT
3,M,2021-11-24 18:00:53,2021-11-22,PSMT,Price Philanthropies Foundation,10%,S - Sale,$80.22,-20000,3645055,-1%,"-$1,604,454",,,,,PSMT
4,M,2021-11-09 21:35:10,2021-11-08,PSMT,Price Robert E,"Dir, 10%",S - Sale,$75.58,-20000,2315299,-1%,"-$1,511,523",,,,,PSMT
5,M,2021-11-09 21:31:59,2021-11-08,PSMT,Price Philanthropies Foundation,10%,S - Sale,$75.58,-20000,3665055,-1%,"-$1,511,522",,,,,PSMT
6,,2021-11-03 19:28:30,2021-11-01,PSMT,Biehl Juan Ignacio,"EVP, CTO",S - Sale,$72.57,-6895,12931,-35%,"-$500,403",,,,,PSMT
7,M,2021-10-26 18:46:06,2021-10-25,PSMT,Price Robert E,"Dir, 10%",S - Sale,$74.01,-20000,2335299,-1%,"-$1,480,235",,,,,PSMT
8,M,2021-10-26 18:43:10,2021-10-25,PSMT,Price Philanthropies Foundation,10%,S - Sale,$74.01,-20000,3685055,-1%,"-$1,480,233",,,,,PSMT
9,M,2021-10-15 17:59:54,2021-10-14,PSMT,Price Philanthropies Foundation,10%,S - Sale,$77.78,-3967,3705055,0%,"-$308,551",,,,,PSMT
10,M,2021-10-15 17:56:56,2021-10-14,PSMT,Price Robert E,"Dir, 10%",S - Sale,$77.78,-3966,2355299,0%,"-$308,473",,,,,PSMT
11,M,2021-10-13 19:49:07,2021-10-11,PSMT,Price Robert E,"Dir, 10%",S - Sale,$77.66,-16034,2359265,-1%,"-$1,245,204",,,,,PSMT
12,M,2021-10-13 19:46:10,2021-10-11,PSMT,Price Philanthropies Foundation,10%,S - Sale,$77.66,-16033,3709022,0%,"-$1,245,126",,,,,PSMT
13,M,2021-09-28 18:59:41,2021-09-27,PSMT,Price Philanthropies Foundation,10%,S - Sale,$80.82,-20000,3725055,-1%,"-$1,616,318",,,,,PSMT
14,M,2021-09-28 18:56:17,2021-09-27,PSMT,Price Robert E,"Dir, 10%",S - Sale,$80.82,-20000,2375299,-1%,"-$1,616,318",,,,,PSMT
15,M,2021-09-15 18:09:53,2021-09-13,PSMT,Price Robert E,"Dir, 10%",S - Sale,$81.95,-20000,2395299,-1%,"-$1,639,055",,,,,PSMT
