,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-12-17 21:19:28,2021-12-15,RUN,Steele Jeanna,"Chief Legal, People Officer",S - Sale,$33.51,-3020,118859,-2%,"-$101,189",,,,,RUN
1,M,2021-12-17 21:19:06,2021-12-15,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale,$33.50,-1696,23584,-7%,"-$56,808",,,,,RUN
2,M,2021-12-17 21:18:47,2021-12-15,RUN,Fenster Edward Harris,Co-Exec Chair,S - Sale,$33.57,-5953,1570595,0%,"-$199,859",,,,,RUN
3,M,2021-12-17 21:18:29,2021-12-15,RUN,Dawson Christopher,COO,S - Sale,$33.45,-11292,184734,-6%,"-$377,705",,,,,RUN
4,D,2021-11-23 18:58:00,2021-11-19,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale+OE,$52.15,-5564,25280,-18%,"-$290,163",,,,,RUN
5,,2021-11-18 18:01:00,2021-11-16,RUN,Steele Jeanna,GC,S - Sale,$57.52,-1586,103657,-2%,"-$91,227",,,,,RUN
6,,2021-11-17 18:57:36,2021-11-15,RUN,Powell Mary,CEO,S - Sale,$58.62,-5464,98280,-5%,"-$320,300",,,,,RUN
7,D,2021-11-15 20:46:13,2021-11-12,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale+OE,$59.59,-6500,159935,-4%,"-$387,335",,,,,RUN
8,D,2021-11-10 20:10:53,2021-11-08,RUN,Steele Jeanna,GC,S - Sale+OE,$60.29,-5995,105243,-5%,"-$361,439",,,,,RUN
9,,2021-11-10 20:10:32,2021-11-08,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale,$60.01,-5204,25280,-17%,"-$312,283",,,,,RUN
10,,2021-11-08 20:40:28,2021-11-04,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale,$56.88,-6221,161435,-4%,"-$353,856",,,,,RUN
11,D,2021-11-02 21:02:05,2021-11-01,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale+OE,$59.20,-6500,167656,-4%,"-$384,800",,,,,RUN
12,D,2021-11-02 21:01:39,2021-11-01,RUN,Steele Jeanna,GC,S - Sale+OE,$59.08,-2938,105243,-3%,"-$173,577",,,,,RUN
13,D,2021-10-29 18:55:29,2021-10-27,RUN,Steele Jeanna,GC,S - Sale+OE,$56.96,-3082,105243,-3%,"-$175,551",,,,,RUN
14,D,2021-10-15 20:25:57,2021-10-13,RUN,Steele Jeanna,GC,S - Sale+OE,$50.00,-454,105243,0%,"-$22,700",,,,,RUN
15,,2021-09-24 20:40:43,2021-09-23,RUN,Steele Jeanna,GC,S - Sale,$45.33,-2891,105243,-3%,"-$131,049",,,,,RUN
16,,2021-09-24 20:40:25,2021-09-22,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale,$44.41,-1618,30484,-5%,"-$71,849",,,,,RUN
17,,2021-09-24 20:40:04,2021-09-22,RUN,Fenster Edward Harris,Co-Exec Chair,S - Sale,$43.08,-5815,1576548,0%,"-$250,510",,,,,RUN
18,,2021-09-24 20:39:44,2021-09-22,RUN,Dawson Christopher,COO,S - Sale,$43.08,-1378,196026,-1%,"-$59,364",,,,,RUN
19,,2021-09-24 20:39:19,2021-09-22,RUN,Dach Leslie A,Dir,S - Sale,$43.08,-13013,38664,-25%,"-$560,600",,,,,RUN
20,D,2021-09-21 21:10:09,2021-09-20,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale+OE,$43.14,-5059,32102,-14%,"-$218,245",,,,,RUN
21,,2021-09-21 21:09:47,2021-09-20,RUN,Dawson Christopher,COO,S - Sale,$43.02,-7381,197404,-4%,"-$317,519",,,,,RUN
22,M,2021-09-17 20:35:37,2021-09-15,RUN,Steele Jeanna,GC,S - Sale,$43.51,-2954,108134,-3%,"-$128,534",,,,,RUN
23,M,2021-09-17 20:35:05,2021-09-15,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale,$43.49,-1658,32102,-5%,"-$72,099",,,,,RUN
24,M,2021-09-17 20:34:42,2021-09-15,RUN,Fenster Edward Harris,Co-Exec Chair,S - Sale,$43.63,-5866,1582363,0%,"-$255,904",,,,,RUN
25,M,2021-09-17 20:34:19,2021-09-15,RUN,Dawson Christopher,COO,S - Sale,$43.41,-10977,204785,-5%,"-$476,483",,,,,RUN
26,D,2021-09-03 20:00:34,2021-09-01,RUN,Fenster Edward Harris,Co-Exec Chair,S - Sale+OE,$46.94,-81142,1588229,-5%,"-$3,808,805",,,,,RUN
27,,2021-08-26 20:00:52,2021-08-24,RUN,Dach Leslie A,Dir,S - Sale,$44.63,-10000,51677,-16%,"-$446,300",,,,,RUN
28,,2021-08-06 16:59:45,2021-08-04,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale,$52.96,-6140,169156,-4%,"-$325,194",,,,,RUN
29,D,2021-07-22 20:37:32,2021-07-20,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale+OE,$47.33,-18632,33760,-36%,"-$881,887",,,,,RUN
30,D,2021-06-30 20:45:45,2021-06-29,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale+OE,$59.47,-10054,175296,-5%,"-$597,912",,,,,RUN
31,DM,2021-06-30 20:45:30,2021-06-28,RUN,Steele Jeanna,GC,S - Sale+OE,$57.99,-6020,113364,-5%,"-$349,126",,,,,RUN
32,D,2021-06-25 20:15:59,2021-06-23,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale+OE,$54.69,-10054,177850,-5%,"-$549,853",,,,,RUN
33,M,2021-06-22 21:15:36,2021-06-18,RUN,Dawson Christopher,COO,S - Sale,$50.61,-8612,215762,-4%,"-$435,874",,,,,RUN
34,,2021-06-22 21:15:15,2021-06-22,RUN,Fenster Edward Harris,COB,S - Sale,$49.18,-5886,1588229,0%,"-$289,473",,,,,RUN
35,D,2021-06-22 21:14:50,2021-06-21,RUN,Steele Jeanna,GC,S - Sale+OE,$51.50,-3334,113364,-3%,"-$171,701",,,,,RUN
36,D,2021-06-22 21:14:06,2021-06-17,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale+OE,$49.69,-7554,180404,-4%,"-$375,358",,,,,RUN
37,,2021-06-21 19:45:02,2021-06-16,RUN,Dach Leslie A,Dir,S - Sale,$44.57,-10927,61677,-15%,"-$487,016",,,,,RUN
38,M,2021-06-17 20:39:20,2021-06-15,RUN,Steele Jeanna,GC,S - Sale,$45.60,-2965,113885,-3%,"-$135,199",,,,,RUN
39,M,2021-06-17 20:39:01,2021-06-15,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale,$45.43,-1163,35872,-3%,"-$52,831",,,,,RUN
40,M,2021-06-17 20:38:11,2021-06-15,RUN,Jurich Lynn Michelle,CEO,S - Sale,$47.09,-8519,3019038,0%,"-$401,148",,,,,RUN
41,M,2021-06-17 20:36:16,2021-06-15,RUN,Fenster Edward Harris,COB,S - Sale,$46.81,-5793,1594115,0%,"-$271,182",,,,,RUN
42,M,2021-06-17 20:35:31,2021-06-15,RUN,Dawson Christopher,COO,S - Sale,$44.58,-11162,224374,-5%,"-$497,634",,,,,RUN
43,D,2021-06-11 20:09:26,2021-06-09,RUN,Fenster Edward Harris,COB,S - Sale+OE,$45.71,-27046,1599908,-2%,"-$1,236,273",,,,,RUN
44,D,2021-06-03 20:48:45,2021-06-01,RUN,Fenster Edward Harris,COB,S - Sale+OE,$44.38,-54092,1599908,-3%,"-$2,400,549",,,,,RUN
45,D,2021-05-21 20:45:46,2021-05-20,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale+OE,$44.88,-7554,182958,-4%,"-$338,991",,,,,RUN
46,,2021-05-21 20:45:29,2021-05-20,RUN,Steele Jeanna,GC,S - Sale,$45.00,-299,115074,0%,"-$13,455",,,,,RUN
47,,2021-05-06 20:15:35,2021-05-04,RUN,Vonreichbauer Thomas Arthur,CFO,S - Sale,$44.30,-23415,185512,-11%,"-$1,037,369",,,,,RUN
48,D,2021-04-12 20:45:36,2021-04-09,RUN,Dach Leslie A,Dir,S - Sale+OE,$52.13,-25000,92734,-21%,"-$1,303,128",,,,,RUN
49,,2021-04-09 20:26:03,2021-04-08,RUN,Bywater David,Dir,S - Sale,$54.37,-85258,220461,-28%,"-$4,635,179",,,,,RUN
50,,2021-04-02 20:04:12,2021-04-01,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale,$62.42,-2626,35831,-7%,"-$163,915",,,,,RUN
51,D,2021-03-24 20:45:41,2021-03-22,RUN,Philpot Michelle,Chief Accounting Officer,S - Sale+OE,$56.96,-8207,38457,-18%,"-$467,471",,,,,RUN
52,,2021-03-24 20:45:23,2021-03-22,RUN,Fenster Edward Harris,COB,S - Sale,$56.86,-21424,1579908,-1%,"-$1,218,190",,,,,RUN
53,DM,2021-03-23 20:37:27,2021-03-19,RUN,Steele Jeanna,GC,S - Sale+OE,$55.92,-25160,113597,-18%,"-$1,406,979",,,,,RUN
