,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-09-21 19:48:46,2021-09-17,RVMD,Anders Jack,See Remarks,S - Sale,$30.02,-166,8192,-2%,"-$4,983",,,,,RVMD
1,,2021-09-21 19:48:11,2021-09-17,RVMD,Kelsey Stephen Michael,See Remarks,S - Sale,$30.02,-335,252158,0%,"-$10,057",,,,,RVMD
2,,2021-09-21 19:47:40,2021-09-17,RVMD,Wang Xiaolin,See Remarks,S - Sale,$30.02,-250,12195,-2%,"-$7,505",,,,,RVMD
3,,2021-09-21 19:47:08,2021-09-17,RVMD,Goldsmith Mark A,See Remarks,S - Sale,$30.02,-1531,387042,0%,"-$45,961",,,,,RVMD
4,,2021-09-21 19:46:31,2021-09-17,RVMD,Horn Margaret A,See Remarks,S - Sale,$30.02,-479,79301,-1%,"-$14,380",,,,,RVMD
5,,2021-06-22 17:19:41,2021-06-17,RVMD,Wang Xiaolin,See Remarks,S - Sale,$34.12,-243,12445,-2%,"-$8,291",,,,,RVMD
6,,2021-06-22 17:18:51,2021-06-17,RVMD,Kelsey Stephen Michael,See Remarks,S - Sale,$34.12,-324,252493,0%,"-$11,056",,,,,RVMD
7,,2021-06-22 17:18:19,2021-06-17,RVMD,Horn Margaret A,See Remarks,S - Sale,$34.13,-464,79780,-1%,"-$15,835",,,,,RVMD
8,,2021-06-22 17:17:56,2021-06-17,RVMD,Goldsmith Mark A,See Remarks,S - Sale,$34.12,-1485,388573,0%,"-$50,670",,,,,RVMD
9,,2021-06-22 17:16:50,2021-06-17,RVMD,Anders Jack,See Remarks,S - Sale,$34.12,-160,8358,-2%,"-$5,460",,,,,RVMD
10,M,2021-06-07 18:11:42,2021-06-03,RVMD,Exter Neil,Dir,S - Sale,$0.00,-0,39996,0%,-$0,,,,,RVMD
11,M,2021-06-07 18:10:38,2021-06-03,RVMD,"Third Rock Ventures Ii, L.P.",10%,S - Sale,$30.21,-543113,5911804,-8%,"-$16,406,962",,,,,RVMD
