,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-15 19:48:29,2021-12-15,SMTC,Silberstein Asaf,EVP,S - Sale,$88.00,-1000,52173,-2%,"-$88,000",,,,,SMTC
1,,2021-12-08 18:59:49,2021-12-08,SMTC,Maheswaran Mohan,"Pres, CEO",S - Sale,$90.35,-10000,169210,-6%,"-$903,450",,,,,SMTC
2,,2021-12-08 17:04:40,2021-12-07,SMTC,Maheswaran Mohan,"Pres, CEO",S - Sale,$89.20,-30000,179210,-14%,"-$2,675,940",,,,,SMTC
3,,2021-12-07 16:17:54,2021-12-06,SMTC,Powell Norris B,"SVP, CHRO",S - Sale,$86.16,-4291,0,-100%,"-$369,706",,,,,SMTC
4,,2021-10-13 19:52:27,2021-10-13,SMTC,Fulton Alisair,"VP, GM",S - Sale,$75.61,-1350,10210,-12%,"-$102,078",,,,,SMTC
5,,2021-10-12 16:39:52,2021-10-08,SMTC,Chukwu Emeka,"EVP, CFO",S - Sale,$78.53,-890,99689,-1%,"-$69,892",,,,,SMTC
6,,2021-09-27 20:03:42,2021-09-24,SMTC,Silberstein Asaf,EVP,S - Sale,$82.50,-1000,53173,-2%,"-$82,500",,,,,SMTC
7,D,2021-09-14 19:40:29,2021-09-14,SMTC,Li Ye Jane,Dir,S - Sale+OE,$76.35,-6749,6570,-51%,"-$515,276",,,,,SMTC
8,D,2021-09-13 16:50:43,2021-09-10,SMTC,Li Ye Jane,Dir,S - Sale+OE,$76.00,-100,6570,-1%,"-$7,600",,,,,SMTC
9,,2021-09-09 16:51:03,2021-09-08,SMTC,Ammann Charles B.,EVP,S - Sale,$75.76,-8958,0,-100%,"-$678,687",,,,,SMTC
10,,2021-09-08 17:06:37,2021-09-07,SMTC,Rodensky Michael W,VP,S - Sale,$77.63,-2779,5585,-33%,"-$215,731",,,,,SMTC
11,D,2021-07-19 19:58:49,2021-07-16,SMTC,Maheswaran Mohan,"Pres, CEO",S - Sale+OE,$62.19,-20000,209210,-9%,"-$1,243,838",,,,,SMTC
12,D,2021-07-16 19:45:56,2021-07-15,SMTC,Maheswaran Mohan,"Pres, CEO",S - Sale+OE,$62.73,-20000,209210,-9%,"-$1,254,656",,,,,SMTC
13,D,2021-07-16 18:36:52,2021-07-14,SMTC,Maheswaran Mohan,"Pres, CEO",S - Sale+OE,$64.94,-30000,209210,-13%,"-$1,948,246",,,,,SMTC
14,D,2021-07-14 20:55:33,2021-07-13,SMTC,Maheswaran Mohan,"Pres, CEO",S - Sale+OE,$65.18,-20000,209210,-9%,"-$1,303,602",,,,,SMTC
15,,2021-07-02 19:01:32,2021-07-02,SMTC,Rodensky Michael W,VP,S - Sale,$68.72,-1000,6239,-14%,"-$68,721",,,,,SMTC
