,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-22 16:11:00,2021-11-19,TREE,Shumate Carla,Chief Accounting Officer,P - Purchase,$137.12,+36,3533,+1%,"+$4,936",,,,,TREE
1,,2021-11-04 17:19:30,2021-11-02,TREE,Salvage Neil,"Pres, LT Marketplace",S - Sale,$148.00,-4153,2025,-67%,"-$614,644",,,,,TREE
2,,2021-08-31 18:46:08,2021-08-27,TREE,Henderson Robin,Dir,S - Sale,$170.00,-735,469,-61%,"-$124,950",,,,,TREE
3,,2021-08-13 16:12:33,2021-08-12,TREE,Salvage Neil,"Pres, LT Marketplace",S - Sale,$175.00,-1450,2025,-42%,"-$253,750",,,,,TREE
4,,2021-08-11 17:29:08,2021-08-09,TREE,Salvage Neil,"Pres, LT Marketplace",S - Sale,$185.47,-2000,3475,-37%,"-$370,940",,,,,TREE
5,D,2021-04-07 17:36:56,2021-04-05,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$218.78,-67277,1761488,-4%,"-$14,718,862",,,,,TREE
6,,2021-03-09 20:22:00,2021-03-05,TREE,Salvage Neil,Pres,S - Sale,$239.00,-1100,5004,-18%,"-$262,900",,,,,TREE
7,M,2021-03-02 19:54:04,2021-02-26,TREE,Thompson G Kennedy,Dir,P - Purchase,$275.04,"+5,000",15845,+46%,"+$1,375,200",,,,,TREE
8,,2021-03-02 17:15:10,2021-03-01,TREE,Henderson Robin,Dir,S - Sale,$278.14,-1075,805,-57%,"-$299,004",,,,,TREE
9,D,2020-11-18 19:01:31,2020-11-16,TREE,"Gci Liberty, Inc.","Dir, 10%",S - Sale+OE,$292.46,-3443989,0,-100%,"-$1,007,229,023",,,,,TREE
10,,2020-08-07 14:43:56,2020-08-05,TREE,Olmstead Jill,CHRO,S - Sale,$335.32,-1400,109,-93%,"-$469,448",,,,,TREE
11,AD,2020-08-03 15:23:55,2020-07-31,TREE,Sharma Sushil,Chief Product Officer,S - Sale+OE,$353.09,-2128,0,-100%,"-$751,381",,,,,TREE
12,D,2020-07-21 15:32:13,2020-07-17,TREE,Salvage Neil,Pres,S - Sale+OE,$325.00,-24910,2025,-92%,"-$8,095,750",,,,,TREE
13,D,2020-06-17 16:37:38,2020-06-15,TREE,Salvage Neil,Pres,S - Sale+OE,$268.55,-18857,2025,-90%,"-$5,064,038",,,,,TREE
14,D,2020-06-01 18:32:34,2020-05-28,TREE,Decristo Valentyna S.,"SVP, Co-GC",S - Sale+OE,$268.97,-104,0,-100%,"-$27,973",,,,,TREE
15,A,2020-05-15 19:35:35,2020-05-08,TREE,Salvage Neil,Pres,S - Sale,$241.23,-3593,5523,-39%,"-$866,751",,,,,TREE
16,,2020-05-12 17:27:30,2020-05-08,TREE,Salvage Neil,Pres,S - Sale,$241.23,-3593,5523,-39%,"-$866,739",,,,,TREE
17,M,2019-11-13 17:51:08,2019-11-05,TREE,Horan Peter,Dir,S - Sale,$371.77,-800,18423,-4%,"-$297,412",,,,,TREE
18,,2019-11-06 17:13:44,2019-11-04,TREE,Horan Peter,Dir,S - Sale,$386.48,-300,19223,-2%,"-$115,943",,,,,TREE
19,,2019-11-05 15:32:03,2019-11-01,TREE,Ozonian Steven,Dir,S - Sale,$362.74,-975,3377,-22%,"-$353,675",,,,,TREE
20,D,2019-08-13 16:23:08,2019-08-09,TREE,Sharma Sushil,Chief Product Officer,S - Sale+OE,$317.03,-2128,5969,-26%,"-$674,640",,,,,TREE
21,,2019-08-12 09:55:44,2019-08-07,TREE,Horan Peter,Dir,S - Sale,$312.65,-1000,19523,-5%,"-$312,654",,,,,TREE
22,,2019-07-11 18:04:15,2019-07-09,TREE,Salvage Neil,Pres,S - Sale,$425.00,-3483,5618,-38%,"-$1,480,275",,,,,TREE
23,AD,2019-07-09 10:26:54,2019-07-05,TREE,Salvage Neil,Pres,S - Sale+OE,$410.87,-20405,9101,-69%,"-$8,383,705",,,,,TREE
24,D,2019-07-08 18:48:31,2019-07-05,TREE,Salvage Neil,Pres,S - Sale+OE,$435.37,-20405,9101,-69%,"-$8,883,705",,,,,TREE
25,DM,2019-06-07 16:07:38,2019-06-05,TREE,Moriarty J D,CFO,S - Sale+OE,$390.23,-8899,0,-100%,"-$3,472,693",,,,,TREE
26,DM,2019-05-30 17:54:03,2019-05-28,TREE,Salvage Neil,Pres,S - Sale+OE,$374.33,-9468,9101,-51%,"-$3,544,172",,,,,TREE
27,D,2019-05-20 16:34:53,2019-05-16,TREE,Salvage Neil,Pres,S - Sale+OE,$393.00,-1370,9301,-13%,"-$538,410",,,,,TREE
28,,2019-05-02 18:23:59,2019-04-30,TREE,Thompson G Kennedy,Dir,S - Sale,$385.25,-1500,10724,-12%,"-$577,875",,,,,TREE
29,,2019-05-02 18:23:28,2019-05-01,TREE,Dalporto Gabriel,Dir,S - Sale,$386.34,-637,187,-77%,"-$246,099",,,,,TREE
30,,2019-05-01 18:55:21,2019-04-29,TREE,Ozonian Steven,Dir,S - Sale,$373.06,-1650,3844,-30%,"-$615,543",,,,,TREE
31,D,2019-04-02 11:38:45,2019-03-29,TREE,Shumate Carla,Chief Accounting Officer,S - Sale+OE,$350.00,-17505,2657,-87%,"-$6,126,750",,,,,TREE
32,D,2019-03-20 17:14:36,2019-03-18,TREE,Shumate Carla,Chief Accounting Officer,S - Sale+OE,$350.00,-2495,2657,-48%,"-$873,250",,,,,TREE
33,D,2019-03-05 14:12:23,2019-03-01,TREE,Salvage Neil,Pres,S - Sale+OE,$326.11,-1305,5825,-18%,"-$425,574",,,,,TREE
34,,2019-03-01 16:06:49,2019-02-27,TREE,Horan Peter,Dir,S - Sale,$303.49,-4000,20015,-17%,"-$1,213,960",,,,,TREE
35,,2019-03-01 16:04:44,2019-02-27,TREE,Ozonian Steven,Dir,S - Sale,$314.98,-975,5494,-15%,"-$307,103",,,,,TREE
36,D,2019-03-01 16:03:25,2019-02-27,TREE,Salvage Neil,Pres,S - Sale+OE,$320.00,-5000,5825,-46%,"-$1,600,000",,,,,TREE
37,D,2018-12-10 13:26:39,2018-12-06,TREE,Dalporto Gabriel,Dir,S - Sale+OE,$241.24,-8000,806,-91%,"-$1,929,950",,,,,TREE
38,,2018-11-05 16:37:19,2018-11-02,TREE,Ozonian Steven,Dir,S - Sale,$247.83,-975,6469,-13%,"-$241,632",,,,,TREE
39,,2018-08-09 15:53:23,2018-08-07,TREE,Horan Peter,Dir,S - Sale,$244.51,-1000,24015,-4%,"-$244,510",,,,,TREE
40,M,2018-08-06 10:35:47,2018-07-30,TREE,Ozonian Steven,Dir,S - Sale,$235.88,-1250,7444,-14%,"-$294,844",,,,,TREE
41,D,2018-07-19 09:29:46,2018-07-17,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$239.37,-14750,1569663,-1%,"-$3,530,656",,,,,TREE
42,D,2018-07-16 10:19:21,2018-07-12,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$243.99,-14750,1569663,-1%,"-$3,598,914",,,,,TREE
43,D,2018-07-12 16:36:37,2018-07-10,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$223.02,-14750,1569663,-1%,"-$3,289,507",,,,,TREE
44,,2018-07-10 16:28:51,2018-07-06,TREE,"Gci Liberty, Inc.","Dir, 10%",P - Purchase,$213.99,"+220,000",3443989,+7%,"+$47,078,526",,,,,TREE
45,D,2018-07-09 11:12:19,2018-07-05,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$216.77,-14750,1569663,-1%,"-$3,197,341",,,,,TREE
46,D,2018-07-05 16:34:00,2018-07-03,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$216.09,-14750,1569663,-1%,"-$3,187,354",,,,,TREE
47,D,2018-07-02 14:50:03,2018-06-28,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$209.83,-14750,1569663,-1%,"-$3,094,974",,,,,TREE
48,D,2018-06-28 10:13:22,2018-06-26,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$227.09,-14750,1569663,-1%,"-$3,349,541",,,,,TREE
49,D,2018-06-25 07:46:19,2018-06-21,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$259.69,-14750,1569663,-1%,"-$3,830,443",,,,,TREE
50,D,2018-06-21 09:49:50,2018-06-19,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$251.97,-14750,1569663,-1%,"-$3,716,567",,,,,TREE
51,D,2018-06-18 09:34:00,2018-06-14,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$248.40,-14750,1569663,-1%,"-$3,663,951",,,,,TREE
52,D,2018-06-14 10:04:13,2018-06-12,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$279.31,-14750,1569663,-1%,"-$4,119,749",,,,,TREE
53,D,2018-06-12 07:01:12,2018-06-07,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$273.48,-14750,1569663,-1%,"-$4,033,880",,,,,TREE
54,D,2018-06-11 08:11:16,2018-06-07,TREE,Henderson Robin,Dir,S - Sale+OE,$269.00,-270,735,-27%,"-$72,630",,,,,TREE
55,D,2018-06-07 10:57:06,2018-06-05,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$261.54,-14750,1569663,-1%,"-$3,857,758",,,,,TREE
56,D,2018-06-04 15:40:10,2018-05-31,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$260.43,-14750,1569663,-1%,"-$3,841,388",,,,,TREE
57,D,2018-05-31 09:56:39,2018-05-29,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$258.88,-14750,1569663,-1%,"-$3,818,449",,,,,TREE
58,D,2018-05-29 09:23:43,2018-05-24,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$264.63,-14750,1569663,-1%,"-$3,903,277",,,,,TREE
59,D,2018-05-24 11:13:10,2018-05-22,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$267.05,-14660,1569663,-1%,"-$3,914,879",,,,,TREE
60,D,2018-05-21 09:55:26,2018-05-17,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$273.55,-14750,1569663,-1%,"-$4,034,858",,,,,TREE
61,D,2018-05-17 13:21:36,2018-05-15,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$273.75,-14750,1569663,-1%,"-$4,037,845",,,,,TREE
62,D,2018-05-14 19:23:12,2018-05-10,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$285.89,-14750,1569663,-1%,"-$4,216,895",,,,,TREE
63,AD,2018-05-14 19:21:00,2018-05-08,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$277.05,-14750,1569663,-1%,"-$4,086,502",,,,,TREE
64,AD,2018-05-14 18:38:34,2018-05-03,TREE,Lebda Douglas R,"COB, CEO, 10%",S - Sale+OE,$255.61,-14750,1569663,-1%,"-$3,770,283",,,,,TREE
