,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-22 16:46:24,2021-11-18,TTGT,Marino Roger M,Dir,S - Sale,$108.21,-15000,1254918,-1%,"-$1,623,150",,,,,TTGT
1,M,2021-11-17 16:05:27,2021-11-15,TTGT,Marino Roger M,Dir,S - Sale,$108.47,-68795,1269918,-5%,"-$7,462,268",,,,,TTGT
2,,2021-11-16 16:05:19,2021-11-12,TTGT,Strakosch Greg,Exec COB,S - Sale,$107.00,-10000,167759,-6%,"-$1,070,000",,,,,TTGT
3,M,2021-11-09 16:05:23,2021-11-05,TTGT,Cotoia Michael,CEO,S - Sale,$101.28,-50250,9745,-84%,"-$5,089,399",,,,,TTGT
4,,2021-10-28 16:05:13,2021-10-26,TTGT,Marino Roger M,Dir,S - Sale,$90.00,-20000,1338713,-1%,"-$1,800,000",,,,,TTGT
5,M,2021-10-20 16:05:16,2021-10-18,TTGT,Marino Roger M,Dir,S - Sale,$88.29,-40000,1358713,-3%,"-$3,531,405",,,,,TTGT
6,,2021-10-12 16:05:14,2021-10-08,TTGT,Cotoia Michael,CEO,S - Sale,$83.79,-5000,59995,-8%,"-$418,950",,,,,TTGT
7,,2021-10-05 16:05:15,2021-10-01,TTGT,Hawk Don,Exec Dir,S - Sale,$82.53,-10000,89369,-10%,"-$825,300",,,,,TTGT
8,M,2021-09-27 16:05:21,2021-09-23,TTGT,Marino Roger M,Dir,S - Sale,$90.16,-20000,1398713,-1%,"-$1,803,141",,,,,TTGT
9,,2021-09-22 16:05:15,2021-09-20,TTGT,Marino Roger M,Dir,S - Sale,$83.68,-40000,1418713,-3%,"-$3,347,200",,,,,TTGT
10,,2021-09-14 16:05:26,2021-09-10,TTGT,Cotoia Michael,CEO,S - Sale,$86.40,-5000,64995,-7%,"-$432,000",,,,,TTGT
11,,2021-09-07 16:12:40,2021-09-03,TTGT,Hawk Don,Exec Dir,S - Sale,$89.21,-10000,99369,-9%,"-$892,100",,,,,TTGT
12,,2021-09-07 16:09:14,2021-09-03,TTGT,Noreck Daniel T,CFO,S - Sale,$90.00,-5000,9401,-35%,"-$450,000",,,,,TTGT
13,M,2021-09-03 16:05:41,2021-09-01,TTGT,Cotoia Michael,CEO,S - Sale,$85.56,-55005,69995,-44%,"-$4,706,309",,,,,TTGT
14,,2021-09-03 16:05:33,2021-09-01,TTGT,Hawk Don,Exec Dir,S - Sale,$84.76,-8000,109369,-7%,"-$678,080",,,,,TTGT
15,,2021-08-31 16:12:15,2021-08-27,TTGT,Marino Roger M,Dir,S - Sale,$80.03,-20000,1458713,-1%,"-$1,600,600",,,,,TTGT
16,,2021-08-27 16:05:47,2021-08-26,TTGT,Noreck Daniel T,CFO,S - Sale,$76.15,-2215,14401,-13%,"-$168,672",,,,,TTGT
17,M,2021-08-27 16:05:36,2021-08-25,TTGT,Hawk Don,Exec Dir,S - Sale,$76.52,-8055,117369,-6%,"-$616,348",,,,,TTGT
18,M,2021-08-23 16:20:24,2021-08-19,TTGT,Strakosch Greg,Exec COB,S - Sale,$72.70,-13600,182759,-7%,"-$988,720",,,,,TTGT
19,,2021-08-23 16:17:10,2021-08-20,TTGT,Noreck Daniel T,CFO,S - Sale,$72.47,-3225,16616,-16%,"-$233,716",,,,,TTGT
20,,2021-08-18 16:10:24,2021-08-16,TTGT,Marino Roger M,Dir,S - Sale,$77.08,-20000,1478713,-1%,"-$1,541,600",,,,,TTGT
21,M,2021-07-21 16:27:31,2021-07-19,TTGT,Marino Roger M,Dir,S - Sale,$70.78,-20000,1498602,-1%,"-$1,415,694",,,,,TTGT
22,,2021-07-02 16:05:39,2021-06-30,TTGT,Marino Roger M,Dir,S - Sale,$80.00,-10900,1518602,-1%,"-$872,000",,,,,TTGT
23,,2021-06-30 16:11:54,2021-06-28,TTGT,Noreck Daniel T,CFO,S - Sale,$80.00,-2000,7841,-20%,"-$160,000",,,,,TTGT
24,,2021-06-23 16:05:09,2021-06-21,TTGT,Marino Roger M,Dir,S - Sale,$70.54,-20000,1534807,-1%,"-$1,410,800",,,,,TTGT
25,M,2021-05-26 16:43:47,2021-05-24,TTGT,Levenson Bruce,Dir,S - Sale,$72.15,-7938,799833,-1%,"-$572,741",,,,,TTGT
26,,2021-05-24 16:29:30,2021-05-20,TTGT,Marino Roger M,Dir,S - Sale,$70.06,-14255,1552307,-1%,"-$998,705",,,,,TTGT
27,A,2021-05-19 17:03:48,2021-04-19,TTGT,Marino Roger M,Dir,S - Sale,$73.49,-20000,1572307,-1%,"-$1,469,800",,,,,TTGT
28,M,2021-05-19 16:56:38,2021-05-17,TTGT,Marino Roger M,Dir,S - Sale,$70.21,-5745,1566562,0%,"-$403,343",,,,,TTGT
29,M,2021-04-28 17:14:28,2021-04-26,TTGT,Hawk Don,Exec Dir,S - Sale,$76.89,-16823,85424,-16%,"-$1,293,548",,,,,TTGT
30,M,2021-04-26 16:17:35,2021-04-22,TTGT,Hawk Don,Exec Dir,S - Sale,$76.32,-6418,102247,-6%,"-$489,830",,,,,TTGT
