,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-03 18:11:09,2021-11-02,UMPQ,Nixon Torran B,Umpqua Bank Pres,S - Sale,$21.01,-5000,186588,-3%,"-$105,050",,,,,UMPQ
1,,2021-07-23 15:54:34,2021-07-23,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$18.36,-563,109875,-1%,"-$10,337",,,,,UMPQ
2,,2021-04-22 12:18:10,2019-03-22,UMPQ,Machuca Luis,Dir,P - Purchase,$16.19,175,78455,0%,"+$2,832",,,,,UMPQ
3,,2021-03-03 14:43:55,2021-03-03,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$17.80,-742,90787,-1%,"-$13,208",,,,,UMPQ
4,,2021-02-05 16:55:21,2021-02-05,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$16.07,-463,92955,0%,"-$7,440",,,,,UMPQ
5,,2021-02-04 17:32:24,2021-02-04,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$15.44,-1557,94546,-2%,"-$24,040",,,,,UMPQ
6,,2021-02-03 16:48:04,2021-02-03,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$15.24,-379,99431,0%,"-$5,776",,,,,UMPQ
7,,2021-02-03 15:09:59,2021-02-01,UMPQ,Farnsworth Ron L,"EVP, CFO",S - Sale,$14.69,-13100,216080,-6%,"-$192,423",,,,,UMPQ
8,,2021-02-03 14:50:21,2021-02-01,UMPQ,O'Haver Cort L,"Pres, CEO",S - Sale,$14.69,-5750,482322,-1%,"-$84,468",,,,,UMPQ
9,,2020-02-26 17:10:24,2020-02-26,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$16.77,-1036,76862,-1%,"-$17,374",,,,,UMPQ
10,M,2020-02-05 17:32:47,2020-02-04,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$17.49,-1949,79756,-2%,"-$34,098",,,,,UMPQ
11,,2020-02-04 19:17:57,2020-02-03,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$17.02,-415,84410,0%,"-$7,063",,,,,UMPQ
12,,2020-02-03 15:41:28,2020-01-30,UMPQ,Farnsworth Ron L,"EVP, CFO",S - Sale,$16.93,-10500,204622,-5%,"-$177,765",,,,,UMPQ
13,,2019-11-13 15:53:42,2019-11-08,UMPQ,Stevens Susan F.,Dir,S - Sale,$16.69,-12000,36327,-25%,"-$200,232",,,,,UMPQ
14,,2019-09-05 11:32:55,2019-09-04,UMPQ,Nixon Torran B,"Sr. EVP, Chief Banking Officer",S - Sale,$15.31,-5303,103936,-5%,"-$81,191",,,,,UMPQ
15,,2019-07-24 13:15:34,2019-07-23,UMPQ,Machuca Luis,Dir,S - Sale,$16.77,-10000,57338,-15%,"-$167,700",,,,,UMPQ
16,,2019-07-24 11:41:17,2019-07-22,UMPQ,Shotwell David F,"EVP, Chief Risk Officer",S - Sale,$16.73,-7220,86748,-8%,"-$120,791",,,,,UMPQ
17,,2019-02-04 17:14:12,2019-01-31,UMPQ,Farnsworth Ron L,"EVP, CFO",S - Sale,$17.62,-9500,195642,-5%,"-$167,414",,,,,UMPQ
18,,2018-02-02 13:30:28,2018-02-01,UMPQ,Farnsworth Ron L,"EVP, CFO",S - Sale,$21.45,-5795,189631,-3%,"-$124,297",,,,,UMPQ
