,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-06 16:21:11,2021-12-03,VERX,Stamm John Richard,Dir,S - Sale,$16.88,-12000,31028,-28%,"-$202,560",,,,,VERX
1,,2021-11-19 16:21:20,2021-11-18,VERX,Rowland Bryan T.R.,GC,S - Sale,$20.47,-20602,49690,-29%,"-$421,785",,,,,VERX
2,,2021-08-25 16:30:35,2021-08-19,VERX,Stamm John Richard,Dir,S - Sale,$19.17,-8678,43028,-17%,"-$166,392",,,,,VERX
3,,2021-06-17 16:31:39,2021-06-15,VERX,Stamm John Richard,Dir,S - Sale,$18.98,-16000,51706,-24%,"-$303,728",,,,,VERX
4,D,2021-06-15 16:41:23,2020-07-31,VERX,Butler Lisa,Chief Accounting Officer,P - Purchase,$19.00,"+2,894",96239,+3%,"+$54,986",,,,,VERX
5,D,2021-06-15 16:41:23,2021-06-09,VERX,Butler Lisa,Chief Accounting Officer,S - Sale+OE,$18.82,-84000,96239,-47%,"-$1,580,796",,,,,VERX
6,,2021-06-09 19:16:51,2021-06-07,VERX,Andersen Eric C.,Dir,S - Sale,$18.35,-21317,88494,-19%,"-$391,094",,,,,VERX
7,,2021-05-13 17:43:06,2020-07-31,VERX,Robert Kevin L,Dir,P - Purchase,$19.00,"+7,895",28232,+39%,"+$150,005",,,,,VERX
8,,2021-05-13 17:41:56,2020-07-31,VERX,Radcliffe Amanda Westphal,Dir,P - Purchase,$19.00,"+84,210",100599,+514%,"+$1,599,990",,,,,VERX
9,D,2020-07-31 17:35:50,2020-07-31,VERX,Destefano David,"Pres, CEO",S - Sale+OE,$17.77,-160922,275527,-37%,"-$2,858,779",,,,,VERX
10,D,2020-07-31 17:35:21,2020-07-31,VERX,Kyle Terrence,Dir,S - Sale+OE,$17.77,-56108,47517,-54%,"-$996,759",,,,,VERX
