,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,A,2021-09-14 12:01:25,2021-09-02,WWD,Voskuil Terence J.,"Pres, ATS",S - Sale,$122.04,-2100,0,-100%,"-$256,290",,,,,WWD
1,D,2021-09-07 12:19:59,2021-09-02,WWD,Voskuil Terence J.,"Pres, ATS",S - Sale+OE,$22.04,-2100,4274,-33%,"-$46,290",,,,,WWD
2,D,2021-08-31 16:11:54,2021-08-30,WWD,Fawzy Christopher,"VP, GC, Corp Sec",S - Sale+OE,$122.46,-6000,6439,-48%,"-$734,774",,,,,WWD
3,D,2021-08-27 16:11:41,2021-08-25,WWD,Fawzy Christopher,"VP, GC, Corp Sec",S - Sale+OE,$122.43,-8100,6439,-56%,"-$991,683",,,,,WWD
4,D,2021-08-13 16:28:38,2021-08-12,WWD,Petrovich Mary L,Dir,S - Sale+OE,$117.84,-6700,8098,-45%,"-$789,509",,,,,WWD
5,,2021-08-04 16:03:43,2021-08-04,WWD,Hess David P,Dir,P - Purchase,$113.77,"+4,400",4400,New,"+$500,588",,,,,WWD
6,D,2021-07-19 16:56:03,2021-07-15,WWD,Gendron Thomas A,"Pres, CEO",S - Sale+OE,$119.33,-1389,273491,-1%,"-$165,749",,,,,WWD
7,D,2021-06-17 15:34:59,2021-06-15,WWD,Gendron Thomas A,"Pres, CEO",S - Sale+OE,$121.48,-8233,271534,-3%,"-$1,000,145",,,,,WWD
8,D,2021-06-03 13:25:51,2021-06-01,WWD,Donovan Paul,Dir,S - Sale+OE,$129.00,-1000,1231,-45%,"-$129,000",,,,,WWD
9,DM,2021-06-01 18:00:47,2021-05-27,WWD,Fawzy Christopher,"VP, GC, Corp Sec",S - Sale+OE,$128.00,-9000,6436,-58%,"-$1,152,000",,,,,WWD
10,D,2021-05-11 18:35:05,2021-05-10,WWD,Donovan Paul,Dir,S - Sale+OE,$130.05,-5383,1231,-81%,"-$700,052",,,,,WWD
11,D,2021-05-10 16:49:13,2021-05-06,WWD,Fawzy Christopher,"VP, GC, Corp Sec",S - Sale+OE,$126.01,-3000,6436,-32%,"-$378,036",,,,,WWD
12,D,2021-03-03 13:00:02,2021-03-01,WWD,Gendron Thomas A,"Pres, CEO",S - Sale+OE,$118.32,-16828,259044,-6%,"-$1,991,139",,,,,WWD
13,D,2021-03-03 12:54:39,2021-03-01,WWD,Fawzy Christopher,"VP, GC, Corp Sec",S - Sale+OE,$119.75,-7000,6433,-52%,"-$838,250",,,,,WWD
14,DM,2021-02-25 18:47:37,2021-02-24,WWD,Gendron Thomas A,"Pres, CEO",S - Sale+OE,$122.40,-47307,259044,-15%,"-$5,790,403",,,,,WWD
15,D,2021-02-25 12:30:50,2021-02-24,WWD,Sega Ronald M,Dir,S - Sale+OE,$122.00,-5100,12275,-29%,"-$622,205",,,,,WWD
16,D,2021-02-25 12:25:55,2021-02-24,WWD,Sengstack Gregg C,Dir,S - Sale+OE,$122.67,-6700,24000,-22%,"-$821,885",,,,,WWD
17,D,2021-02-22 12:46:56,2021-02-19,WWD,Cohn John D,Dir,S - Sale+OE,$115.40,-8242,20000,-29%,"-$951,110",,,,,WWD
18,D,2021-02-19 16:26:13,2021-02-17,WWD,Cohn John D,Dir,S - Sale+OE,$114.02,-2253,20000,-10%,"-$256,880",,,,,WWD
19,D,2021-02-17 18:15:48,2021-02-16,WWD,Gendron Thomas A,"Pres, CEO",S - Sale+OE,$114.68,-2099,259044,-1%,"-$240,713",,,,,WWD
20,DM,2021-02-12 19:14:13,2021-02-10,WWD,Gendron Thomas A,"Pres, CEO",S - Sale+OE,$116.11,-93565,253257,-27%,"-$10,863,362",,,,,WWD
21,D,2021-02-12 17:30:22,2021-02-11,WWD,Weber Robert F Jr,"Vice COB, CFO",S - Sale+OE,$115.94,-36300,30523,-54%,"-$4,208,616",,,,,WWD
