,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-01-26 16:30:57,2020-11-27,AEY,Chymiak Kenneth A,10%,S - Sale,$3.61,-143022,2273951,-6%,"-$515,880",,,,,AEY
1,M,2021-01-26 16:24:15,2020-11-27,AEY,Chymiak Susan C,10%,S - Sale,$3.61,-143022,2173951,-6%,"-$515,880",,,,,AEY
2,AM,2020-09-17 17:13:44,2020-06-08,AEY,Chymiak Susan C,10%,S - Sale,$2.56,-320831,1475169,-18%,"-$820,207",,,,,AEY
3,AM,2020-09-17 16:47:28,2020-06-08,AEY,Chymiak Kenneth A,10%,S - Sale,$2.56,-320831,1475169,-18%,"-$820,207",,,,,AEY
4,M,2020-09-17 16:43:39,2020-07-01,AEY,Chymiak Kenneth A,10%,S - Sale,$3.43,-246409,1228760,-17%,"-$845,907",,,,,AEY
5,M,2020-09-17 16:43:01,2020-07-01,AEY,Chymiak Susan C,10%,S - Sale,$3.43,-246409,1228760,-17%,"-$845,907",,,,,AEY
6,,2020-08-21 10:45:21,2020-08-18,AEY,Taylor Jimmy R,"Pres, Wireless Services",P - Purchase,$2.19,"+10,000",75000,+15%,"+$21,937",,,,,AEY
7,,2020-08-19 12:19:38,2020-08-19,AEY,Watson Jarrod M,CFO,P - Purchase,$2.18,"+9,000",99937,+10%,"+$19,589",,,,,AEY
8,M,2020-07-16 18:52:31,2020-06-08,AEY,Chymiak Susan C,10%,S - Sale,$2.58,-293236,1502764,-16%,"-$756,418",,,,,AEY
9,M,2020-07-16 18:10:56,2020-06-08,AEY,Chymiak Kenneth A,10%,S - Sale,$2.58,-293236,1502764,-16%,"-$756,418",,,,,AEY
10,,2020-03-04 09:23:23,2020-03-02,AEY,Kinison Donald Jr,"Pres, Telco Segment",S - Sale,$4.24,-22000,28001,-44%,"-$93,280",,,,,AEY
11,,2020-02-24 07:59:26,2020-02-20,AEY,Francis Scott A,"VP, CAO",S - Sale,$4.40,-11585,30785,-27%,"-$50,974",,,,,AEY
12,D,2019-08-27 09:50:49,2019-08-23,AEY,Empey Colby,"Pres, Wireless Services",P - Purchase,$1.80,"+11,000",11000,New,"+$19,800",,,,,AEY
