,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-03-23 17:46:46,2021-03-22,EVOL,Oros David S,Dir,S - Sale,$3.70,-31000,82920,-27%,"-$114,670",,,,,EVOL
1,M,2021-03-22 18:45:45,2021-03-18,EVOL,Singer Karen,10%,S - Sale,$3.84,-100000,2545638,-4%,"-$383,993",,,,,EVOL
2,M,2021-03-22 17:31:37,2021-03-18,EVOL,Oros David S,Dir,S - Sale,$3.92,-100000,113920,-47%,"-$392,160",,,,,EVOL
3,,2021-03-22 17:00:49,2021-03-18,EVOL,Piton Capital Partners LLC,10%,S - Sale,$5.28,-251100,998900,-20%,"-$1,325,808",,,,,EVOL
4,,2019-12-30 16:37:58,2019-12-27,EVOL,Nicol David J,Dir,P - Purchase,$0.88,"+9,000",177644,+5%,"+$7,920",,,,,EVOL
5,M,2019-11-26 16:39:21,2019-11-22,EVOL,Nicol David J,Dir,P - Purchase,$0.96,"+6,700",168644,+4%,"+$6,432",,,,,EVOL
6,M,2019-09-16 17:50:44,2019-09-12,EVOL,Nicol David J,Dir,P - Purchase,$0.84,"+16,999",161944,+12%,"+$14,273",,,,,EVOL
7,M,2019-09-12 16:31:08,2019-09-10,EVOL,Nicol David J,Dir,P - Purchase,$0.84,"+5,000",144945,+4%,"+$4,200",,,,,EVOL
8,,2019-09-05 18:06:32,2019-08-30,EVOL,Nicol David J,Dir,P - Purchase,$0.78,"+4,000",139945,+3%,"+$3,100",,,,,EVOL
9,,2019-08-29 17:07:26,2019-08-23,EVOL,Nicol David J,Dir,P - Purchase,$0.75,"+4,000",135945,+3%,"+$3,000",,,,,EVOL
10,M,2019-06-17 16:35:01,2019-06-13,EVOL,Nicol David J,Dir,P - Purchase,$0.88,"+20,281",131945,+18%,"+$17,788",,,,,EVOL
11,,2019-06-14 18:21:31,2019-06-12,EVOL,Nicol David J,Dir,P - Purchase,$0.85,+5,111664,0%,+$4,,,,,EVOL
12,M,2019-06-12 16:23:14,2019-05-20,EVOL,Nicol David J,Dir,P - Purchase,$0.86,"+37,000",111659,+50%,"+$31,970",,,,,EVOL
