,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2020-09-25 06:03:19,2020-09-22,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.89,"+21,570",2141349,+1%,"+$62,293",,,,,GIGM
1,M,2020-09-10 06:03:06,2020-09-04,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.87,"+68,737",1051996,+7%,"+$197,040",,,,,GIGM
2,M,2020-05-20 06:03:35,2020-05-15,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.45,"+110,190",983259,+13%,"+$270,190",,,,,GIGM
3,M,2019-08-20 06:30:04,2019-08-15,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.35,"+69,742",873069,+9%,"+$164,055",,,,,GIGM
4,M,2019-06-24 06:01:49,2019-06-19,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.50,"+67,829",803327,+9%,"+$169,669",,,,,GIGM
5,M,2019-06-17 06:02:49,2019-06-12,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.43,"+35,432",735498,+5%,"+$86,191",,,,,GIGM
6,M,2018-12-26 06:03:51,2018-12-19,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.80,"+150,000",700066,+27%,"+$419,430",,,,,GIGM
7,M,2018-09-18 06:06:52,2018-09-13,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.99,"+69,967",550066,+15%,"+$209,408",,,,,GIGM
8,M,2018-08-17 06:20:12,2018-08-14,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$2.95,"+111,387",480099,+30%,"+$329,041",,,,,GIGM
9,M,2018-06-06 06:03:56,2018-06-04,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$3.10,"+31,901",368712,+9%,"+$98,943",,,,,GIGM
10,M,2017-12-21 06:03:25,2017-12-19,GIGM,Huang Cheng-Ming,CEO,P - Purchase,$3.01,"+44,133",336811,+15%,"+$132,655",,,,,GIGM
