,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-16 16:45:35,2021-12-15,GURE,Miao Naihui,"COO, Secretary",S - Sale,$4.61,-10000,208115,-5%,"-$46,080",,,,,GURE
1,,2021-12-14 16:45:56,2021-12-13,GURE,Li Min,CFO,S - Sale,$5.04,-10000,208115,-5%,"-$50,382",,,,,GURE
2,,2020-04-09 19:08:25,2020-01-16,GURE,Li Nan,Resigned Director,S - Sale,$0.65,-5195,0,-100%,"-$3,382",,,,,GURE
3,,2020-04-09 19:07:25,2020-01-16,GURE,Jiang Shitong,Dir,S - Sale,$0.65,-5195,0,-100%,"-$3,382",,,,,GURE
4,,2020-04-09 19:06:21,2020-01-16,GURE,Zou Yang,Dir,S - Sale,$0.65,-5195,0,-100%,"-$3,382",,,,,GURE
5,,2019-09-06 16:34:55,2019-09-05,GURE,Yang Ming,"Dir, 10%",P - Purchase,$0.72,"+661,648",3173848,+26%,"+$476,387",,,,,GURE
6,,2019-09-06 16:34:10,2019-09-05,GURE,Miao Naihui,"COO, Secretary",S - Sale,$0.72,-166230,90575,-65%,"-$119,686",,,,,GURE
7,,2019-09-06 16:33:21,2019-09-05,GURE,Liu Xiaobin,"CEO, Dir",S - Sale,$0.72,-166230,90575,-65%,"-$119,686",,,,,GURE
8,,2019-09-06 16:32:39,2019-09-05,GURE,Li Min,CFO,S - Sale,$0.72,-166230,90575,-65%,"-$119,686",,,,,GURE
9,,2019-09-06 16:32:00,2019-09-05,GURE,Jiang Shitong,Dir,S - Sale,$0.72,-5195,0,-100%,"-$3,740",,,,,GURE
