,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-05-13 14:31:07,2021-05-12,MSVB,Koch Eric A.,Dir,P - Purchase,$15.10,"+1,000",70437,+1%,"+$15,100",,,,,MSVB
1,,2021-05-11 16:04:30,2021-05-10,MSVB,Koch Eric A.,Dir,P - Purchase,$15.20,"+5,000",69437,+8%,"+$76,000",,,,,MSVB
2,M,2021-05-05 10:04:47,2021-05-03,MSVB,Koch Eric A.,Dir,P - Purchase,$15.25,"+4,168",64437,+7%,"+$63,567",,,,,MSVB
3,M,2020-12-09 14:11:34,2020-12-07,MSVB,Koch Eric A.,Dir,P - Purchase,$14.38,"+3,042",58268,+6%,"+$43,751",,,,,MSVB
4,,2020-09-15 10:57:02,2020-09-14,MSVB,Koch Eric A.,Dir,P - Purchase,$12.85,"+2,000",55226,+4%,"+$25,700",,,,,MSVB
5,,2020-08-21 15:13:01,2020-08-20,MSVB,Koch Eric A.,Dir,P - Purchase,$12.50,"+2,045",53226,+4%,"+$25,556",,,,,MSVB
6,,2020-05-01 11:33:20,2020-04-30,MSVB,Koch Eric A.,Dir,P - Purchase,$11.65,"+3,826",51181,+8%,"+$44,573",,,,,MSVB
7,,2020-02-18 11:10:38,2020-02-14,MSVB,Koch Eric A.,Dir,P - Purchase,$13.84,"+1,245",47355,+3%,"+$17,231",,,,,MSVB
8,,2019-11-20 15:22:05,2019-11-19,MSVB,Koch Eric A.,Dir,P - Purchase,$13.29,+110,46110,0%,"+$1,461",,,,,MSVB
9,,2019-08-16 16:58:19,2019-08-16,MSVB,Koch Eric A.,Dir,P - Purchase,$12.69,+690,46000,+2%,"+$8,756",,,,,MSVB
10,M,2019-03-13 09:24:39,2019-03-11,MSVB,Koch Eric A.,Dir,P - Purchase,$12.84,"+1,000",45310,+2%,"+$12,839",,,,,MSVB
11,,2019-03-08 15:18:01,2019-03-08,MSVB,Koch Eric A.,Dir,P - Purchase,$13.00,"+1,150",48102,+2%,"+$14,950",,,,,MSVB
12,M,2019-03-06 09:59:02,2019-03-04,MSVB,Koch Eric A.,Dir,P - Purchase,$13.16,"+1,450",43160,+3%,"+$19,082",,,,,MSVB
13,,2019-02-27 13:11:32,2019-02-26,MSVB,Koch Eric A.,Dir,P - Purchase,$12.86,+415,41710,+1%,"+$5,337",,,,,MSVB
14,,2018-11-19 10:32:52,2018-11-16,MSVB,Babey Alexander G.,"Pres, CEO",P - Purchase,$12.25,"+1,000",23346,+4%,"+$12,250",,,,,MSVB
15,,2018-07-12 17:57:34,2018-07-11,MSVB,Benson Frank M.,"EVP, SLO",P - Purchase,$10.00,"+20,000",23050,+656%,"+$200,000",,,,,MSVB
16,D,2018-07-12 17:47:45,2018-07-11,MSVB,Schmidt Erica B.,"EVP, CFO",P - Purchase,$10.00,"+1,000",1234,+427%,"+$10,000",,,,,MSVB
17,,2018-07-12 17:08:59,2018-07-11,MSVB,Babey Alexander G.,"Pres, CEO",P - Purchase,$10.00,"+20,000",22346,+853%,"+$200,000",,,,,MSVB
18,,2018-07-12 16:59:43,2018-07-11,MSVB,Fisher Trent L.,Dir,P - Purchase,$10.00,"+30,000",33519,+853%,"+$300,000",,,,,MSVB
19,,2018-07-12 16:47:25,2018-07-11,MSVB,Allemeier Paul G.,Dir,P - Purchase,$10.00,"+1,000",33846,+3%,"+$10,000",,,,,MSVB
20,,2018-07-12 16:23:43,2018-07-11,MSVB,Bailey Larry R.,Dir,P - Purchase,$10.00,"+2,000",2234,+855%,"+$20,000",,,,,MSVB
21,,2018-07-12 16:12:25,2018-07-11,MSVB,Lamb Kermit A.,Dir,P - Purchase,$10.00,"+2,500",7427,+51%,"+$25,000",,,,,MSVB
22,,2018-07-12 16:01:21,2018-07-11,MSVB,Dunbar Dana J.,Dir,P - Purchase,$10.00,"+10,000",10234,>999%,"+$100,000",,,,,MSVB
23,,2018-07-12 15:49:57,2018-07-11,MSVB,Lamb Charles W.,Dir,P - Purchase,$10.00,"+2,000",5518,+57%,"+$20,000",,,,,MSVB
24,,2018-07-12 15:35:03,2018-07-11,MSVB,Rosenbaum Brent A.,Dir,P - Purchase,$10.00,"+10,000",10469,>999%,"+$100,000",,,,,MSVB
