,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-06 09:12:41,2021-12-03,QUMU,Karp Jason,"CCO, Chief Counsel",P - Purchase,$1.94,"+10,000",32500,+44%,"+$19,416",,,,,QUMU
1,,2021-11-12 08:10:25,2021-11-11,QUMU,Horowitz Edward D,Dir,P - Purchase,$2.36,"+10,000",64000,+19%,"+$23,600",,,,,QUMU
2,,2021-11-05 09:15:55,2021-11-03,QUMU,Kennedy Tj,"Pres, CEO",P - Purchase,$2.06,"+13,000",31000,+72%,"+$26,797",,,,,QUMU
3,,2021-11-03 16:24:52,2021-11-02,QUMU,Cox Neil E,Dir,P - Purchase,$2.12,"+5,000",54000,+10%,"+$10,597",,,,,QUMU
4,,2021-11-03 16:24:20,2021-11-03,QUMU,Karp Jason,"CCO, Chief Counsel",P - Purchase,$2.03,"+10,000",22500,+80%,"+$20,253",,,,,QUMU
5,DM,2021-09-03 16:05:55,2021-09-01,QUMU,Ristow Dave,CFO,S - Sale+OE,$2.88,-182579,0,-100%,"-$525,596",,,,,QUMU
6,M,2021-08-13 18:56:11,2021-08-11,QUMU,Lucas Kenan,Dir,P - Purchase,$2.46,"+328,263",1738884,+23%,"+$809,130",,,,,QUMU
7,,2021-08-05 16:21:39,2021-08-03,QUMU,Cox Neil E,Dir,P - Purchase,$2.46,"+10,000",49000,+26%,"+$24,576",,,,,QUMU
8,M,2021-08-04 17:10:57,2021-08-03,QUMU,Kennedy Tj,"Pres, CEO",P - Purchase,$2.46,"+18,000",18000,New,"+$44,304",,,,,QUMU
9,,2021-08-03 16:52:39,2021-08-02,QUMU,Karp Jason,"CCO, Chief Counsel",P - Purchase,$2.46,"+10,000",12500,+400%,"+$24,629",,,,,QUMU
10,,2021-08-03 16:51:57,2021-08-03,QUMU,Horowitz Edward D,Dir,P - Purchase,$2.45,"+10,000",54000,+23%,"+$24,525",,,,,QUMU
11,,2021-05-17 16:19:17,2021-05-17,QUMU,Horowitz Edward D,Dir,P - Purchase,$4.81,"+4,000",44000,+10%,"+$19,239",,,,,QUMU
12,,2021-02-02 16:50:13,2021-01-29,QUMU,Horowitz Edward D,Dir,P - Purchase,$6.75,"+5,000",40000,+14%,"+$33,750",,,,,QUMU
13,,2021-02-02 16:46:28,2021-01-29,QUMU,Olson Robert F,Dir,P - Purchase,$6.75,"+5,000",162504,+3%,"+$33,750",,,,,QUMU
14,,2021-02-02 16:44:01,2021-01-29,QUMU,Ristow Dave,CFO,P - Purchase,$6.75,"+1,852",65079,+3%,"+$12,501",,,,,QUMU
15,,2021-02-02 16:36:03,2021-01-29,QUMU,Cox Neil E,Dir,P - Purchase,$6.75,"+2,000",57099,+4%,"+$13,500",,,,,QUMU
16,,2021-02-02 16:33:48,2021-01-29,QUMU,Chowning Mary E,Dir,P - Purchase,$6.75,"+5,000",40000,+14%,"+$33,750",,,,,QUMU
17,,2020-11-03 17:13:20,2020-11-02,QUMU,Cox Neil E,Dir,P - Purchase,$4.74,"+4,000",55099,+8%,"+$18,965",,,,,QUMU
18,,2020-11-02 13:05:09,2020-10-30,QUMU,Fishback Daniel R,Dir,P - Purchase,$4.61,"+5,000",124659,+4%,"+$23,057",,,,,QUMU
19,,2019-11-12 18:21:13,2019-11-07,QUMU,"Harbert Discovery Fund, LP","Dir, 10%",P - Purchase,$2.50,"+100,000",1392522,+8%,"+$250,000",,,,,QUMU
20,,2019-11-12 16:30:07,2019-11-07,QUMU,Horowitz Edward D,Dir,P - Purchase,$2.50,"+10,000",10000,New,"+$25,000",,,,,QUMU
21,,2019-11-12 16:28:03,2019-11-07,QUMU,Chowning Mary E,Dir,P - Purchase,$2.50,"+10,000",10000,New,"+$25,000",,,,,QUMU
22,,2019-11-12 16:25:48,2019-11-07,QUMU,Cox Neil E,Dir,P - Purchase,$2.50,"+8,000",33000,+32%,"+$20,000",,,,,QUMU
23,,2019-11-12 16:23:29,2019-11-07,QUMU,Ristow Dave,CFO,P - Purchase,$2.50,"+6,000",78887,+8%,"+$15,000",,,,,QUMU
24,,2019-11-12 16:17:41,2019-11-07,QUMU,Hanzlik Vern,"Pres, CEO",P - Purchase,$2.50,"+20,000",245016,+9%,"+$50,000",,,,,QUMU
25,,2019-11-12 16:09:46,2019-11-07,QUMU,Fishback Daniel R,Dir,P - Purchase,$2.50,"+10,000",101560,+11%,"+$25,000",,,,,QUMU
26,M,2018-11-13 17:03:41,2018-11-08,QUMU,"Harbert Discovery Fund, LP","Dir, 10%",P - Purchase,$2.52,"+47,193",1267522,+4%,"+$118,992",,,,,QUMU
27,,2018-05-23 09:51:56,2018-05-21,QUMU,"Harbert Discovery Fund, LP","Dir, 10%",P - Purchase,$2.39,"+20,000",1220329,+2%,"+$47,862",,,,,QUMU
28,,2018-05-17 17:27:05,2018-05-16,QUMU,Hanzlik Vern,"Pres, CEO",P - Purchase,$2.42,"+10,000",139644,+8%,"+$24,181",,,,,QUMU
