,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-09 16:22:04,2021-12-02,RSLS,Bandy Barton P.,"Pres, CEO",S - Sale,$1.83,-13427,852015,-2%,"-$24,571",,,,,RSLS
1,,2021-12-09 16:17:33,2021-12-02,RSLS,Stankovich Thomas,CFO,S - Sale,$1.83,-4304,365707,-1%,"-$7,863",,,,,RSLS
2,,2021-11-18 16:32:09,2021-11-18,RSLS,Stankovich Thomas,CFO,P - Purchase,$2.02,"+20,000",370011,+6%,"+$40,400",,,,,RSLS
3,,2021-11-16 16:18:50,2021-11-02,RSLS,Bandy Barton P.,"Pres, CEO",S - Sale,$2.69,-13505,865442,-2%,"-$36,328",,,,,RSLS
4,,2021-11-16 16:14:25,2021-11-02,RSLS,Stankovich Thomas,CFO,S - Sale,$2.69,-4320,350011,-1%,"-$11,621",,,,,RSLS
5,,2021-10-12 19:40:01,2021-10-01,RSLS,Stankovich Thomas,CFO,S - Sale,$2.76,-3660,354331,-1%,"-$10,102",,,,,RSLS
6,,2021-10-12 19:35:44,2021-10-01,RSLS,Bandy Barton P.,"Pres, CEO",S - Sale,$2.77,-12565,878947,-1%,"-$34,805",,,,,RSLS
7,,2021-09-17 19:07:03,2021-09-10,RSLS,Bandy Barton P.,"Pres, CEO",S - Sale,$2.89,-294494,891512,-25%,"-$851,088",,,,,RSLS
8,,2021-09-17 18:51:57,2021-09-10,RSLS,Stankovich Thomas,CFO,S - Sale,$2.89,-48366,357991,-12%,"-$139,778",,,,,RSLS
9,,2021-09-17 18:37:24,2021-09-10,RSLS,Gladney Dan W,Dir,S - Sale,$2.99,-200000,283922,-41%,"-$598,000",,,,,RSLS
10,,2021-08-31 16:31:05,2021-08-30,RSLS,Stankovich Thomas,CFO,P - Purchase,$3.43,"+15,000",32613,+85%,"+$51,435",,,,,RSLS
11,,2021-08-24 08:59:19,2021-08-20,RSLS,Stankovich Thomas,CFO,P - Purchase,$3.22,"+15,000",17613,+574%,"+$48,285",,,,,RSLS
12,M,2021-06-22 08:58:05,2021-06-16,RSLS,"Armistice Capital, LLC",10%,S - Sale,$6.18,-2303469,211746,-92%,"-$14,230,402",,,,,RSLS
13,,2019-11-14 08:30:15,2019-11-12,OBLN,Plovanic William J.,"Pres, CEO",P - Purchase,$1.66,"+65,000",106806,+155%,"+$107,822",,,,,RSLS
14,D,2019-08-08 16:27:47,2019-08-06,OBLN,Kamdar Kim P.,Dir,P - Purchase,$4.00,"+12,500",27148,+85%,"+$50,000",,,,,RSLS
15,D,2019-08-08 16:23:15,2019-08-06,OBLN,Domain Parters VII L P,10%,P - Purchase,$4.00,"+250,000",813433,+44%,"+$1,000,000",,,,,RSLS
16,D,2019-08-08 14:28:17,2019-08-06,OBLN,Brister Mark,CTO,P - Purchase,$4.00,"+5,000",38865,+15%,"+$20,000",,,,,RSLS
17,D,2019-08-08 14:27:57,2019-08-06,OBLN,Macdonald Robert J,Chief Retail Officer,P - Purchase,$4.00,"+5,000",5245,>999%,"+$20,000",,,,,RSLS
18,D,2019-08-08 14:27:40,2019-08-06,OBLN,Hussainy Nooshin,VP of Finance,P - Purchase,$4.00,"+5,000",16340,+44%,"+$20,000",,,,,RSLS
19,D,2019-08-08 14:27:22,2019-08-06,OBLN,Rasdal Andrew P,Exec COB,P - Purchase,$4.00,"+12,500",77892,+19%,"+$50,000",,,,,RSLS
20,D,2019-08-08 14:27:05,2019-08-06,OBLN,Plovanic William J.,"Pres, CFO",P - Purchase,$4.00,"+12,500",41806,+43%,"+$50,000",,,,,RSLS
21,D,2019-08-08 14:26:51,2019-08-06,OBLN,Vandenberg Amy,"Chief Clinical, Reg Officer",P - Purchase,$4.00,"+2,500",11764,+27%,"+$10,000",,,,,RSLS
22,D,2019-08-08 14:26:21,2019-08-06,OBLN,Howe Lesley H,Dir,P - Purchase,$4.00,"+6,250",19397,+48%,"+$25,000",,,,,RSLS
23,D,2019-08-08 14:25:40,2019-08-06,OBLN,Stevenson Sharon,Dir,P - Purchase,$4.00,"+7,500",106809,+8%,"+$30,000",,,,,RSLS
24,D,2019-08-08 11:10:32,2019-08-06,OBLN,Interwest Partners X LP,10%,P - Purchase,$4.00,"+25,000",380224,+7%,"+$100,000",,,,,RSLS
25,,2018-08-27 17:38:08,2018-08-23,OBLN,Kamdar Kim P.,Dir,P - Purchase,$1.82,"+54,945",68345,+410%,"+$100,000",,,,,RSLS
26,,2018-08-27 17:32:26,2018-08-23,OBLN,Domain Parters VII L P,10%,P - Purchase,$1.82,"+1,648,359",5634329,+41%,"+$3,000,013",,,,,RSLS
27,,2018-08-27 16:24:22,2018-08-23,OBLN,Interwest Partners X LP,10%,P - Purchase,$1.82,"+1,098,901",3552239,+45%,"+$2,000,000",,,,,RSLS
28,,2018-03-19 17:27:09,2018-03-15,OBLN,Drake Neil,"VP Research, Development",P - Purchase,$3.96,"+5,000",26850,+23%,"+$19,778",,,,,RSLS
29,M,2018-03-15 18:15:53,2018-03-13,OBLN,Plovanic William J.,CFO,P - Purchase,$4.04,"+30,000",220572,+16%,"+$121,330",,,,,RSLS
