,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-06-24 16:49:01,2021-06-16,SUMR,Train Andrew Michael,Dir,S - Sale,$13.00,-3000,7408,-29%,"-$39,000",,,,,SUMR
1,,2021-05-27 16:18:28,2021-05-25,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$11.08,"+4,113",784183,+1%,"+$45,583",,,,,SUMR
2,M,2021-05-25 19:05:18,2021-05-21,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$11.28,"+15,286",780070,+2%,"+$172,367",,,,,SUMR
3,A,2021-03-29 17:26:21,2021-03-24,SUMR,Macari Jason P,10%,S - Sale,$20.07,-20907,364117,-5%,"-$419,549",,,,,SUMR
4,A,2021-03-29 15:56:10,2021-02-05,SUMR,Macari Jason P,10%,S - Sale,$22.50,-408,385024,0%,"-$9,180",,,,,SUMR
5,A,2021-03-29 15:48:15,2021-03-24,SUMR,Macari Jason P,10%,S - Sale,$20.07,-20097,364117,-5%,"-$403,295",,,,,SUMR
6,,2020-12-07 16:21:08,2020-12-03,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$16.29,"+6,000",764784,+1%,"+$97,723",,,,,SUMR
7,,2019-08-21 07:44:04,2019-08-20,SUMR,D An Evelyn,Dir,P - Purchase,$0.51,"+4,900",38549,+15%,"+$2,499",,,,,SUMR
8,M,2019-08-15 06:49:26,2019-08-13,SUMR,Francese Paul,"SVP, CFO",P - Purchase,$0.44,"+5,000",42500,+13%,"+$2,209",,,,,SUMR
9,,2019-08-15 06:48:12,2019-08-14,SUMR,Mustacchi Alan,Dir,P - Purchase,$0.48,"+7,500",92043,+9%,"+$3,585",,,,,SUMR
10,,2019-08-14 07:04:21,2019-08-12,SUMR,Messner Mark,"Pres, CEO",P - Purchase,$0.43,"+12,100",207100,+6%,"+$5,203",,,,,SUMR
11,,2019-06-14 16:43:39,2019-06-13,SUMR,Messner Mark,"Pres, CEO",P - Purchase,$0.51,+500,195000,0%,+$255,,,,,SUMR
12,,2019-06-13 17:54:02,2019-06-12,SUMR,Messner Mark,"Pres, CEO",P - Purchase,$0.50,"+3,500",194500,+2%,"+$1,749",,,,,SUMR
13,,2019-03-18 16:27:13,2019-03-15,SUMR,D An Evelyn,Dir,P - Purchase,$0.74,+799,26149,+3%,+$591,,,,,SUMR
14,,2019-03-15 16:44:23,2019-03-14,SUMR,Francese Paul,"SVP, CFO",P - Purchase,$0.77,"+2,500",27500,+10%,"+$1,925",,,,,SUMR
15,,2019-03-15 16:44:08,2019-03-14,SUMR,Messner Mark,"Pres, CEO",P - Purchase,$0.77,"+3,100",171000,+2%,"+$2,387",,,,,SUMR
16,M,2019-03-08 16:17:03,2019-03-06,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$0.75,"+30,000",6829086,0%,"+$22,380",,,,,SUMR
17,,2019-03-04 16:16:46,2019-02-28,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$0.80,"+18,297",6799647,0%,"+$14,638",,,,,SUMR
18,M,2019-02-28 15:31:12,2019-02-26,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$0.81,"+31,703",6780789,0%,"+$25,717",,,,,SUMR
19,,2018-12-18 07:52:10,2018-12-14,SUMR,Train Andrew Michael,Dir,P - Purchase,$0.92,"+2,500",27500,+10%,"+$2,289",,,,,SUMR
20,,2018-12-17 16:15:36,2018-12-14,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$0.94,"+29,754",6749086,0%,"+$27,957",,,,,SUMR
21,M,2018-12-06 16:16:27,2018-12-04,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$1.00,"+5,400",8751453,0%,"+$5,380",,,,,SUMR
22,,2018-12-06 06:09:54,2018-12-04,SUMR,Mustacchi Alan,Dir,P - Purchase,$1.00,"+10,000",67043,+18%,"+$10,000",,,,,SUMR
23,M,2018-12-04 16:31:50,2018-11-30,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$1.01,"+30,000",8746053,0%,"+$30,226",,,,,SUMR
24,M,2018-12-03 16:38:58,2018-11-30,SUMR,Francese Paul,"SVP, CFO",P - Purchase,$1.00,"+5,000",25000,+25%,"+$5,000",,,,,SUMR
25,M,2018-12-03 16:37:58,2018-11-29,SUMR,Messner Mark,"Pres, C.E.O",P - Purchase,$1.01,"+9,900",167900,+6%,"+$10,041",,,,,SUMR
26,,2018-09-11 16:52:16,2018-09-10,SUMR,Mote William E Jr,CFO,S - Sale,$1.63,-13200,37356,-26%,"-$21,554",,,,,SUMR
27,,2018-09-11 08:23:45,2018-09-10,SUMR,Messner Mark,"Pres, C.E.O.",P - Purchase,$1.73,"+5,500",158000,+4%,"+$9,515",,,,,SUMR
28,,2018-09-11 08:23:17,2018-09-07,SUMR,D An Evelyn,Dir,P - Purchase,$1.75,"+2,850",25350,+13%,"+$4,988",,,,,SUMR
29,,2018-09-10 09:00:23,2018-09-07,SUMR,Mote William E Jr,CFO,S - Sale,$1.79,-7800,50556,-13%,"-$13,985",,,,,SUMR
30,,2018-06-13 08:36:41,2018-06-12,SUMR,Train Andrew Michael,Dir,P - Purchase,$1.34,"+10,000",25000,+67%,"+$13,400",,,,,SUMR
31,,2018-06-01 16:17:03,2018-05-31,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$1.22,"+30,000",6683932,0%,"+$36,561",,,,,SUMR
32,,2018-05-25 08:06:21,2018-05-24,SUMR,Zelkowicz Stephen,Dir,P - Purchase,$0.90,"+12,000",65564,+22%,"+$10,759",,,,,SUMR
33,,2018-05-17 08:18:49,2018-05-16,SUMR,Mustacchi Alan,Dir,P - Purchase,$0.95,"+10,000",57043,+21%,"+$9,505",,,,,SUMR
34,,2018-05-11 06:53:15,2018-05-10,SUMR,Messner Mark,"Pres, C.E.O.",P - Purchase,$0.93,"+5,150",152500,+3%,"+$4,770",,,,,SUMR
35,,2018-05-09 16:31:11,2018-05-07,SUMR,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,$0.80,"+238,364",6653932,+4%,"+$190,691",,,,,SUMR
36,,2018-05-08 08:19:24,2018-05-07,SUMR,Messner Mark,"Pres, CEO",P - Purchase,$0.83,"+5,850",147350,+4%,"+$4,846",,,,,SUMR
37,A,2018-05-04 18:44:42,2018-03-07,SUMR,Mote William E Jr,CFO,P - Purchase,$1.39,+70,48839,0%,+$97,,,,,SUMR
38,,2018-03-07 16:45:11,2018-03-06,SUMR,Messner Mark,"Pres, CEO",P - Purchase,$1.35,"+16,500",121500,+16%,"+$22,275",,,,,SUMR
