,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-01 16:52:01,2021-10-29,TESS,Bryan J Timothy,Dir,P - Purchase,$5.43,"+5,000",24881,+25%,"+$27,150",,,,,TESS
1,,2021-11-01 16:30:25,2021-10-28,TESS,Lakeview Investment Group & Trading Co LLC,10%,P - Purchase,$5.08,"+300,000",1331591,+29%,"+$1,524,000",,,,,TESS
2,,2021-08-16 17:38:20,2021-08-12,TESS,Bryan J Timothy,Dir,P - Purchase,$6.01,"+5,000",19881,+34%,"+$30,050",,,,,TESS
3,,2021-03-01 17:09:29,2021-03-01,TESS,Gaffney Paul J,Dir,P - Purchase,$7.03,"+1,000",21403,+5%,"+$7,030",,,,,TESS
4,M,2021-02-18 17:19:43,2021-02-16,TESS,McLean Kathleen,Dir,P - Purchase,$8.25,"+1,426",1426,New,"+$11,765",,,,,TESS
5,M,2021-02-11 16:55:08,2021-02-08,TESS,Gaffney Paul J,Dir,P - Purchase,$8.29,"+2,000",20403,+11%,"+$16,580",,,,,TESS
6,,2021-02-03 17:08:00,2021-02-01,TESS,Cawley Joseph,SVP,S - Sale,$7.68,-2761,4250,-39%,"-$21,204",,,,,TESS
7,M,2020-12-22 18:40:29,2020-12-18,TESS,Lakeview Investment Group & Trading Co LLC,10%,P - Purchase,$5.84,"+30,100",1031591,+3%,"+$175,865",,,,,TESS
8,M,2020-12-08 17:16:14,2020-12-04,TESS,Lakeview Investment Group & Trading Co LLC,10%,P - Purchase,$6.30,"+19,300",992491,+2%,"+$121,657",,,,,TESS
9,M,2020-12-03 17:10:58,2020-12-01,TESS,Lakeview Investment Group & Trading Co LLC,10%,P - Purchase,$6.16,"+39,500",973191,+4%,"+$243,300",,,,,TESS
10,M,2020-11-27 14:54:56,2020-11-24,TESS,Lakeview Investment Group & Trading Co LLC,10%,P - Purchase,$6.11,"+27,584",933691,+3%,"+$168,669",,,,,TESS
11,M,2020-11-23 19:22:49,2020-11-19,TESS,Lakeview Investment Group & Trading Co LLC,10%,P - Purchase,$5.84,"+21,000",906107,+2%,"+$122,570",,,,,TESS
12,M,2020-11-16 19:44:58,2020-11-12,TESS,Martine-Dolecki Cathy-Ann,Dir,P - Purchase,$5.96,"+8,293",11293,+276%,"+$49,442",,,,,TESS
13,DM,2019-09-12 16:55:24,2019-09-10,TESS,Kriete Charles,SVP,S - Sale+OE,$15.63,-6895,1,-100%,"-$107,772",,,,,TESS
14,M,2018-07-27 18:06:34,2018-07-25,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$17.91,-9988,1618810,-1%,"-$178,835",,,,,TESS
15,M,2018-07-24 21:09:35,2018-07-20,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$17.79,-24176,1628798,-1%,"-$430,208",,,,,TESS
16,M,2018-07-19 21:50:24,2018-07-18,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$18.30,-22603,3326801,-1%,"-$413,548",,,,,TESS
17,,2018-06-05 17:08:03,2018-06-01,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$18.11,-7240,1675577,0%,"-$131,116",,,,,TESS
18,M,2018-05-31 16:55:21,2018-05-29,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$18.04,-6143,1682817,0%,"-$110,810",,,,,TESS
19,,2018-03-14 16:50:24,2018-03-12,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$21.24,-10378,1685426,-1%,"-$220,429",,,,,TESS
20,M,2018-03-09 18:20:18,2018-03-07,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$21.11,-78137,1695804,-4%,"-$1,649,539",,,,,TESS
21,M,2018-03-06 16:55:59,2018-03-02,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$21.76,-21089,1773941,-1%,"-$458,811",,,,,TESS
22,M,2018-03-01 16:51:50,2018-02-27,TESS,Barnhill Robert B Jr,"Dir, 10%",S - Sale,$22.65,-30996,7255108,0%,"-$702,077",,,,,TESS
23,M,2018-02-02 17:08:00,2018-01-30,TESS,Zifferer Morton,Dir,S - Sale,$22.17,-10000,70857,-12%,"-$221,717",,,,,TESS
24,M,2018-02-02 17:07:55,2018-01-30,TESS,Zifferer Morton,Dir,S - Sale,$22.17,-10000,70857,-12%,"-$221,717",,,,,TESS
