,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,AM,2021-08-04 14:37:53,2020-12-09,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$1.06,"+39,624",2040283,+2%,"+$42,172",,,,,XELB
1,M,2020-12-14 06:04:06,2020-12-09,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$1.06,"+39,624",2026883,+2%,"+$42,172",,,,,XELB
2,,2020-10-15 16:47:31,2020-10-13,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.78,"+12,000",2000659,+1%,"+$9,360",,,,,XELB
3,M,2020-10-13 17:26:09,2020-10-09,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.77,"+13,400",1988659,+1%,"+$10,346",,,,,XELB
4,,2020-10-09 15:36:47,2020-10-08,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.75,"+4,000",1975259,0%,"+$3,000",,,,,XELB
5,,2020-09-30 16:51:45,2020-09-28,XELB,Disanto Mark,Dir,P - Purchase,$0.72,"+10,000",1123997,+1%,"+$7,200",,,,,XELB
6,M,2020-09-28 16:39:16,2020-09-24,XELB,Disanto Mark,Dir,P - Purchase,$0.68,"+20,000",1113997,+2%,"+$13,500",,,,,XELB
7,,2020-09-23 12:07:16,2020-09-18,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.70,"+3,000",1971259,0%,"+$2,100",,,,,XELB
8,,2020-09-17 12:58:42,2020-09-08,XELB,Disanto Mark,Dir,P - Purchase,$0.76,+609,1083997,0%,+$463,,,,,XELB
9,,2020-09-17 12:58:20,2020-09-15,XELB,Disanto Mark,Dir,P - Purchase,$0.70,"+10,000",1093997,+1%,"+$7,000",,,,,XELB
10,M,2020-07-15 18:14:00,2020-07-13,XELB,Disanto Mark,Dir,P - Purchase,$0.78,"+10,249",1083388,+1%,"+$7,994",,,,,XELB
11,,2020-07-14 16:59:57,2020-07-10,XELB,Disanto Mark,Dir,P - Purchase,$0.78,"+5,000",1073139,0%,"+$3,900",,,,,XELB
12,,2020-06-02 19:08:37,2020-05-29,XELB,D Loren Robert W,"CEO, COB",P - Purchase,$0.80,"+10,000",1968259,+1%,"+$8,000",,,,,XELB
13,,2020-06-02 19:08:17,2020-05-29,XELB,Disanto Mark,Dir,P - Purchase,$0.81,"+5,000",1068139,0%,"+$4,050",,,,,XELB
14,,2020-05-26 15:43:49,2020-05-21,XELB,Disanto Mark,Dir,P - Purchase,$0.87,"+5,000",1063139,0%,"+$4,350",,,,,XELB
15,,2020-05-26 15:40:42,2020-05-21,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.92,"+7,500",1958259,0%,"+$6,900",,,,,XELB
16,M,2020-05-21 16:25:54,2020-05-19,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.93,"+8,819",1950759,0%,"+$8,181",,,,,XELB
17,,2020-05-19 17:45:08,2020-05-15,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.68,"+1,000",1941940,0%,+$680,,,,,XELB
18,M,2020-05-19 17:44:50,2020-05-15,XELB,Disanto Mark,Dir,P - Purchase,$0.62,"+21,662",1058139,+2%,"+$13,427",,,,,XELB
19,M,2020-05-13 19:25:25,2020-05-11,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.68,"+8,878",1940940,0%,"+$6,043",,,,,XELB
20,M,2020-05-08 17:21:56,2020-05-06,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.70,"+11,988",1932062,+1%,"+$8,361",,,,,XELB
21,M,2020-05-06 15:40:27,2020-05-01,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.74,"+5,371",1920074,0%,"+$3,962",,,,,XELB
22,M,2020-04-30 18:54:18,2020-04-28,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.75,"+3,662",1914703,0%,"+$2,738",,,,,XELB
23,M,2020-04-23 18:34:08,2020-04-21,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.53,"+9,258",1911041,0%,"+$4,898",,,,,XELB
24,M,2020-04-20 18:00:59,2020-04-16,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$0.55,"+11,558",1901783,+1%,"+$6,357",,,,,XELB
25,,2019-03-12 20:05:08,2019-03-12,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$1.50,"+42,048",1760177,+2%,"+$63,072",,,,,XELB
26,DM,2019-03-01 16:50:38,2019-02-27,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$1.74,"+5,200",1718129,0%,"+$9,061",,,,,XELB
27,,2019-02-25 06:05:18,2019-02-22,XELB,D Loren Robert W,"CEO, COB, 10%",P - Purchase,$1.41,"+2,463",1709529,0%,"+$3,473",,,,,XELB
