,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-12-13 16:55:12,2021-12-09,YTEN,Sinskey Anthony J,Dir,P - Purchase,$5.04,"+6,000",10309,+139%,"+$30,260",,,,,YTEN
1,,2021-12-07 10:27:19,2021-12-03,YTEN,Haaser Charles B,"VP Fin, CAO",P - Purchase,$4.20,"+2,400",11320,+27%,"+$10,080",,,,,YTEN
2,M,2021-12-06 18:19:46,2021-12-02,YTEN,Sinskey Anthony J,Dir,P - Purchase,$4.48,"+4,000",4309,>999%,"+$17,916",,,,,YTEN
3,,2021-02-04 19:22:05,2021-02-03,YTEN,Schuler Jack W,10%,P - Purchase,$12.25,"+101,400",895035,+13%,"+$1,242,150",,,,,YTEN
4,,2020-08-31 07:00:20,2020-08-26,YTEN,Schuler Jack W,10%,P - Purchase,$4.25,"+365,241",793635,+85%,"+$1,552,274",,,,,YTEN
5,,2020-02-12 17:08:28,2020-02-10,YTEN,Schuler Jack W,10%,P - Purchase,$7.91,"+9,852",428396,+2%,"+$77,880",,,,,YTEN
6,M,2020-02-12 17:08:28,2020-02-10,YTEN,Schuler Jack W,10%,S - Sale,$7.77,-70953,428396,-14%,"-$551,405",,,,,YTEN
7,M,2019-10-02 18:18:41,2019-10-01,YTEN,Peoples Oliver P,"Pres, CEO",P - Purchase,$0.56,"+10,000",91752,+12%,"+$5,575",,,,,YTEN
8,,2019-09-04 16:07:23,2019-09-03,YTEN,Peoples Oliver P,"Pres, CEO",P - Purchase,$0.82,"+10,000",75874,+15%,"+$8,200",,,,,YTEN
9,,2019-08-02 16:12:03,2019-08-01,YTEN,Peoples Oliver P,"Pres, CEO",P - Purchase,$0.92,"+10,000",65874,+18%,"+$9,200",,,,,YTEN
10,,2019-07-08 16:57:35,2019-07-05,YTEN,Peoples Oliver P,"Pres, CEO",P - Purchase,$0.88,"+10,000",55874,+22%,"+$8,800",,,,,YTEN
11,DM,2019-06-05 12:33:15,2017-12-19,YTEN,Schuler Jack W,10%,P - Purchase,$2.02,"+2,459,171",3822908,+180%,"+$4,977,733",,,,,YTEN
