,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,A,2021-08-31 19:52:56,2021-08-26,AADI,Dalal Anupam,Dir,P - Purchase,$13.08,"+1,529,402",1529402,New,"+$19,999,990",,,,,AADI
1,D,2021-08-30 21:11:39,2021-08-26,AADI,Castelein Caley,Dir,P - Purchase,$13.08,"+259,998",279692,>999%,"+$3,399,994",,,,,AADI
2,D,2021-08-30 20:39:49,2021-08-26,AADI,Dalal Anupam,Dir,P - Purchase,$13.08,"+1,529,402",1530532,>999%,"+$19,999,990",,,,,AADI
3,D,2020-12-10 17:04:43,2020-12-08,ARPO,Orbimed Advisors LLC,10%,S - Sale+OE,$1.96,-21400,5193946,0%,"-$41,944",,,,,AADI
4,,2019-07-10 18:03:07,2019-07-10,ARPO,Gardner Joseph H.,Pres,P - Purchase,$0.81,"+5,000",603019,+1%,"+$4,074",,,,,AADI
5,,2019-07-08 17:51:41,2019-07-03,ARPO,Gardner Joseph H.,Pres,P - Purchase,$0.90,"+5,000",598019,+1%,"+$4,485",,,,,AADI
6,M,2019-04-29 17:23:36,2019-04-25,ARPO,Novartis Bioventures Ltd,10%,S - Sale,$1.03,-701800,4049804,-15%,"-$722,854",,,,,AADI
7,M,2019-04-24 19:03:35,2019-04-22,ARPO,Novartis Bioventures Ltd,10%,S - Sale,$1.02,-51057,4751604,-1%,"-$52,163",,,,,AADI
8,M,2019-04-15 21:26:50,2019-04-11,ARPO,Novartis Bioventures Ltd,10%,S - Sale,$1.05,-117140,4802661,-2%,"-$122,683",,,,,AADI
9,M,2019-04-10 18:26:02,2019-04-08,ARPO,Novartis Bioventures Ltd,10%,S - Sale,$1.07,-200746,4919801,-4%,"-$214,247",,,,,AADI
10,M,2019-04-05 17:14:00,2019-04-03,ARPO,Novartis Bioventures Ltd,10%,S - Sale,$0.99,-130594,5120547,-2%,"-$129,245",,,,,AADI
11,M,2019-04-02 20:09:59,2019-03-29,ARPO,Novartis Bioventures Ltd,10%,S - Sale,$0.94,-231763,5251141,-4%,"-$218,686",,,,,AADI
12,M,2019-03-28 17:16:20,2019-03-26,ARPO,Novartis Bioventures Ltd,10%,S - Sale,$0.99,-317346,5482904,-5%,"-$313,286",,,,,AADI
13,M,2019-01-10 21:00:24,2019-01-08,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$2.35,"+63,818",5621835,+1%,"+$150,290",,,,,AADI
14,M,2019-01-07 21:00:38,2019-01-03,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$2.12,"+60,000",5558017,+1%,"+$127,462",,,,,AADI
15,M,2019-01-02 21:01:46,2018-12-28,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$1.80,"+60,000",5498017,+1%,"+$108,110",,,,,AADI
16,M,2018-12-27 19:13:10,2018-12-21,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$1.74,"+60,000",5438017,+1%,"+$104,134",,,,,AADI
17,M,2018-12-20 19:04:00,2018-12-18,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$1.92,"+60,000",5378017,+1%,"+$115,224",,,,,AADI
18,M,2018-12-14 20:55:47,2018-12-12,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$2.02,"+60,000",5318017,+1%,"+$121,340",,,,,AADI
19,M,2018-12-11 20:52:50,2018-12-07,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$2.12,"+60,000",5258017,+1%,"+$127,242",,,,,AADI
20,M,2018-12-06 20:54:55,2018-12-03,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$2.09,"+60,000",5198017,+1%,"+$125,352",,,,,AADI
21,M,2018-11-30 21:00:12,2018-11-28,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$1.98,"+60,000",5138017,+1%,"+$118,524",,,,,AADI
22,M,2018-11-14 16:25:08,2018-11-09,ARPO,Hoffman Stephen J,CEO,P - Purchase,$2.01,"+31,967",31967,New,"+$64,136",,,,,AADI
23,,2018-08-22 16:07:37,2018-08-20,ARPO,Novartis Bioventures Ltd,10%,S - Sale,$3.90,-5300,5800250,0%,"-$20,670",,,,,AADI
24,,2018-07-02 16:56:32,2018-06-28,ARPO,Orbimed Advisors LLC,"Dir, 10%",P - Purchase,$3.85,"+777,500",5193946,+18%,"+$2,993,375",,,,,AADI
25,,2018-07-02 16:51:38,2018-06-28,ARPO,Khuong Chau Quang,"Dir, 10%",P - Purchase,$3.85,"+777,500",5193946,+18%,"+$2,993,375",,,,,AADI
26,,2018-06-29 16:17:48,2018-06-28,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$3.85,"+1,818,182",5078017,+56%,"+$7,000,001",,,,,AADI
27,M,2018-03-23 18:23:46,2018-03-21,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$4.88,"+5,000",3259835,0%,"+$24,390",,,,,AADI
28,M,2018-03-21 16:52:43,2018-03-19,ARPO,Satter Muneer A,"Dir, 10%",P - Purchase,$4.97,"+13,000",3254835,0%,"+$64,585",,,,,AADI
