,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-11-09 20:30:04,2021-11-08,ACTG,Booth Marc W.,Chief IP Officer,S - Sale,$5.53,-4401,225967,-2%,"-$24,335",,,,,ACTG
1,,2021-06-21 12:54:53,2021-06-18,ACTG,Booth Marc W.,Chief IP Officer,S - Sale,$6.10,-5909,185368,-3%,"-$36,060",,,,,ACTG
2,,2021-06-08 12:52:56,2021-06-07,ACTG,Rosenstein Richard Jay,CFO,S - Sale,$5.51,-9600,76900,-11%,"-$52,896",,,,,ACTG
3,,2021-05-12 09:33:49,2021-05-10,ACTG,Booth Marc W.,Chief IP Officer,S - Sale,$5.72,-4573,191277,-2%,"-$26,137",,,,,ACTG
4,,2020-12-21 13:51:20,2020-12-18,ACTG,Booth Marc W.,Chief IP Officer,S - Sale,$4.09,-5565,195850,-3%,"-$22,785",,,,,ACTG
5,AM,2020-12-17 19:23:34,2020-12-15,ACTG,Tobia Alfred Victor Jr.,"Pres, CIO",P - Purchase,$3.77,"+100,000",588462,+20%,"+$377,170",,,,,ACTG
6,M,2020-12-17 11:45:29,2020-12-15,ACTG,Tobia Alfred Victor Jr.,"Pres, CIO",P - Purchase,$3.77,"+100,000",588462,+20%,"+$377,170",,,,,ACTG
7,,2020-11-10 20:06:22,2020-11-09,ACTG,Booth Marc W.,Chief IP Officer,S - Sale,$3.61,-4726,201415,-2%,"-$17,070",,,,,ACTG
8,M,2020-09-08 20:18:16,2020-09-04,ACTG,Oconnell Maureen,Dir,P - Purchase,$3.78,"+25,000",138914,+22%,"+$94,476",,,,,ACTG
9,,2020-05-11 12:38:30,2020-05-08,ACTG,Booth Marc W.,Chief IP Officer,S - Sale,$2.40,-4489,106141,-4%,"-$10,779",,,,,ACTG
10,,2019-11-12 12:41:27,2019-11-08,ACTG,Booth Marc W.,Chief IP Officer,S - Sale,$2.59,-4370,110630,-4%,"-$11,302",,,,,ACTG
11,,2019-03-19 17:02:31,2019-03-15,ACTG,Booth Marc W.,Chief IP Officer,P - Purchase,$3.10,"+10,000",40000,+33%,"+$31,006",,,,,ACTG
12,,2019-02-14 09:41:28,2018-12-07,ACTG,Tobia Alfred Victor Jr.,Dir,P - Purchase,$3.00,"+9,654",1200000,+1%,"+$28,983",,,,,ACTG
13,M,2018-12-21 15:51:17,2018-12-19,ACTG,Tobia Alfred Victor Jr.,Dir,P - Purchase,$2.94,"+35,000",1190346,+3%,"+$102,763",,,,,ACTG
14,M,2018-12-06 09:27:32,2018-11-19,ACTG,Tobia Alfred Victor Jr.,Dir,P - Purchase,$3.03,"+65,346",1155346,+6%,"+$198,033",,,,,ACTG
15,,2018-10-31 15:08:46,2018-10-29,ACTG,Booth Marc W.,Chief IP Officer,P - Purchase,$3.13,"+10,000",30000,+50%,"+$31,322",,,,,ACTG
16,,2018-09-10 17:45:14,2018-09-07,ACTG,Stewart Robert B Jr,Pres,S - Sale,$3.61,-46143,52500,-47%,"-$166,567",,,,,ACTG
17,,2018-09-07 13:54:26,2018-09-06,ACTG,Booth Marc W.,Chief IP Officer,P - Purchase,$3.48,"+10,000",20000,+100%,"+$34,846",,,,,ACTG
18,D,2018-09-07 13:50:41,2018-09-05,ACTG,Stewart Robert B Jr,Pres,S - Sale+OE,$3.75,-66115,98643,-40%,"-$248,037",,,,,ACTG
19,,2018-08-21 13:28:41,2018-08-17,ACTG,Booth Marc W.,Chief IP Officer,P - Purchase,$3.90,"+10,000",10000,New,"+$39,015",,,,,ACTG
20,,2018-03-16 12:11:33,2018-03-14,ACTG,Graziadio G Louis III,Dir,P - Purchase,$3.63,"+17,600",1041551,+2%,"+$63,906",,,,,ACTG
21,,2018-03-14 15:22:50,2018-03-12,ACTG,Graziadio G Louis III,Dir,P - Purchase,$3.70,"+10,500",1023951,+1%,"+$38,850",,,,,ACTG
22,,2018-03-07 16:31:57,2018-03-06,ACTG,Graziadio G Louis III,Dir,P - Purchase,$3.65,"+2,000",1038451,0%,"+$7,300",,,,,ACTG
23,,2018-02-23 13:09:24,2018-02-21,ACTG,Graziadio G Louis III,Dir,P - Purchase,$3.50,"+3,900",1036451,0%,"+$13,638",,,,,ACTG
24,,2018-02-22 16:40:46,2018-02-20,ACTG,Graziadio G Louis III,Dir,P - Purchase,$3.45,"+3,000",1032551,0%,"+$10,350",,,,,ACTG
25,,2018-02-20 11:37:27,2018-02-15,ACTG,Graziadio G Louis III,Dir,P - Purchase,$3.61,"+30,000",1029551,+3%,"+$108,174",,,,,ACTG
