,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2019-09-18 16:08:41,2019-09-17,ALRS,Compton Kris,"EVP, CSO",P - Purchase,$21.00,"+1,000",283505,0%,"+$21,000",,,,,ALRS
1,,2019-09-18 16:08:11,2019-09-17,ALRS,Case Lloyd G,Dir,P - Purchase,$21.00,"+2,000",40661,+5%,"+$42,000",,,,,ALRS
2,,2019-09-18 16:07:56,2019-09-17,ALRS,Bohn Karen,Dir,P - Purchase,$21.00,"+1,000",42675,+2%,"+$21,000",,,,,ALRS
3,,2019-09-18 16:07:26,2019-09-17,ALRS,Mathews Michael S,Dir,P - Purchase,$21.00,+952,3056,+45%,"+$19,992",,,,,ALRS
4,,2019-09-18 16:07:11,2019-09-17,ALRS,Vetter Galen G,Dir,P - Purchase,$21.00,"+11,904",38083,+45%,"+$249,984",,,,,ALRS
5,,2019-09-18 16:06:41,2019-09-17,ALRS,McConn Ann,"EVP, CBO",P - Purchase,$21.00,"+1,190",57491,+2%,"+$24,990",,,,,ALRS
6,,2019-09-18 16:06:12,2019-09-17,ALRS,Lorenson Katie A,"EVP, CFO",P - Purchase,$21.00,"+5,500",15290,+56%,"+$115,500",,,,,ALRS
7,,2019-09-18 16:05:44,2019-09-17,ALRS,Coughlin Daniel E,Dir,P - Purchase,$21.00,"+10,000",35130,+40%,"+$210,000",,,,,ALRS
8,,2019-09-18 16:05:26,2019-09-17,ALRS,Newman Randy L,"COB, CEO,, Pres",P - Purchase,$21.00,"+4,571",724130,+1%,"+$95,991",,,,,ALRS
9,,2019-09-18 16:04:56,2019-09-17,ALRS,Taylor Karin M,"EVP, CRO",P - Purchase,$21.00,"+4,761",13796,+53%,"+$99,981",,,,,ALRS
