,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,D,2021-12-17 12:11:20,2021-12-16,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$24.50,-6527,96838,-6%,"-$159,932",,,,,AMSWA
1,D,2021-11-29 09:07:08,2021-11-24,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$23.54,-52400,60000,-47%,"-$1,233,496",,,,,AMSWA
2,D,2021-11-24 13:04:42,2021-11-23,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$24.03,-15600,60000,-21%,"-$374,868",,,,,AMSWA
3,D,2021-09-17 10:14:17,2021-09-16,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$25.33,-6473,96838,-6%,"-$163,936",,,,,AMSWA
4,D,2021-09-08 13:55:52,2021-09-08,AMSWA,Sell Bryan L.,Controller,S - Sale+OE,$25.44,-6000,0,-100%,"-$152,641",,,,,AMSWA
5,DM,2021-09-01 13:21:34,2021-08-30,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$24.52,-39000,96838,-29%,"-$956,138",,,,,AMSWA
6,D,2021-06-30 14:44:21,2021-06-29,AMSWA,King Valerie Paige,"VP,GC",S - Sale+OE,$22.54,-4000,0,-100%,"-$90,164",,,,,AMSWA
7,D,2021-06-30 14:29:54,2021-06-30,AMSWA,Hogue Dennis,Dir,S - Sale+OE,$22.19,-1258,23016,-5%,"-$27,915",,,,,AMSWA
8,D,2021-06-30 06:33:12,2021-06-29,AMSWA,Dow H Allan,Pres,S - Sale+OE,$22.41,-18030,81315,-18%,"-$404,031",,,,,AMSWA
9,D,2021-06-29 08:22:20,2021-06-28,AMSWA,Dow H Allan,Pres,S - Sale+OE,$22.76,-1970,81315,-2%,"-$44,837",,,,,AMSWA
10,M,2021-06-23 09:34:43,2020-05-22,AMSWA,McKenna Matthew G,Dir,P - Purchase,$16.30,+102,13102,+1%,"+$1,663",,,,,AMSWA
11,A,2021-06-22 10:14:14,2020-03-19,AMSWA,McKenna Matthew G,Dir,P - Purchase,$9.25,"+5,000",10000,+100%,"+$46,250",,,,,AMSWA
12,D,2021-06-21 08:55:57,2021-06-16,AMSWA,Dow H Allan,Pres,S - Sale+OE,$24.65,-28693,81315,-26%,"-$707,303",,,,,AMSWA
13,D,2021-06-21 08:47:36,2021-06-17,AMSWA,Dow H Allan,Pres,S - Sale+OE,$24.61,-35507,81315,-30%,"-$873,916",,,,,AMSWA
14,D,2021-06-14 14:49:08,2021-06-14,AMSWA,Newberry Thomas L V,Dir,S - Sale+OE,$24.25,-9180,0,-100%,"-$222,587",,,,,AMSWA
15,D,2021-06-14 10:04:28,2021-06-11,AMSWA,Newberry Thomas L V,Dir,S - Sale+OE,$24.88,-29820,0,-100%,"-$742,002",,,,,AMSWA
16,D,2021-06-14 10:04:15,2021-06-11,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$24.24,-16000,60000,-21%,"-$387,840",,,,,AMSWA
17,D,2021-03-29 09:09:58,2021-03-26,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$20.64,-9353,96838,-9%,"-$193,086",,,,,AMSWA
18,D,2021-03-26 11:18:21,2021-03-25,AMSWA,McKenna Matthew G,Dir,S - Sale+OE,$20.40,-9000,8000,-53%,"-$183,600",,,,,AMSWA
19,D,2021-03-26 10:08:03,2021-03-25,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$20.60,-3647,96838,-4%,"-$75,128",,,,,AMSWA
20,D,2021-03-15 09:03:54,2021-03-12,AMSWA,Sell Bryan L.,Controller,S - Sale+OE,$21.10,-7000,0,-100%,"-$147,710",,,,,AMSWA
21,DM,2021-03-04 12:05:27,2021-03-02,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$20.14,-18000,60000,-23%,"-$362,552",,,,,AMSWA
22,D,2020-12-11 14:24:49,2020-12-10,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$16.75,-6259,96838,-6%,"-$104,838",,,,,AMSWA
23,D,2020-12-10 17:05:45,2020-12-09,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$16.40,-9412,96838,-9%,"-$154,357",,,,,AMSWA
24,D,2020-12-09 16:11:59,2020-12-08,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$16.62,-31573,96838,-25%,"-$524,743",,,,,AMSWA
25,D,2020-11-25 09:27:59,2020-11-24,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$15.81,-206,96838,0%,"-$3,257",,,,,AMSWA
26,D,2020-07-02 13:20:30,2020-06-30,AMSWA,Hogue Dennis,Dir,S - Sale+OE,$15.83,-3000,12274,-20%,"-$47,475",,,,,AMSWA
27,D,2020-07-01 18:30:38,2020-06-29,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$15.60,-9223,60000,-13%,"-$143,879",,,,,AMSWA
28,D,2020-07-01 18:09:03,2020-06-29,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$15.60,-9223,60000,-13%,"-$143,879",,,,,AMSWA
29,D,2020-06-30 17:33:29,2020-06-26,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$15.70,-8777,60000,-13%,"-$137,799",,,,,AMSWA
30,D,2020-06-30 16:17:30,2020-06-26,AMSWA,McGuone James R,Secretary,S - Sale+OE,$15.75,-9600,0,-100%,"-$151,200",,,,,AMSWA
31,D,2020-06-26 10:10:58,2020-06-25,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$15.52,-30000,60000,-33%,"-$465,480",,,,,AMSWA
32,D,2020-06-24 11:33:04,2020-06-23,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$16.21,-14000,60000,-19%,"-$226,940",,,,,AMSWA
33,,2020-03-19 12:33:17,2020-03-19,AMSWA,McKenna Matthew G,Dir,P - Purchase,$9.25,"+5,000",10000,+100%,"+$46,250",,,,,AMSWA
34,D,2020-03-06 08:49:02,2020-03-05,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$16.76,-5400,96838,-5%,"-$90,503",,,,,AMSWA
35,D,2020-03-05 11:56:44,2020-03-04,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$16.76,-12150,96838,-11%,"-$203,621",,,,,AMSWA
36,D,2020-02-26 11:19:52,2020-02-25,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$18.82,-18000,60000,-23%,"-$338,729",,,,,AMSWA
37,D,2019-12-19 15:26:59,2019-12-18,AMSWA,Dow H Allan,Pres,S - Sale+OE,$15.13,-7421,56154,-12%,"-$112,295",,,,,AMSWA
38,DM,2019-12-03 12:54:56,2019-11-29,AMSWA,Dow H Allan,Pres,S - Sale+OE,$15.90,-4483,56154,-7%,"-$71,290",,,,,AMSWA
39,D,2019-11-29 10:05:36,2019-11-27,AMSWA,Dow H Allan,Pres,S - Sale+OE,$15.90,-32935,56154,-37%,"-$523,531",,,,,AMSWA
40,D,2019-09-27 11:18:51,2019-09-26,AMSWA,Hogue Dennis,Dir,S - Sale+OE,$15.21,-3000,6274,-32%,"-$45,644",,,,,AMSWA
41,D,2019-09-27 09:27:41,2019-09-25,AMSWA,McGuone James R,Secretary,S - Sale+OE,$15.43,-9600,0,-100%,"-$148,100",,,,,AMSWA
42,D,2019-09-24 11:54:27,2019-09-23,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$15.20,-1738,96838,-2%,"-$26,419",,,,,AMSWA
43,D,2019-09-23 14:23:10,2019-09-20,AMSWA,Klinges Vincent C,CFO,S - Sale+OE,$15.21,-35038,96838,-27%,"-$533,040",,,,,AMSWA
44,D,2019-09-23 14:21:29,2019-09-20,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$14.99,-9588,60000,-14%,"-$143,724",,,,,AMSWA
45,D,2019-09-23 14:19:35,2019-09-19,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$15.02,-46189,60000,-43%,"-$693,759",,,,,AMSWA
46,D,2019-09-19 12:13:46,2019-09-18,AMSWA,Edenfield James C,Exec COB,S - Sale+OE,$14.97,-18223,60000,-23%,"-$272,798",,,,,AMSWA
47,D,2019-09-18 14:21:09,2019-09-17,AMSWA,Miller James B Jr,Dir,S - Sale+OE,$14.92,-1690,64611,-3%,"-$25,214",,,,,AMSWA
