,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-12-15 17:09:09,2021-12-13,AMTB,Vollmer A. Gustavo J,Dir,S - Sale,$30.20,-4000,814039,0%,"-$120,786",,,,,AMTB
1,,2021-12-01 18:02:31,2021-12-01,AMTB,Plush Gerald P,See remarks,P - Purchase,$28.90,+200,100002,0%,"+$5,780",,,,,AMTB
2,,2021-11-18 18:38:52,2021-11-17,AMTB,Wilson Millar,Dir,S - Sale,$29.97,-30769,138374,-18%,"-$922,230",,,,,AMTB
3,,2021-11-02 17:00:25,2021-11-01,AMTB,Plush Gerald P,See remarks,P - Purchase,$26.60,+200,99802,0%,"+$5,320",,,,,AMTB
4,,2021-10-04 16:52:02,2021-10-01,AMTB,Plush Gerald P,See remarks,P - Purchase,$24.92,+200,99602,0%,"+$4,984",,,,,AMTB
5,,2021-09-02 16:51:34,2021-09-01,AMTB,Plush Gerald P,See remarks,P - Purchase,$26.76,+200,99402,0%,"+$5,352",,,,,AMTB
6,,2021-08-03 17:11:01,2021-08-02,AMTB,Plush Gerald P,See remarks,P - Purchase,$22.16,+200,99202,0%,"+$4,432",,,,,AMTB
7,,2021-05-14 06:20:32,2021-05-12,AMTB,Plush Gerald P,See remarks,P - Purchase,$20.91,"+1,000",99002,+1%,"+$20,911",,,,,AMTB
8,,2021-05-04 18:39:29,2021-05-03,AMTB,Palacios Miguel,See Remarks,P - Purchase,$19.45,"+2,000",45163,+5%,"+$38,903",,,,,AMTB
9,,2021-05-04 18:32:25,2021-05-03,AMTB,Capriles Alberto,See Remarks,P - Purchase,$19.84,"+1,000",25214,+4%,"+$19,836",,,,,AMTB
10,,2021-05-04 18:25:42,2021-05-03,AMTB,Figueredo Alfonso,See Remarks,P - Purchase,$19.55,"+5,200",80150,+7%,"+$101,665",,,,,AMTB
11,,2021-02-09 17:17:32,2021-02-08,AMTB,Plush Gerald P,Dir,P - Purchase,$15.59,"+10,000",10100,>999%,"+$155,878",,,,,AMTB
12,,2020-02-18 16:57:43,2020-02-13,AMTB,Copeland Frederick C Jr,Dir,S - Sale,$19.41,-2000,13615,-13%,"-$38,812",,,,,AMTB
13,,2019-03-07 20:16:56,2019-03-07,AMTB,"Mercantil Servicios Financieros, C.A.",10%,S - Sale,$13.48,-2112321,0,-100%,"-$28,474,087",,,,,AMTB
14,,2018-12-27 18:34:33,2018-12-21,AMTB,Figueredo Alfonso,See Remarks,P - Purchase,$13.00,"+4,615",81098,+6%,"+$59,995",,,,,AMTB
15,,2018-12-27 18:33:52,2018-12-21,AMTB,Villamil Jose Antonio,Dir,P - Purchase,$13.00,+769,10384,+8%,"+$9,997",,,,,AMTB
16,,2018-12-27 18:31:16,2018-12-21,AMTB,Peraza Alberto,See Remarks,P - Purchase,$13.00,"+10,000",91692,+12%,"+$130,000",,,,,AMTB
17,,2018-12-27 18:30:31,2018-12-21,AMTB,Villar Guillermo,Dir,P - Purchase,$13.00,+769,10384,+8%,"+$9,997",,,,,AMTB
18,,2018-12-27 18:29:57,2018-12-21,AMTB,Dana Pamella J,Dir,P - Purchase,$13.00,+769,10384,+8%,"+$9,997",,,,,AMTB
19,,2018-12-27 18:29:47,2018-12-21,AMTB,"Mercantil Servicios Financieros, C.A.",10%,S - Sale,$13.00,-4922477,0,-100%,"-$63,992,201",,,,,AMTB
20,,2018-12-27 18:25:35,2018-12-21,AMTB,Copeland Frederick C Jr,Dir,P - Purchase,$13.00,"+6,000",15615,+62%,"+$78,000",,,,,AMTB
21,,2018-12-27 18:20:18,2018-12-21,AMTB,Capriles Alberto,See Remarks,P - Purchase,$13.00,"+2,500",22423,+13%,"+$32,500",,,,,AMTB
22,,2018-12-27 18:20:13,2018-12-21,AMTB,Palacios Miguel,See Remarks,P - Purchase,$13.00,"+5,769",44244,+15%,"+$74,997",,,,,AMTB
23,,2018-12-27 18:20:08,2018-12-21,AMTB,Wilson Millar,"Vice-COB, CEO",P - Purchase,$13.00,"+30,769",215384,+17%,"+$399,997",,,,,AMTB
