,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,,2021-12-10 16:28:58,2021-12-09,AMTI,Mrsny Randall Ph.D.,Chief Scientific Officer,P - Purchase,$14.99,"+3,500",3603500,0%,"+$52,464",,,,,AMTI
1,M,2021-11-18 15:41:28,2021-11-16,AMTI,"Epiq Capital Group, LLC",Managing member of 10% owner,P - Purchase,$22.45,"+11,135",8275375,0%,"+$249,983",,,,,AMTI
2,M,2021-08-27 20:45:35,2021-08-26,AMTI,Kim Helen Susan,Dir,S - Sale,$30.21,-15014,575000,-3%,"-$453,499",,,,,AMTI
3,M,2021-08-25 21:07:50,2021-08-24,AMTI,Kim Helen Susan,Dir,S - Sale,$30.08,-9986,590014,-2%,"-$300,331",,,,,AMTI
4,DM,2021-08-23 19:40:40,2021-08-19,AMTI,Cross Shawn,CFO,S - Sale+OE,$30.12,-10000,0,-100%,"-$301,193",,,,,AMTI
5,D,2021-07-22 19:59:48,2021-07-21,AMTI,Bhatt Elizabeth,"Chief Bus., Strategy Officer",S - Sale+OE,$36.68,-9000,0,-100%,"-$330,097",,,,,AMTI
6,D,2021-07-08 19:49:19,2021-07-07,AMTI,Kanwar Bittoo,Chief Medical Officer,S - Sale+OE,$42.09,-7500,0,-100%,"-$315,693",,,,,AMTI
7,,2021-07-06 19:22:27,2021-07-02,AMTI,Kim Helen Susan,Dir,S - Sale,$43.32,-200000,600000,-25%,"-$8,663,731",,,,,AMTI
8,D,2021-04-22 18:29:04,2021-04-21,AMTI,Bhatt Elizabeth,"Chief Bus., Strategy Officer",S - Sale+OE,$40.51,-9000,0,-100%,"-$364,557",,,,,AMTI
9,D,2021-04-08 21:15:31,2021-04-07,AMTI,Kanwar Bittoo,Chief Medical Officer,S - Sale+OE,$54.79,-7500,0,-100%,"-$410,946",,,,,AMTI
10,,2021-04-07 18:47:11,2021-04-06,AMTI,Lamond David,Dir,P - Purchase,$42.00,"+25,000",1011019,+3%,"+$1,050,000",,,,,AMTI
11,D,2020-06-11 17:55:31,2020-06-09,AMTI,"Epiq Capital Group, LLC",Managing Member of 10% owner,P - Purchase,$14.00,"+2,720,000",8264240,+49%,"+$38,080,000",,,,,AMTI
