,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,company
0,M,2021-08-13 12:30:26,2021-08-11,ANIK,Levitz Michael L,"EVP, CFO, Treasurer",P - Purchase,$40.21,"+3,627",7486,+94%,"+$145,826",,,,,ANIK
1,,2021-05-20 16:39:04,2021-05-18,ANIK,Henneman John B III,Dir,P - Purchase,$42.86,"+2,000",11310,+21%,"+$85,720",,,,,ANIK
2,,2021-05-14 16:31:12,2021-05-12,ANIK,Land Raymond J,Dir,S - Sale,$42.60,-2000,7953,-20%,"-$85,200",,,,,ANIK
3,,2020-11-12 16:08:22,2020-11-10,ANIK,Land Raymond J,Dir,S - Sale,$36.77,-3446,9953,-26%,"-$126,709",,,,,ANIK
4,,2020-07-10 16:06:24,2020-07-09,ANIK,Loerop James,EVP Business Development,S - Sale,$35.15,-1244,1756,-41%,"-$43,727",,,,,ANIK
5,,2020-02-27 18:54:44,2020-02-26,ANIK,Land Raymond J,Dir,S - Sale,$42.68,-2700,13399,-17%,"-$115,236",,,,,ANIK
6,D,2019-11-08 17:40:36,2019-11-08,ANIK,Cheung Sylvia,CFO,S - Sale+OE,$59.71,-20000,47741,-30%,"-$1,194,200",,,,,ANIK
7,,2019-08-30 16:05:27,2019-08-28,ANIK,Larsen Glenn R.,Dir,S - Sale,$57.21,-4355,7590,-36%,"-$249,150",,,,,ANIK
8,,2019-08-22 16:05:24,2019-08-20,ANIK,Bower Joseph L.,Dir,S - Sale,$55.57,-1994,43010,-4%,"-$110,807",,,,,ANIK
9,,2019-08-12 16:06:16,2019-08-08,ANIK,Thompson Jeffery S,Dir,S - Sale,$56.66,-4843,6842,-41%,"-$274,404",,,,,ANIK
10,,2019-07-30 16:06:50,2019-07-29,ANIK,Land Raymond J,Dir,S - Sale,$55.44,-3000,11992,-20%,"-$166,320",,,,,ANIK
11,,2019-03-01 08:30:39,2019-02-28,ANIK,Darling Joseph G,"Pres, CEO; Dir",P - Purchase,$33.20,"+1,000",22436,+5%,"+$33,200",,,,,ANIK
12,,2019-02-28 16:34:50,2019-02-26,ANIK,Land Raymond J,Dir,S - Sale,$33.06,-4000,14992,-21%,"-$132,240",,,,,ANIK
